iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-415.6190976361851,-494.8947620725201,-494.37050966535764,-516.5940230528089,-475.202320254948,-448.6633578815773,-481.72479121764974,-420.26607466143224,-465.4662076458103,-536.2505489931889
1,-716.2245236673516,-530.1059949795902,-724.5917885451856,-555.3549379222584,-644.0487485178645,-546.4292888939458,-697.7430423823514,-589.4516962089003,-598.6209257540072,-765.3166646988476
2,-673.6331112733354,-751.9737655466852,-800.7255789485198,-875.7037759302384,-770.4485411616961,-811.9384082041247,-796.8159079851791,-975.6712993814681,-674.6314126990562,-792.9898225366892
3,-545.1666971032896,-703.2134541482174,-541.5901105108401,-809.8358051608498,-611.6809435737696,-721.9734582531233,-815.8791567883352,-720.2739733045728,-848.7018087991939,-756.8515828745392
4,-709.8816534664525,-690.4507201783847,-728.5299733668576,-651.3619514890589,-613.9191504869765,-603.2998068163056,-575.5615333222567,-610.829996006019,-687.8098375736886,-697.9454464764859
5,-446.381369158446,-729.8219365181627,-612.6170663436567,-645.4713179095257,-548.7450911940393,-505.02168112411937,-569.4355626666327,-504.6213124158532,-532.0137115033818,-867.1211474248897
6,-582.0270636303155,-535.1702205248099,-639.1089324953041,-565.8840980297173,-615.4599634890312,-634.3946644595322,-666.4781902968571,-706.5456324320345,-502.31962925349615,-462.09077238134756
7,-546.6974151727034,-512.7915431182184,-586.8872883896387,-666.7492891036131,-646.7935540840804,-538.1567703468753,-452.5559855132422,-573.6972011545943,-630.4772576207783,-450.34328598883457
8,-494.0946209376908,-432.65493238576846,-651.4321959989591,-616.2191275873354,-565.2625047118263,-622.4658499256885,-481.6558447193943,-485.5682983424059,-607.1792629629173,-409.36546109374683
9,-528.8576053953079,-422.29598094622764,-619.8143219740077,-624.3906081629242,-604.5139943916672,-624.0300464574407,-453.78818808913184,-518.3375553678835,-510.7896368025422,-637.3816245806596
10,-409.00561268240824,-496.0158821578445,-578.5031971811217,-410.43085517621216,-606.1531610587651,-499.11650142729496,-528.9654862687652,-468.1116472899233,-436.4052360036312,-665.7077122394785
11,-561.8038645944436,-466.9451370172116,-467.30421587386854,-380.1766826393414,-539.9964645217481,-505.52802517123644,-550.9346583922845,-551.8551274546737,-485.493041151097,-584.6252086567988
12,-424.8134315588443,-486.21099082296723,-435.82103699290803,-522.0318962298295,-369.9504425467343,-352.057964006053,-514.7821540995005,-511.654511263338,-419.5251480841763,-474.40435020653786
