iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-193.48561835246252,-189.65526308348728,-196.84329714999677,-210.74022418285404,-202.8337561943908,-195.31409852103326,-199.83609595939802,-181.23211121145346,-188.66020656651742,-184.74405605134893
1,-192.50274608832547,-189.65526308348728,-182.3162813911194,-209.70911781655485,-200.67400007468058,-188.1539243404548,-195.50774927244515,-181.23211121145346,-183.42849527229498,-180.6531517578676
2,-185.27783819164293,-189.65526308348728,-182.3162813911194,-209.70911781655485,-200.67400007468058,-186.6842493521337,-192.90052469616577,-180.47193663055555,-183.42849527229498,-180.6531517578676
3,-183.10715457782595,-186.8185101992938,-181.14135563533267,-208.64618161408174,-199.32023037056865,-186.6842493521337,-182.76202096568272,-176.4706563480808,-168.50423021844765,-180.6531517578676
4,-180.64039483049993,-179.70808866640644,-173.6130735488244,-208.64618161408174,-199.32023037056865,-186.26756133924476,-182.76202096568272,-169.81236655618937,-165.0473123277458,-173.62221612702123
5,-177.0286322382937,-172.24909858468217,-173.6130735488244,-208.29264465020427,-196.04606876953267,-186.26756133924476,-176.48650298356245,-169.81236655618937,-164.44975218779092,-173.62221612702123
6,-170.2201396834858,-165.49978724930546,-169.92121426332585,-201.44248914241052,-184.8132462552038,-181.2592190231067,-176.48650298356245,-165.3305218730687,-164.44975218779092,-170.5365907746985
7,-169.57894803536766,-165.49978724930546,-169.74786886149028,-196.65786814534198,-184.4717337292637,-181.2592190231067,-170.12028921120722,-153.18117214395832,-163.83191131515701,-169.26220163736667
8,-169.47908760730172,-164.67769262218098,-162.85972365396617,-186.94779334377603,-182.15650106273645,-181.2592190231067,-166.01737733625538,-153.18117214395832,-153.28090785576774,-166.48837683084923
9,-163.09349420969855,-160.13840839358528,-154.84867675118718,-186.94779334377603,-175.90092496414712,-173.30983271377707,-163.6124060307112,-141.14709172003472,-153.28090785576774,-161.56838299274185
10,-163.09349420969855,-155.9915929898042,-152.7392160316794,-186.76957151418043,-171.81880419157864,-160.12173018392173,-156.86711382573733,-127.92081048166958,-149.33151962536493,-161.56838299274185
11,-151.20886743949177,-155.9915929898042,-145.9712527391988,-177.36096456487763,-171.81880419157864,-159.9900456325091,-150.2414617758629,-125.25400893855007,-137.38657776299684,-161.56838299274185
12,-145.3270441862287,-155.5022000148792,-143.7255085458506,-173.7196484501269,-164.84354920066664,-154.96240349301937,-146.14615003722892,-125.08883027031135,-137.38657776299684,-145.08790693321606
13,-145.3270441862287,-152.85422638805983,-142.21816116838156,-156.91851996056226,-161.38205826835178,-149.32774254563327,-136.78150920434967,-125.08883027031135,-137.38657776299684,-139.69321551858818
14,-138.14950057060213,-151.3472787954787,-137.20062248905313,-153.88095615152406,-152.4253985419336,-135.74766649343385,-130.59583381168235,-125.08883027031135,-130.63015008293416,-137.48289622267797
15,-137.899545603856,-150.5318989767136,-132.55279365563564,-136.23422044693433,-147.34393791441983,-133.98573593798594,-128.74638717512852,-125.08883027031135,-130.63015008293416,-129.50102669608611
16,-137.899545603856,-148.96371822962067,-124.0723732634554,-134.74875146955674,-141.9893582010527,-126.96464625282272,-124.3252372685546,-121.31828989214611,-130.63015008293416,-127.29627394226259
17,-125.6898811295891,-141.79022290936507,-122.82645009691797,-129.3401361376781,-140.72796013216004,-126.93953033287784,-122.56354717406481,-111.99655157811061,-128.03581789004969,-115.65989584771478
18,-125.0690843127707,-141.09008842773505,-116.77589086461586,-129.09941353566592,-140.72796013216004,-124.95031785209352,-118.19676695458135,-110.36084634388232,-122.42545867418903,-115.65989584771478
19,-121.1925638012974,-140.80970397397024,-110.4717444871471,-126.6699816456885,-140.5021155529951,-120.96850985985567,-114.57437225009986,-104.73268036409513,-115.33318194422259,-111.6423337279547
20,-120.39545360387848,-139.59730982820068,-110.2105179101136,-123.9498835644379,-127.98862609369407,-115.0495019398553,-110.18579219386658,-96.93833253006355,-115.33318194422259,-105.82033722049783
21,-118.073722585275,-121.42025325920756,-110.0413713582393,-123.03215819653101,-119.83710908965254,-108.51344936513009,-110.18579219386658,-92.63815420811383,-111.94513303210474,-102.80162592398324
22,-114.0460398743696,-114.52030749514837,-107.58538217966834,-117.09954472633311,-114.87776435780714,-108.51344936513009,-106.93373410405194,-92.34755437092737,-97.78300965645175,-102.74732458433857
23,-106.95332598535381,-100.88154866601548,-96.62303866389715,-108.17027524562965,-112.86562327324096,-106.03141685819546,-106.93373410405194,-91.90585264120975,-97.78300965645175,-91.13476040709776
24,-101.45227163261586,-98.9587996763118,-95.50824887333718,-106.28314390838838,-112.86562327324096,-106.03141685819546,-101.83457312088477,-91.90585264120975,-88.55333241204099,-85.56600085745646
25,-85.71247683164123,-95.83829144979268,-94.56522134479954,-97.65689837673965,-104.69718078349688,-105.34834807444233,-101.62531557380397,-89.87980953383142,-85.20015170989753,-84.31407750188723
26,-82.19602519412757,-95.83829144979268,-94.56522134479954,-92.94853876530112,-102.27281232237425,-98.54800777751805,-97.91433539180663,-87.03793613800889,-82.31887171397153,-77.20759602076518
27,-82.19602519412757,-85.07676470214894,-92.67482057816551,-91.37072695746556,-98.18004612520957,-97.55592914759715,-93.64857724758289,-82.14214202548055,-79.8965673109966,-75.96631421772395
28,-77.10334435263837,-81.87724762725745,-91.38011368427192,-91.37072695746556,-91.16579327367643,-92.82102510224826,-93.46210720188242,-79.21782663172553,-75.64146865214562,-72.43063275112391
29,-75.24097698722787,-77.7317884288154,-83.1885638646187,-89.20320564286052,-82.96663555925348,-91.59245560471919,-89.11679385349596,-77.63521857590617,-73.27681608556783,-72.43063275112391
30,-74.00352252636081,-77.7317884288154,-77.87153305879016,-89.20320564286052,-79.45600435337766,-90.52557044496875,-75.39741746582254,-73.87171671500639,-73.1908659645488,-72.43063275112391
31,-73.83648911625073,-74.62357822689,-73.04315800592757,-83.61971483573583,-78.10481578471496,-84.52180179859153,-74.58874910456063,-66.13574533958644,-71.14069324602445,-70.52184922148652
32,-69.77122298156667,-74.62357822689,-72.52386978972729,-82.34329779527064,-73.84690777960309,-82.03746488201372,-72.53791644604746,-65.62094381906033,-69.62732511616858,-70.52184922148652
33,-68.17592966028121,-73.19391189591354,-71.25196316122636,-82.34329779527064,-70.64796030427024,-78.27257058755993,-72.53791644604746,-65.62094381906033,-69.20946472876943,-67.21073647410986
34,-68.03939891823435,-70.88897249742298,-70.9560536199167,-79.2278137324794,-68.4829250076487,-75.71606973808049,-68.81671964001941,-59.976768484638406,-67.61807314823389,-66.4444029412944
35,-67.53213091532791,-68.37896750164543,-69.7268313104954,-77.52385772812545,-68.4829250076487,-69.45342022641026,-66.60751810762193,-56.79136182442464,-65.36575031103851,-66.40176149764156
36,-66.77618955362442,-65.12443796650314,-68.45899361272063,-75.82765462719804,-66.94798416440241,-68.69803852867155,-66.60751810762193,-52.91084422544743,-63.35444731939477,-63.60439286324397
37,-66.48437939479187,-65.12443796650314,-66.40053727689181,-72.96207191767803,-64.36251283470531,-67.30273456804211,-63.84269092043598,-51.2931454755286,-63.35444731939477,-63.09856510413228
