iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-505.5215553348636,-503.36833879449136,-598.9024026348334,-500.23509836939695,-468.78601733021173,-486.4782835513222,-493.41628260435624,-486.8950399224387,-463.2139790503686,-468.27051740973843
1,-387.2740356006392,-486.7602271994343,-478.26618062820927,-428.5328645419228,-404.0294211651006,-408.1615256974811,-417.9749316640322,-513.7811422797215,-368.45171726777824,-388.1096145864913
2,-417.7938744045595,-481.9589967216822,-456.69121010737354,-479.71946912424386,-510.30658004033444,-397.4978069010257,-452.31762022504785,-432.89573968618026,-400.2444981325066,-462.52066353118715
3,-413.48649242211275,-404.66193616689327,-427.1178131637455,-446.93535859158,-445.02593151918995,-451.3006716409533,-373.2257215448105,-397.82866866035056,-371.4458020620473,-438.6780701903579
4,-396.4385359809787,-449.52269739388737,-372.3782294026722,-432.94417890079546,-410.4682542883253,-390.3105979510715,-359.942268072914,-424.96529875993986,-416.6104367173075,-425.839258610559
5,-375.53436063959884,-414.19439780146183,-368.6630809896824,-395.6641040324141,-406.9560048443841,-467.5249000611966,-388.3565479587843,-425.5630243269222,-385.99885826817444,-413.63584170394836
6,-395.1385389532413,-321.5857323335091,-401.6760844044834,-376.25038255879093,-344.7926418716488,-379.56338702189487,-430.775419370283,-318.85268694703825,-391.8916382702247,-411.79538529052274
7,-411.8503248005204,-429.65986540527314,-418.2288720973767,-404.32262481036986,-359.20752525595935,-433.7934249190117,-348.0134683274765,-286.781467059339,-387.46948141799203,-332.8093042904114
8,-381.31735280863376,-443.28533129867833,-306.7512565084673,-374.3597638984134,-381.4179742605284,-395.76694608061973,-368.5744355491602,-355.0578463827567,-400.428245256233,-385.73925969692596
9,-353.43258645120443,-378.632790072608,-264.4119291271997,-391.65255076667324,-367.064705617792,-360.20771126306533,-403.42502792992593,-355.55148698097275,-344.29085163047074,-326.9070909610831
10,-356.6775548022148,-316.7338447373221,-395.91979845507024,-463.8759521809467,-455.85085731965245,-367.99917270214917,-379.24926892027645,-286.9265540473891,-335.3825860516197,-396.8003833665548
11,-300.3812378030043,-362.6066990401536,-289.16492628538106,-406.83078315555343,-416.07826099023765,-376.22254694761705,-335.9197994583187,-309.9286563717381,-316.1033724689226,-353.839476026673
