iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-193.48561835246252,-189.65526308348728,-196.84329714999677,-210.74022418285404,-202.8337561943908,-195.31409852103326,-199.83609595939802,-181.23211121145346,-188.66020656651742,-184.74405605134893
1,-10.179133262984458,-8.953010911588958,-6.735076085603756,-6.5440899467232345,-12.432938912165781,-6.677107534820066,-8.578266463750449,-7.758193682591674,-9.477820169701522,-10.319586105924024
2,-6.2585155465443965,-6.342244016175741,-6.138438732785101,-5.32967369080189,-6.224580426999538,-5.513237345719154,-5.717386753609405,-6.3441054638277805,-6.50353213552752,-7.052304448911519
3,-5.946856749948294,-6.056437179285982,-5.271909289662409,-5.0701296876990725,-5.442233531917355,-5.3838365561355195,-5.38326471825523,-5.814950873623599,-6.1033139551400195,-6.187987359182604
4,-5.527197577650852,-5.421707884290834,-5.271909289662409,-5.0701296876990725,-5.347673636884625,-4.411635835828363,-5.38326471825523,-5.622830120709895,-5.883337753441085,-6.187987359182604
5,-5.251666948370053,-5.396610444860025,-4.925015166757404,-4.708044227285416,-5.254589214633684,-3.993853385354854,-5.214063867592144,-5.12366072071607,-5.570148121616712,-6.006523907120119
6,-4.961974568806187,-4.7751780710548335,-4.356914092600157,-4.708044227285416,-4.9586255625700595,-3.993853385354854,-5.214063867592144,-5.12366072071607,-5.356189947918601,-5.4451032550839376
7,-4.961974568806187,-4.410311293948711,-4.239070734122152,-4.6462928792635605,-4.801834625837963,-3.7882091479836637,-4.850689009603292,-4.685747707873171,-5.356189947918601,-5.211203598481324
8,-4.691226460526371,-4.410311293948711,-4.02495187170534,-4.561181576140234,-4.649777898579556,-3.564797387518069,-4.16462873670305,-4.565617675150908,-5.101565814281518,-5.063041882375672
9,-4.123570423084196,-4.343702953179127,-4.02495187170534,-4.28488901695202,-4.447599780669845,-3.4901908364113257,-3.85039572975096,-3.6799509887661053,-4.733324478061775,-5.063041882375672
10,-3.9389504892125515,-4.076588869654753,-3.837618657370852,-4.279994562756691,-4.197175735581204,-3.393093923777263,-3.5973567075101256,-3.3659690025773013,-4.229984836397769,-4.786973253684475
11,-3.5256029032317375,-3.0850560222275214,-3.3575963598634155,-4.0156881138393254,-3.674416295558655,-3.2591504594350083,-3.5973567075101256,-3.0659888288216366,-4.056996463357592,-4.528179473073853
