iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-505.5215553348636,-503.36833879449136,-598.9024026348334,-500.23509836939695,-468.78601733021173,-486.4782835513222,-493.41628260435624,-486.8950399224387,-463.2139790503686,-468.27051740973843
1,-10.179133262984458,-8.953010911588958,-6.735076085603756,-6.5440899467232345,-12.432938912165781,-6.677107534820066,-8.578266463750449,-7.758193682591674,-9.477820169701522,-10.319586105924024
2,-9.497731586001347,-8.288801952754792,-13.502060714244722,-8.773408966234282,-7.072712011148977,-8.960279772796362,-9.032631355050853,-10.772082602963772,-10.199871174830529,-9.33838382524462
3,-11.877968869227068,-9.682975938483864,-11.344127031413166,-11.491352579012318,-8.434027712096853,-10.965940959311382,-10.511042447762815,-11.398026001826555,-12.160671047163914,-11.537344692603472
4,-12.696653504605827,-10.495501350500277,-14.075097028080908,-12.24776356989596,-9.826027889514396,-7.15723892881844,-11.73740125771996,-13.44896312061097,-12.444496362897592,-13.95364095553114
5,-11.159768047027452,-10.976577609028011,-12.048995875926092,-11.66267021707397,-10.154739370788613,-11.163827795807068,-9.62668523674352,-11.197116760806287,-9.583318924541825,-10.823812610861507
6,-9.111592056537205,-7.623647597556719,-8.84242245307796,-11.538875942981614,-9.307464681226705,-9.480671481686253,-11.214730318791938,-10.985821481178263,-10.363356670322332,-8.949126035525335
7,-10.51029853042122,-8.723912227460502,-9.364464604464708,-9.954110973858171,-8.31712555891896,-8.811971382707068,-9.89057581595618,-8.891027169229687,-12.087147385573235,-12.233654809780074
8,-9.63968894474121,-7.959258632327209,-8.722573897505267,-8.549895180290497,-7.713459312442002,-7.454655224636317,-7.1496192237132705,-8.518043450053717,-7.664269178854383,-8.964572864095821
9,-8.463838364476565,-10.993895180683456,-10.24627593617515,-8.340191233602365,-8.243512502453294,-7.6707028429620525,-6.7196047690462795,-8.53492952814838,-7.825501643388659,-9.405031624139855
10,-7.5216049996312435,-6.568702482933299,-7.187702694838954,-10.281043151427806,-9.57059986303491,-8.557722038189707,-6.565774786744166,-7.977132392749822,-8.386592649564669,-8.644943560014806
11,-6.248107045607037,-4.84275964860978,-6.292577978422845,-7.353441800609137,-5.911480468071137,-6.625088073737805,-7.44722166841626,-5.960591591171621,-6.917411549840192,-7.241394610139642
