iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-193.48561835246252,-189.65526308348728,-196.84329714999677,-210.74022418285404,-202.8337561943908,-195.31409852103326,-199.83609595939802,-181.23211121145346,-188.66020656651742,-184.74405605134893
1,-79.01778988106113,-79.9704395598383,-65.1877018245384,-81.38588388285784,-85.85142368629447,-86.10303431584319,-81.0256307857066,-72.1948914240388,-72.61245144312367,-89.20810234462724
2,-45.41841654810068,-50.138066059522764,-36.718962482213705,-47.747831945806425,-44.792057541879046,-47.85130393246799,-42.54774348254246,-39.392115269377214,-42.817965147605335,-51.18901135446301
3,-38.620074952682515,-38.016990051685866,-34.61386521904804,-37.58929071466661,-32.62565664924337,-37.584750525073794,-32.86429266901199,-35.92992714061514,-31.072107179090725,-38.71775389085656
4,-35.18045140548178,-34.04878287330626,-30.741053035537977,-31.76777802092431,-30.535516345461502,-33.468966615905714,-29.83439830223234,-32.71275317477333,-26.88592108096552,-29.281891619413912
5,-32.0242055248018,-32.087140705200184,-26.90489915883262,-31.256579698151143,-28.803367256276516,-30.191254469287244,-28.87167218536851,-30.267907025076227,-25.084681135597904,-26.83334780803808
6,-30.097119937817073,-29.640247822828428,-20.953768521852147,-28.316514631764903,-27.468908539054333,-26.83900861512773,-26.257714665644293,-27.92547235998518,-22.021107193517675,-23.71031243169071
7,-29.150889902839232,-26.06652914681697,-19.882680114813247,-27.50504177555134,-24.041920886253862,-25.72573333665214,-26.015414253035107,-25.69602745062305,-21.488195512267747,-20.887710335818646
8,-24.382448290006764,-20.702717431811294,-17.9527649716686,-23.550328762732477,-22.345306924400084,-23.124779399504007,-22.93284311034345,-23.305962607555813,-20.468570106184757,-19.75473579705892
9,-20.45062735102185,-18.234102535925686,-16.74445000787163,-17.73598326040993,-19.410320382543393,-20.34699992669929,-21.323444877562746,-20.53476755129487,-17.478466738690752,-17.357842511926002
10,-17.018543433382064,-15.6943946196448,-12.16597971789961,-15.142328549690045,-16.569522735338595,-15.976389220139868,-17.056405604626242,-17.852554954166575,-14.519353057444695,-14.761396797677056
11,-13.257852472738396,-13.573490191873596,-9.879288185427175,-13.382090942703558,-15.503118471783432,-13.070244414859543,-15.166479899661063,-14.486071955829118,-11.632731043209771,-13.737744976526631
12,-12.054392323451037,-12.83689582330323,-8.82061391854278,-12.465438003049934,-14.029920754117795,-11.951034231804968,-13.071416423690573,-11.583503397610158,-9.990971567307348,-11.491459208025788
13,-11.504377212740357,-11.556807155536212,-8.492254005395486,-11.56099125473266,-12.50647942083885,-9.977750113389877,-11.223480382730461,-10.758446147709892,-8.936570302874685,-10.283235143823138
14,-10.240059573663494,-10.661028411148939,-7.77205057154109,-10.295283819813339,-11.797760180418685,-9.31521156870864,-10.866282549512796,-10.628949150402931,-8.015711123796166,-8.825714668419801
15,-9.948095666307449,-9.878674549602215,-7.633535653712482,-9.572160146580345,-10.876654418248322,-9.254954366706835,-10.783569624475852,-9.323485305476222,-7.726766870931235,-8.031252513955787
16,-8.451368788369669,-8.902012642475544,-7.145083407753362,-8.103699658668623,-9.986421963458774,-8.84946640274808,-10.094163033295807,-8.804905338919884,-7.305699560432394,-7.561665762675631
17,-8.300417481161682,-8.064520698358542,-6.264394880464842,-7.872996163642956,-9.407189630316157,-8.498152959192566,-9.779945203174268,-8.365613906466406,-6.952114661598989,-7.070027642234599
18,-7.732834248304622,-7.743992761359557,-5.975521223693049,-7.627357527452572,-9.254979450137515,-8.148591340400927,-9.233082398023882,-8.32476051735166,-6.840105681272705,-7.070027642234599
19,-7.683192586916345,-7.472372892867495,-5.7245636996680025,-7.45906593023301,-8.813478643563274,-7.874060179070391,-9.233082398023882,-7.721741136616449,-6.30076669439886,-6.593600408994749
20,-7.683192586916345,-7.472372892867495,-5.606173370641635,-6.732584601613142,-8.095750122039753,-7.553426004506052,-8.241154092243677,-7.492539844498164,-5.811603108749171,-5.6436340191518415
21,-7.683192586916345,-6.986135439243155,-5.48645944412152,-6.404854709737213,-7.366676258351362,-6.800066290369648,-7.101754248388189,-7.489630279709713,-5.798301561020567,-5.6436340191518415
22,-6.911684516274152,-6.527496695939416,-5.48645944412152,-6.142821168738773,-7.08240807420289,-6.26200025729046,-7.075066266812601,-6.909560503191144,-5.55293151377793,-5.620836983285796
23,-6.176702075956996,-6.527496695939416,-5.48645944412152,-5.662901382594374,-7.012042848291611,-6.0235483342217435,-6.859538080564688,-5.96033776673371,-5.459559254355258,-5.620836983285796
24,-5.927003846463437,-6.028727367481972,-5.17863714981219,-5.279305051225779,-6.6342277996644965,-5.861391564104446,-6.590231606680666,-5.914622338754976,-5.287116708028121,-5.402458106354887
25,-5.696016858101405,-5.485775232924333,-5.155663202628907,-5.10180510860876,-6.05954944472225,-5.861391564104446,-6.388020771811512,-5.452583808888781,-5.082184784155294,-5.322733582150034
