iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-193.48561835246252,-189.65526308348728,-196.84329714999677,-210.74022418285404,-202.8337561943908,-195.31409852103326,-199.83609595939802,-181.23211121145346,-188.66020656651742,-184.74405605134893
1,-191.95143598642667,-185.22780171640628,-195.57941151285942,-210.1730144950813,-202.8337561943908,-195.31409852103326,-193.96096624356323,-181.23211121145346,-182.58532348340057,-182.28050858278323
2,-191.95143598642667,-174.46546780456288,-190.09143201816732,-202.75907196390818,-201.16154643842236,-191.83826988407253,-192.15940731080588,-181.23211121145346,-182.58532348340057,-179.4976398473376
3,-191.95143598642667,-174.46546780456288,-187.34092061726795,-195.1848231442002,-198.58483878444332,-191.83826988407253,-189.2521799023788,-179.52694200365488,-173.86989512135767,-177.2408540109323
4,-190.73274867791386,-162.75914194460984,-182.90718050691083,-195.1848231442002,-194.87755866821894,-191.58244973018816,-178.4291117662855,-173.2030391412273,-165.65036815198755,-175.77043466606244
5,-186.99513349147276,-162.75914194460984,-182.90718050691083,-182.88600796645704,-192.43323407513574,-189.10505612931595,-178.4291117662855,-171.5424574378729,-165.65036815198755,-175.77043466606244
6,-184.4113876698955,-162.75914194460984,-182.90718050691083,-173.12912099326064,-191.6567298326319,-183.5894774734841,-177.53872480823998,-171.5424574378729,-165.64391854845115,-175.58162298794022
7,-178.4394103574274,-162.18245833510593,-178.67372396548166,-172.2830497987627,-187.48886298104566,-175.65460792238136,-176.83038202266988,-165.77845881791603,-165.64391854845115,-175.58162298794022
8,-178.4394103574274,-162.18245833510593,-173.55963761380772,-163.90022985962588,-186.59257411384786,-166.279955948976,-176.25815301981189,-154.81855779780977,-161.54766881090472,-172.54556225615664
9,-173.86199355502316,-160.10010920992158,-169.13218492946328,-160.06330277552544,-184.53789108966544,-163.72625780547602,-175.2193673930347,-154.81855779780977,-156.11689164344847,-171.20224635273703
10,-173.86199355502316,-158.96176599392544,-163.26609271837322,-152.8934276216215,-172.8816135253681,-163.02108625544827,-175.2193673930347,-154.81855779780977,-156.11689164344847,-169.90825159019354
11,-159.9536730948307,-152.77061512591308,-163.26609271837322,-148.57416948492036,-170.68687661871763,-163.02108625544827,-168.71885112496307,-154.6062332426699,-154.56377347191344,-169.90825159019354
12,-144.18155052555994,-148.56118847230218,-145.9946830040103,-145.83034630669408,-165.2701324037342,-163.02108625544827,-163.65319379080745,-142.9876417087362,-147.83847387768253,-169.90825159019354
13,-140.94781270872218,-148.39004994578747,-142.73219314274286,-145.83034630669408,-158.62731451331837,-155.37375050831588,-159.14306451186525,-139.63777612833968,-134.32622355774828,-165.34640598055748
14,-132.80286010162678,-134.72242963597986,-137.9471238568711,-135.30420665925112,-158.62731451331837,-152.19739398314567,-149.45980227624744,-139.17861008323422,-131.32228406269266,-157.44117230661266
15,-125.70079816696857,-134.72242963597986,-135.64058352510148,-133.52723291396057,-149.37630325537043,-143.48280526246447,-146.17836871834368,-135.9204617295784,-126.00896060117492,-145.9925756454488
16,-120.42987535186724,-134.72242963597986,-123.51179340964505,-123.99642100818548,-148.28689267290162,-136.8973688461465,-143.02397301727547,-119.62997813940291,-119.04954071757618,-138.92329940867157
17,-113.25120821653951,-121.54648045325305,-119.3897533220337,-116.49615125450018,-133.71243937812793,-133.90438653787376,-136.28287393104858,-115.35597760165376,-113.20730663513208,-136.15443779340393
18,-110.90945247008041,-117.43157748814907,-113.2758544627559,-116.49615125450018,-127.98111492654131,-133.10052551165336,-124.07436714315864,-115.35597760165376,-103.16572243447015,-131.1285126720983
19,-109.57394943165475,-110.37845001748465,-113.2758544627559,-116.49615125450018,-118.5797877121261,-129.2551432194145,-124.07436714315864,-115.1949570621749,-103.16572243447015,-127.24382673954757
20,-108.7142299506032,-106.72797645522185,-110.93752170583369,-114.38176150375953,-118.39293921343199,-111.00183384588252,-118.89465853802999,-108.58876528256005,-100.48818376977127,-114.987470871265
21,-107.85717870974136,-106.10318735076717,-110.93752170583369,-108.0061938503824,-105.75633126079094,-108.70869365846673,-113.64834174719044,-105.11605750992713,-100.46803670812622,-113.46447774822272
22,-103.24844620478278,-99.9201787046243,-105.44848681968679,-91.79368266180104,-101.41706244913301,-106.59322801066384,-103.92256845858043,-105.11605750992713,-95.44766861786792,-110.63390714418583
23,-99.55571452562856,-99.77843479864168,-105.31342568905441,-91.79368266180104,-93.4904934768274,-100.59794592199708,-97.95450212211753,-96.38940896931915,-95.44766861786792,-108.22134058189357
24,-98.07551142222712,-99.77843479864168,-103.97897409185927,-91.79368266180104,-91.11557389298785,-100.59794592199708,-94.49997154917753,-91.74330474419865,-94.02421606467232,-104.84108112330223
25,-96.46201701118355,-85.20805382454498,-101.36296918416724,-87.2578182103345,-89.3810973366003,-95.52149604404175,-92.12613281513367,-90.52630347243345,-89.86773826101535,-104.24749728787512
26,-91.92683143136168,-78.41860753701602,-87.6141399973896,-85.48030062007619,-88.94856401686647,-95.52149604404175,-88.44983343516307,-85.99395847414951,-89.86773826101535,-89.8711198452684
27,-90.9064247560636,-77.17459845697843,-84.84448397889949,-85.03467212549654,-84.0029806247457,-87.84007465789762,-85.70360214714529,-85.99395847414951,-88.12842095837422,-85.38356573065197
28,-90.73706539040599,-77.17459845697843,-77.11270965809277,-84.39892902553228,-83.53188774038591,-84.95654428746778,-82.8072713826305,-80.10624351273553,-86.5139391891232,-85.38356573065197
29,-85.02981929324952,-71.07091079469643,-77.11270965809277,-84.35547569879564,-83.53188774038591,-83.54581669387579,-82.44847259172096,-74.09699329874144,-81.23068338766035,-83.7437904163207
30,-81.28529085803677,-71.01332917612585,-73.73227568539039,-81.43145005260769,-75.31989492559869,-78.06679260576249,-81.01062227338515,-69.87159452618974,-81.23068338766035,-78.17854718564415
31,-78.43392751796935,-68.87112313114177,-72.56216475217269,-80.22301604691418,-68.6773888774156,-73.2436524805035,-75.58057541903727,-67.22269473514244,-74.60908320411855,-76.73226140441861
