iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-505.5215553348636,-503.36833879449136,-598.9024026348334,-500.23509836939695,-468.78601733021173,-486.4782835513222,-493.41628260435624,-486.8950399224387,-463.2139790503686,-468.27051740973843
1,-425.1498602312315,-550.0761415409318,-404.6148123853454,-429.2762470478795,-454.7826532289682,-482.2614842405692,-378.0722714334609,-452.5520030298939,-399.3162382206081,-450.73595373287793
2,-403.12106473458266,-419.02008195587996,-345.6239345842831,-432.4489685699965,-429.79903139811563,-404.8016693235808,-459.26009930412124,-427.8197802519053,-423.3293032488964,-422.4215326074203
3,-376.14529113743515,-442.99858612904444,-413.7592129788675,-394.6808395953767,-469.57134636345063,-488.0958699981903,-424.5769926487004,-457.5529907081766,-383.3803827813119,-428.0314726153673
4,-438.84399227441406,-368.86188489977735,-420.815631196779,-437.55011960986053,-459.2048428455573,-408.58412208053136,-407.93077521071007,-426.9189204429978,-378.83586265825164,-380.92625965120646
5,-455.53753045689575,-401.4041417626364,-428.971393409917,-415.31887726843854,-400.81690243792656,-354.8544877378997,-429.11756192303915,-404.74960360055854,-401.5764762431592,-432.0586251848553
6,-366.863901062258,-377.6561982259807,-360.9816579182187,-459.390714274172,-387.7598042528573,-463.20923436420117,-445.1073139106196,-469.0324271563305,-410.7970699351072,-464.1465239757073
7,-393.00178756765473,-416.61873143810067,-394.6027765684599,-404.0277253212609,-412.451960699574,-396.5658309271663,-373.7693052692952,-403.42440554500456,-394.8370888681338,-427.6910631400167
8,-430.2693699558097,-410.1112013567462,-300.14058564023605,-377.84176269002694,-363.85992230135304,-368.1285999204484,-294.69532282338855,-372.43626612050844,-394.7755284449945,-349.28750261740083
9,-374.1790298560579,-320.3518713913461,-402.0803190449328,-351.79353289712355,-376.35708673183524,-369.0789485821298,-378.90965454319837,-372.6792579318765,-351.4703581308732,-378.8157267083209
10,-332.97773681917204,-340.99796922760635,-347.7884039410595,-415.92828058354445,-403.49991470690054,-350.48724570437196,-383.0989748898539,-391.4757508989594,-368.67626673854465,-369.02895961228865
11,-341.4823221183218,-292.2222043524856,-388.09118061838785,-318.6006817575959,-403.24665865565584,-289.5192471046173,-310.76209277521787,-336.2726323084994,-415.667907724102,-345.5022146753038
12,-272.74810626200184,-313.40376211143996,-238.8930591939611,-352.2989873062294,-273.8267349882282,-381.2950009776853,-321.2810744575561,-348.876707296155,-286.5847809676562,-340.02759289748155
13,-304.0849897815932,-334.3391073142999,-332.9835944661646,-383.2470329761129,-336.33159691407985,-360.1786575192364,-293.7328990757668,-312.7800023995837,-277.125873919946,-384.0701017434171
14,-308.6905782228969,-333.96998874567225,-293.3013694086734,-264.63799011280094,-351.53114320298266,-311.13486514261166,-249.37371057504458,-277.6922474987054,-355.17004670912473,-280.18655318501897
15,-310.43029125441603,-340.5208762704404,-321.6580573338349,-276.6435448019406,-308.39692638115287,-245.6933692512418,-310.3214057535076,-301.6046354408127,-318.6377966739823,-332.53015672715156
16,-273.19653256403035,-378.16182805178494,-260.20894629597746,-258.5047473039041,-311.4871573592402,-304.7768272646958,-305.24147221377484,-235.88882725923014,-329.20029977173584,-323.939967795902
17,-230.122594378185,-246.27872782084333,-228.00733542303306,-276.23239680685367,-348.50444550145016,-245.2596663253621,-227.8389242854107,-340.6658066023858,-360.8890978836354,-273.8869810545866
