iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-193.48561835246252,-189.65526308348728,-196.84329714999677,-210.74022418285404,-202.8337561943908,-195.31409852103326,-199.83609595939802,-181.23211121145346,-188.66020656651742,-184.74405605134893
1,-64.43639534452794,-68.15550106376358,-49.806904591668776,-65.29584229421984,-68.43857880518253,-69.67363974351414,-66.1482871280561,-58.343537393201636,-58.29265758883304,-75.44044426594161
2,-41.025394452244356,-44.40874571517321,-35.17583921884818,-43.96536966790501,-36.47554161680741,-41.16669485991953,-37.479799324736256,-36.883967747807844,-36.04887932112411,-44.90039614052446
3,-36.102481590731315,-35.45283736539619,-32.60049721570112,-35.89978445990006,-30.53630204106472,-35.27736511204304,-31.810093354821,-32.844067449800235,-29.266813562779483,-34.548996600857365
4,-34.15919433242712,-33.217971490327386,-30.48159733473961,-30.690821395484324,-29.693977750450426,-33.72514459634833,-30.022317936991996,-31.497340641020774,-26.0432158908117,-28.18785690284856
5,-30.79081225133192,-30.61538325331889,-25.896595215359483,-29.42121558842901,-29.549524078622923,-29.583403400013317,-28.85871104406055,-30.098539226092914,-24.97353288749752,-26.548427196433863
6,-27.831082992304623,-29.878478616768636,-22.880957947180722,-27.274639778045298,-27.969840595995237,-26.793927511381025,-26.340909957283976,-29.15091140902755,-22.635007902044094,-22.78775104043858
7,-26.169051498425492,-26.73843814984542,-20.92112082633217,-24.44628279492529,-26.491115828359398,-23.37786959448424,-22.478143233290485,-26.023077459265764,-21.186269092005872,-20.31481902589678
8,-23.722622319400124,-23.770615318341264,-17.285885482396793,-21.520384618143893,-23.615649116062137,-21.741853037825976,-20.273649374412265,-21.53130663232396,-18.92646657174785,-14.598520864134837
9,-20.62271362981005,-20.287011311847248,-16.798591127853776,-18.36245677978454,-21.00349816396924,-18.268225024891958,-18.56033231134336,-18.79138481241217,-16.48904883476558,-13.582295422567338
10,-17.704965740039356,-16.974262443533945,-12.937962767641876,-16.743662637842114,-18.088894657475592,-14.077808481301927,-16.61859835982937,-17.650307391748267,-13.371997552126485,-12.107397504345212
11,-13.693482333636751,-13.97721857151364,-10.118317688451402,-14.937940870269738,-16.178427575189517,-12.618256596317057,-15.108118180447601,-14.279658003635246,-10.849326386815523,-10.955369744860763
12,-10.836957773925247,-10.598426350447143,-7.612486260972078,-10.842293235400913,-11.249058305430946,-10.486411189092479,-11.683010256026154,-10.089173541558317,-7.53813147433816,-8.784870389309432
13,-9.73662262794241,-8.569684868198719,-7.0883062146586875,-8.314298205392838,-9.264200241335924,-9.31817848131595,-9.588815886008621,-9.274216776891322,-6.920053306164566,-7.604082216100251
