iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-505.5215553348636,-503.36833879449136,-598.9024026348334,-500.23509836939695,-468.78601733021173,-486.4782835513222,-493.41628260435624,-486.8950399224387,-463.2139790503686,-468.27051740973843
1,-64.43639534452794,-68.15550106376358,-49.806904591668776,-65.29584229421984,-68.43857880518253,-69.67363974351414,-66.1482871280561,-58.343537393201636,-58.29265758883304,-75.44044426594161
2,-45.48686695816964,-48.078843535635556,-37.82025964529723,-44.40245948227759,-36.500892434571185,-43.174976014662846,-41.02417768141176,-37.392890193476724,-38.49594074727229,-47.320207160158304
3,-42.458365854886274,-41.271643866097676,-40.961393345197884,-43.78429503064856,-37.901178344683004,-44.571495063316206,-38.488821319063916,-40.32877425019061,-34.173381561203854,-40.28844024375911
4,-50.32493971480507,-48.33302570873963,-43.58066372344469,-37.75553703674446,-44.739720238680206,-47.08767737008668,-44.01774577762711,-41.082275305875,-31.96623140992496,-34.82607306955556
5,-43.3850408377627,-38.66834505680288,-38.40097739613485,-43.60079129123702,-45.3567253461329,-44.03343683885929,-43.01849199975453,-44.53492473159713,-34.95445349859244,-36.55920353144777
6,-40.3411972760446,-46.86436266072673,-33.146797174945235,-44.59205112040753,-42.20330711552665,-41.42873047006973,-39.765393315840186,-49.07689028469221,-34.7714926420352,-35.01434486639594
7,-40.29521784866307,-38.47229482675887,-31.859009676500406,-37.71232619543356,-40.33425377829844,-35.99630967998333,-26.717586300988014,-38.79307395237116,-31.14301253509864,-32.718199303184875
8,-36.82761548966103,-34.267973130937,-28.989298287932733,-33.54232502851085,-30.6271342752277,-32.190696492906056,-28.67917039015249,-28.387082183962637,-34.041210782654815,-22.60789616583063
9,-27.608978057709116,-29.335723521370223,-27.570343036607426,-23.98270230373734,-26.02593965508283,-24.772212158871604,-25.855933117130206,-28.05426412589734,-23.483807623220237,-28.855632346676295
10,-26.74692481912696,-23.69524750746323,-16.64481475171566,-22.252154416425903,-25.308420980675912,-16.70884430686166,-21.290095882214043,-24.875254695339365,-18.92336625110223,-17.223619835362072
