iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-130.6718593121763,-134.3894588843304,-134.08023631070813,-138.14026643897654,-152.10540459176622,-140.42043320435926,-135.9924053741915,-127.99748627570561,-121.60163153692943,-133.96986841646952
1,-51.66160140169384,-62.13320492050447,-54.30346850041372,-49.11718597999517,-62.80568026635629,-64.20371091444605,-54.72095875174718,-53.186994872278746,-47.08730459767081,-58.026700228793146
2,-15.486855105899467,-28.588003013531424,-27.6352600108614,-19.747382886006676,-15.539682434517296,-23.81083682864595,-23.749723243923455,-19.98435795095525,-18.860623644222464,-19.75224753652696
3,-11.721970126758473,-15.608211135295525,-19.947723167634017,-11.476312636462838,-11.638867860449857,-14.519924967350148,-14.435457395235193,-14.794760051156373,-9.011663265115654,-13.364946109594417
4,-9.614972495875472,-11.033913331277201,-16.572661281658984,-11.423005673220779,-10.103463770705856,-10.256594481739317,-12.267007255938925,-10.95228713741483,-8.611722635765656,-11.021501807662093
5,-8.856607944436412,-8.734150681839683,-13.636948557747338,-9.422916077656664,-9.26085726836748,-10.203655730171477,-11.098456646087119,-8.354402613660573,-7.972327813361182,-10.092011008311228
6,-8.18574510597126,-7.439039554568068,-12.562169924301351,-7.997218107723295,-9.116472154255273,-9.28252865047584,-10.340985280863762,-7.506111848032265,-7.728800319740645,-7.958803763448692
7,-6.864245121131712,-7.397949369951463,-8.783766222605795,-7.345632032540857,-8.485487680355197,-8.463656123969294,-8.825113291287963,-6.61592341631755,-7.1425197624370576,-7.835259617546203
8,-6.6378327889290425,-6.944126923747673,-8.470130054691058,-6.336923430683187,-8.034473054794885,-8.388427903241677,-7.765145885481497,-6.384269147814816,-6.51280216295568,-7.383615114372105
9,-6.358992087771779,-6.426473624765021,-7.026568968760111,-5.843072471940938,-7.747423701622979,-6.487709798828638,-6.316458380244696,-5.897356582463929,-6.181524785364074,-6.676249944899729
10,-5.260785599518924,-6.027704208710851,-6.9683749674701225,-5.051168810509844,-7.177456505110229,-6.121543462389536,-5.51071200729579,-5.437911967676433,-5.9612585954224375,-5.925462068310589
11,-4.962972039115181,-5.792587002922397,-6.802733678296725,-4.980496089303092,-5.855630495258383,-5.551857319046857,-5.128951093798909,-4.95879089704961,-5.445699446894877,-5.1157905510275805
12,-4.611446354761039,-5.088875723725132,-5.620885682363321,-4.487866196521733,-4.159545731789107,-5.126733675729486,-4.779724103159592,-4.691254941880809,-4.684690813090097,-4.5500766552847205
13,-3.9555711990658375,-4.265069142228639,-4.7232135981363665,-3.8268630151286382,-3.6105727532459833,-4.676676407761775,-3.8318008378949924,-3.805992298709791,-3.7968124434896042,-3.929597734976449
14,-3.5042746234453244,-3.9330589210158955,-4.200588880093177,-3.167360824834687,-3.599696889631585,-4.338090411062399,-3.2264851893451816,-3.4176715685431622,-3.4361530476078292,-3.5065937358477948
15,-3.392700685891416,-3.7654732106178086,-3.9379904991570704,-3.068086917568083,-3.433047621313843,-3.969815380960183,-3.2019971565339502,-3.3991388980344857,-3.1255766076895304,-3.3191705626962595
16,-3.319393798672492,-3.5236835010860883,-3.596968075776287,-3.0427054248791583,-3.4008994953832734,-3.7634662836687953,-3.1614479080813815,-3.322962265603252,-3.092425374618726,-3.2813897792863713
17,-3.2879028194909554,-3.482044940415583,-3.4588522589245034,-3.004091236662496,-3.4008994953832734,-3.6510298582106975,-3.069538068011349,-3.311090323204084,-3.0547967026504153,-3.091263581210656
18,-3.265731740902913,-3.31556606435159,-3.264103167780088,-3.004091236662496,-3.2345624178767647,-3.406335649373192,-2.9599573075357193,-3.2734844908842278,-3.043991041418374,-3.091263581210656
19,-3.2077043860323875,-3.213166396022759,-3.242175494754927,-2.958074586212752,-3.1537889004359245,-3.3445836295991405,-2.9003710390428354,-3.20615560091338,-2.9815711667347817,-3.056673644507809
20,-3.096912834120432,-3.213166396022759,-3.1885008761444134,-2.928798260380427,-3.010417336927336,-3.293044796865009,-2.899104161090813,-3.20615560091338,-2.828158847686618,-3.030595148050786
21,-3.0429875000822735,-3.144117586157423,-3.171317132937692,-2.928798260380427,-2.899497169678387,-3.24757392325161,-2.8168827883089156,-3.052513905698719,-2.8077407503727283,-2.9625637584567253
22,-3.012954857090067,-2.9386986992934543,-3.141247632610783,-2.867765103977381,-2.8965171988615412,-3.1361746896392693,-2.765369300093073,-2.914140286676391,-2.7390073730149567,-2.929643626068466
23,-2.9164110667567025,-2.8147840837596556,-3.097575090432493,-2.7913113751206446,-2.6949800416060543,-3.0017395202044437,-2.7558703801713804,-2.896814736332367,-2.6420064568054107,-2.845478855798558
24,-2.780970021129906,-2.7222875617652074,-3.038309585145212,-2.7609603462533507,-2.6147106098994,-2.9574480368687803,-2.6435199094260833,-2.8302434465998103,-2.5505364955702285,-2.799678017220467
25,-2.703107308507472,-2.7178279701307915,-2.9563132971072967,-2.7296122469857202,-2.5395340082506426,-2.872850955598193,-2.510480121249974,-2.8069379882211725,-2.4149534232904366,-2.7737414863198824
26,-2.6763673204813943,-2.7178279701307915,-2.9517130549115382,-2.671075118241816,-2.5395340082506426,-2.7679550605081427,-2.4064308455066006,-2.8069379882211725,-2.3243458583780554,-2.674360154232707
27,-2.531819288438534,-2.7006275240413156,-2.858802777464663,-2.5782933719886287,-2.459844421443385,-2.7679550605081427,-2.326595476736746,-2.594572465158892,-2.292096508288396,-2.6283403384727135
28,-2.465646397378328,-2.694871812288181,-2.708916518860459,-2.4980870560528468,-2.452530341140798,-2.647544613585046,-2.316887911094554,-2.594572465158892,-2.2752522870954985,-2.4585567601495883
29,-2.445891962471062,-2.55884730010294,-2.6798623652319287,-2.440460376433549,-2.452530341140798,-2.552973599499663,-2.307215288889994,-2.46327183641141,-2.2041563071444794,-2.4585567601495883
30,-2.326721146153372,-2.495736364047975,-2.64575191900074,-2.4227290943796373,-2.447122748721306,-2.3749492534360646,-2.224377058916514,-2.46327183641141,-2.1815756022214865,-2.4585567601495883
31,-2.3170074791129704,-2.495736364047975,-2.64575191900074,-2.4227290943796373,-2.447122748721306,-2.344827296328909,-2.224377058916514,-2.3777304393224776,-2.1815756022214865,-2.4510132099884614
32,-2.2488106455905266,-2.396558948217035,-2.567855742694594,-2.313532831345466,-2.3950140781135145,-2.339601286434366,-2.224377058916514,-2.2605279466611865,-2.144989341758116,-2.4510132099884614
33,-2.221717849546371,-2.3778432884902494,-2.5606900486743065,-2.307181057945029,-2.3950140781135145,-2.339601286434366,-2.1674497925696716,-2.2342925082115883,-2.0993957982485174,-2.406524767598075
34,-2.1663937648161435,-2.332879790846909,-2.5483415771791345,-2.2246829169742517,-2.3950140781135145,-2.312284972891817,-2.1671746906705476,-2.199432960198524,-1.9982622386011775,-2.3183573733867266
