iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-305.0106777882145,-306.05865676272117,-329.30096434617394,-322.04780307081205,-296.42306658976145,-302.6013880888335,-314.13248714391455,-308.8190471299987,-275.83969683126196,-305.3447295223504
1,-51.66160140169384,-62.13320492050447,-54.30346850041372,-49.11718597999517,-62.80568026635629,-64.20371091444605,-54.72095875174718,-53.186994872278746,-47.08730459767081,-58.026700228793146
2,-15.486855105899467,-28.68495505094642,-27.6352600108614,-19.747382886006676,-15.539682434517296,-23.81083682864595,-23.749723243923455,-19.98435795095525,-19.660985729026798,-19.75224753652696
3,-15.29498900820375,-17.48878861395966,-22.020964370038808,-13.146083065904467,-13.458777022316452,-16.561719261086026,-16.22162984711506,-17.122973264188573,-9.591519743416175,-14.672658873487007
4,-14.450826858574638,-15.892866791679175,-23.18852231173644,-19.13222467269445,-16.09036498223268,-12.336017716791915,-17.489924310842184,-15.653254208996007,-14.754728452383663,-14.464497936145325
5,-14.89036633623977,-14.140569979410497,-20.735319177461175,-13.829904296587193,-13.864661810307744,-16.105599921018936,-18.141207572815823,-12.245337028045784,-13.510741879068105,-15.789974443108209
6,-11.788672194895026,-11.856666452558796,-16.809186484202748,-11.788627937631729,-13.203332865201109,-13.696701489409566,-14.108009240926119,-12.156230303527959,-13.612263455562815,-10.869873278315957
7,-10.629031118580839,-11.584126771761625,-11.584751692002111,-9.359699022098859,-12.044152432469266,-12.373417602416172,-11.318181137434493,-11.190949074549623,-11.085582317039322,-12.12030303166938
8,-10.222921742704827,-10.202567422532985,-11.722850036706209,-8.994196204489423,-11.753144776540102,-12.37939975180246,-9.92317149091424,-10.493208450199411,-9.024285561403847,-11.70455349926624
9,-9.328681172787151,-9.379510466878365,-9.618178273232818,-9.014919882763788,-11.926469687395446,-9.885737381334227,-7.702927109803073,-8.751723243273256,-9.259181615736805,-10.292769240806953
10,-7.553507008509598,-8.592032528655277,-10.550308873733156,-6.13598933142328,-9.92283774793292,-9.933985854143938,-8.431438298624006,-7.50491257789617,-7.8469290822884314,-9.000786347097073
11,-7.038897401561571,-8.403847323614752,-9.391908048689416,-7.717317881709663,-6.984969681569245,-7.69144176523549,-7.054017905498984,-7.843148811527665,-8.012222200112038,-7.159828109397032
12,-6.410252048693708,-5.915095896711021,-7.985205797576155,-5.195641118463629,-4.964401632110079,-6.280978099157858,-7.135827237878333,-6.7832817086349415,-5.561478207945823,-6.467352631869636
13,-5.885300555537398,-5.221121496645335,-5.614042092316504,-4.358157765136246,-4.456947433834928,-5.404345061749149,-5.070284633206707,-4.699333392523592,-4.842539721934168,-4.878789407145612
14,-4.974489439750337,-4.873508099576963,-4.951518673899942,-4.018094818570132,-4.902408596542399,-5.1552579924834045,-4.241940064958513,-4.6093309976262296,-4.872235008262934,-4.699400111315425
15,-4.853435741945219,-5.059221194201409,-5.586803354198165,-4.712046095355824,-4.522276750370795,-4.990193537121305,-4.848606968495384,-4.95958684167198,-4.537615392516041,-4.768848778774853
16,-5.576861299982442,-5.057560551837344,-4.4546140567799934,-4.957022120076889,-5.162860272347444,-5.612451789675925,-4.726530149955528,-4.938937988215018,-5.4944470182567935,-5.294434313856362
