iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-130.6718593121763,-134.3894588843304,-134.08023631070813,-138.14026643897654,-152.10540459176622,-140.42043320435926,-135.9924053741915,-127.99748627570561,-121.60163153692943,-133.96986841646952
1,-128.4032572866031,-134.3894588843304,-134.08023631070813,-135.34105590384692,-151.42455880923356,-140.42043320435926,-135.9924053741915,-127.87893609944474,-114.97101082586212,-133.96986841646952
2,-120.87051323475305,-131.81401875380033,-126.04028391453505,-129.07791091146106,-144.4872499721295,-139.72425267017604,-128.4075994274454,-127.51472035693209,-108.95845070402316,-127.53546335916377
3,-119.70095813636414,-128.01729968605883,-126.04028391453505,-128.51962841090437,-141.22340501772223,-137.82235608053762,-123.59234673500542,-113.73126115832645,-108.79640540020623,-124.43191197508068
4,-119.70095813636414,-127.92467764378235,-121.12114988448516,-125.64430022938501,-139.07714021701594,-136.96879161318944,-122.85875478977906,-113.73126115832645,-108.79640540020623,-118.71240945873089
5,-119.70095813636414,-127.32991061669044,-120.78536715523157,-120.16262343026082,-137.10666888448517,-136.96879161318944,-119.5038565781618,-110.92947470109198,-107.41420246040208,-113.9434423319208
6,-118.09288397654865,-127.32991061669044,-116.57533680246496,-114.75419834691262,-133.05470915628757,-136.69052523518442,-105.51806201115608,-104.2628796798245,-107.11928173792838,-109.61456579361588
7,-118.09288397654865,-127.14122855133772,-116.57533680246496,-108.78775073181714,-125.51623008959203,-131.65064983254263,-103.3091055286002,-102.06806639846354,-104.7949184385215,-103.67199135596636
8,-117.04767351692428,-127.14122855133772,-115.93815778314541,-105.31955982659632,-125.51623008959203,-130.25807479645545,-101.86550222026479,-101.67409026027327,-104.1525485001439,-103.3410274259715
9,-113.71476466239301,-124.33820735288911,-108.96245711170344,-105.31955982659632,-118.54485838047894,-123.78026227662579,-101.86550222026479,-99.00438114431424,-99.57882175727937,-101.49463091934645
10,-113.71476466239301,-124.33820735288911,-104.82355018216407,-105.31955982659632,-113.57188477331803,-123.78026227662579,-101.86550222026479,-93.54112642816378,-98.97183788029508,-101.49463091934645
11,-108.36550282108814,-124.33820735288911,-104.771348546728,-104.0686532624166,-108.93564170914183,-122.18108938538123,-101.86550222026479,-91.1812004665722,-96.6570760260199,-98.04693931459417
12,-105.86072270538824,-121.89884116282323,-101.55899573356763,-103.29654902896215,-103.20745679128784,-122.18108938538123,-96.62507581986085,-87.6148905171446,-96.6570760260199,-97.08569208419158
13,-102.42256103707854,-114.54413859273467,-97.11234825171348,-103.29654902896215,-101.31131743582333,-118.63922900111316,-91.70970711937773,-80.24412207573955,-94.42206816584346,-94.38874683452585
14,-95.57433018054195,-104.34295972603567,-94.89631651312224,-100.48315426793056,-99.73049752081468,-105.17391050872584,-85.84912166363915,-80.24412207573955,-92.06201045501552,-94.38874683452585
15,-85.94445263521914,-99.50522507845758,-94.61198008732869,-96.20282711997707,-95.61190884103617,-105.17391050872584,-85.13989058367295,-74.20407107930541,-92.06201045501552,-93.17125487235575
16,-85.94445263521914,-90.47351086698858,-92.19749087128768,-91.03659185552372,-94.56161948669735,-98.19071285829243,-82.52756651493334,-72.5711392739123,-88.61123587257808,-92.44896646925703
17,-85.67230175899887,-88.10520787914994,-88.08269013071587,-84.7787841962482,-89.56320326366463,-93.88245160467366,-80.81619531918746,-72.5711392739123,-88.61123587257808,-84.52748430012254
18,-82.26187263031474,-82.5782585441988,-86.21747345409725,-84.35160028956577,-88.57363617223793,-91.50429827596122,-74.87807641342411,-72.5711392739123,-86.06527411982256,-84.52748430012254
19,-78.90876609723352,-74.57020903830957,-86.21747345409725,-80.79219343587627,-84.45082116412627,-84.24358199685994,-71.68215853724723,-68.36913601581797,-85.47056406827473,-84.52748430012254
20,-76.24133999560661,-72.45578042712705,-82.40378426761313,-79.97264635951012,-80.83419815231505,-75.39388268899157,-68.6228595978792,-66.57220764251304,-85.3587765085133,-84.13423631025168
21,-73.95527289265416,-69.2066420150706,-80.3329648041272,-73.23855811307381,-80.83419815231505,-69.14280550579751,-68.56996620295939,-66.57220764251304,-82.37186079107374,-84.13423631025168
22,-73.95527289265416,-66.71189220629381,-80.19252132433776,-68.27554462106922,-80.32045920859471,-66.28394100770805,-65.93139276225907,-64.6177414018699,-76.96956139942911,-82.01100554814886
23,-73.09637682589442,-65.68827793201137,-77.81240077614291,-61.585750559983104,-77.53775846652087,-66.28394100770805,-62.49570943342018,-64.53056667943149,-75.50576885153009,-76.89903676329726
24,-70.80173808888802,-63.451944289710354,-77.10232670796904,-59.11853936779796,-69.07868849709078,-66.28394100770805,-62.49570943342018,-64.53056667943149,-71.74372266197874,-76.10704791039828
25,-65.18675293430968,-63.398591198552225,-71.55412739512363,-57.84487439726607,-66.08463719537525,-64.85110741511927,-60.41101955997471,-63.25189291684305,-71.74372266197874,-75.41424717578451
26,-61.24293864965242,-62.90512766155035,-64.39996438281779,-57.84487439726607,-64.70177610862723,-63.742394327500705,-57.010722978697885,-58.97292973679956,-71.7097735593762,-67.40577713989582
27,-61.24293864965242,-61.65819905172498,-62.86989225079997,-55.42324574392015,-62.58293074016057,-61.92570208579282,-55.48994488575401,-58.80982380608469,-68.27926070666692,-65.97998548175607
28,-61.09888081918877,-59.879711279028086,-58.629026802898366,-53.19128698463416,-59.43196328629611,-61.14721615649249,-55.48994488575401,-58.70932846910315,-65.54646983195838,-64.45015434561185
29,-59.864718135171735,-59.879711279028086,-55.42303450833313,-52.92553727911914,-55.94025546739489,-59.5030492188799,-55.329583943032894,-58.70932846910315,-62.49622679711247,-64.45015434561185
30,-59.69804169465178,-58.8168055792617,-54.30333583768714,-51.4161651399732,-54.75803391430554,-54.457398390963036,-55.329583943032894,-57.75346930200191,-62.175787298469956,-62.50876558802387
31,-53.074439096124294,-52.48372972069299,-54.30333583768714,-51.1048487932469,-54.75803391430554,-53.9879683862741,-55.329583943032894,-57.465550338934996,-59.93916328704697,-62.50876558802387
32,-52.565270794577025,-51.085364691094675,-52.6411562136481,-50.45935067579387,-51.46109689256602,-53.9879683862741,-54.615698930114284,-54.546066691232,-56.76251817718947,-59.89269810994726
33,-49.78286477121884,-49.208942623820086,-45.89787770250527,-49.0238608038827,-51.35512754716078,-52.64652653855958,-53.13777632187389,-54.546066691232,-51.78585530619706,-57.323043786087446
34,-49.10600837086351,-48.947962479449814,-43.80326716133446,-46.77341217125002,-51.35512754716078,-50.274447855302526,-50.76094675641643,-53.352209201160235,-51.78585530619706,-54.399837801259764
35,-47.183370456366916,-47.22520008027949,-43.80326716133446,-46.37482373834297,-51.35512754716078,-50.02698132632203,-50.702738418600234,-52.459022060816544,-51.636087912536524,-54.358735217189874
36,-47.183370456366916,-47.22520008027949,-41.93649489310665,-44.994221293235356,-48.63951163009733,-49.14218950365539,-50.702738418600234,-51.89449277957877,-49.15402643211222,-52.85840777719777
37,-47.183370456366916,-47.09183769582581,-41.02491669320323,-44.994221293235356,-44.15166005550856,-49.14218950365539,-47.500642371330606,-51.89449277957877,-48.71670425288166,-52.47641271373441
38,-47.183370456366916,-47.09183769582581,-39.32215432519777,-44.994221293235356,-44.15166005550856,-47.34055733622197,-47.25080081670691,-47.764715906871956,-46.786904824477006,-51.072424891662365
39,-47.16101557717149,-46.697128869357684,-37.51938231888102,-43.958281225364665,-43.134933118757836,-47.34055733622197,-45.423216612586074,-45.00840220481065,-46.26159813711135,-49.291175282883046
40,-46.37584500295959,-45.73659733634274,-37.51938231888102,-43.05789930970934,-43.134933118757836,-47.09906551157862,-44.67031661651541,-44.176136609538574,-45.7366385098549,-48.908695170204034
41,-44.75844732990096,-45.63345502021164,-37.51938231888102,-40.702082251898126,-43.134933118757836,-46.22444810471336,-44.502206303797806,-42.98048827060345,-44.43831297723175,-48.78180111397825
42,-42.562171414820426,-45.458494322619025,-37.51938231888102,-40.702082251898126,-43.134933118757836,-42.42355343160487,-43.99968563969021,-42.98048827060345,-43.63070186915312,-48.19225372934931
43,-42.562171414820426,-45.458494322619025,-37.51938231888102,-40.702082251898126,-43.134933118757836,-42.01759970109517,-43.08757209698387,-42.98048827060345,-43.340160472891284,-48.19225372934931
44,-41.21800869617862,-44.517656631955646,-37.51938231888102,-40.702082251898126,-43.134933118757836,-41.96754712530467,-42.37363428006611,-42.98048827060345,-43.340160472891284,-45.76874906764414
45,-41.044712055175786,-44.35201150479667,-37.51938231888102,-40.702082251898126,-43.134933118757836,-39.89395664922561,-42.25165689124656,-42.98048827060345,-43.30851645388533,-44.846794214759925
46,-40.696685525400675,-43.90667373608171,-36.97653970765569,-40.66347226810159,-42.002978771995274,-39.89395664922561,-41.86704195562706,-40.551906350991516,-42.38389546173895,-44.191117480087016
47,-40.44657830638038,-43.45162302201065,-36.97653970765569,-40.41995829032453,-42.002978771995274,-39.89395664922561,-41.056969250214095,-39.734107953828044,-41.76950779907038,-44.191117480087016
48,-39.85545449345582,-42.71075829259584,-36.273794901146715,-38.22010819415655,-41.23701031738135,-37.72292397156159,-41.056969250214095,-38.176787907051335,-39.81022456890168,-43.9466691256042
49,-39.85545449345582,-41.399714651832355,-36.273794901146715,-38.22010819415655,-40.455592065176354,-37.72292397156159,-41.056969250214095,-36.794217250654725,-39.41103151238581,-43.9466691256042
50,-39.35859064213727,-41.399714651832355,-36.273794901146715,-38.22010819415655,-40.455592065176354,-37.72292397156159,-41.04251902324482,-34.834887204355795,-39.41103151238581,-43.9466691256042
