iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-305.0106777882145,-306.05865676272117,-329.30096434617394,-322.04780307081205,-296.42306658976145,-302.6013880888335,-314.13248714391455,-308.8190471299987,-275.83969683126196,-305.3447295223504
1,-270.55532583691365,-282.5126753399132,-285.5430747447858,-277.8017171798104,-245.6333619357348,-251.56421568052508,-299.2693380220641,-276.9903157207272,-222.88001054584066,-301.1025494577525
2,-265.1618555295279,-245.0862591052563,-219.55391354417824,-230.01485570809837,-229.10310913735083,-295.3279522647322,-224.99991362350045,-260.7585674889798,-259.3565692912064,-230.83188551404663
3,-253.59110285857616,-239.54667533100758,-252.38630948933428,-255.69452903636642,-275.7821760603098,-242.03073757035355,-213.55378661003988,-206.42285907844808,-271.7281991889986,-240.34372996290324
4,-251.39164602150015,-220.41117826969437,-233.4406154790458,-262.9961050972873,-256.87981053054284,-237.36540719760228,-247.5880227566609,-223.51528313224804,-236.6975700775115,-276.6365173647834
5,-240.40623156003153,-254.96497542074414,-244.54561491112213,-237.5705978589017,-239.7535161072243,-286.8731927573965,-273.1837011506151,-251.02626976263952,-208.81452788779927,-272.30904052913434
6,-240.205994941018,-228.19164373126534,-222.20227327469763,-226.01447306369994,-249.61251780106554,-293.39847892432886,-207.30375348103667,-227.6189475074101,-259.12637743582957,-230.1868710250188
7,-220.65358676491988,-259.1550347275103,-246.4718405234521,-265.2154224906637,-225.39416775713835,-260.74825167686845,-227.52904670589703,-214.15953631716104,-265.1145217985021,-230.51429629928327
8,-209.75203798208258,-242.56205593651285,-225.57925825572636,-206.4476698442964,-221.278161988158,-275.2734616549649,-184.53944065683228,-225.42477453625347,-210.06250882663755,-258.88531018514715
9,-240.5344017169768,-233.5777534082147,-235.2781635008617,-238.6667476371364,-225.2448157584689,-248.12616042502648,-211.79428279512123,-185.93200174840229,-239.75086449075224,-211.9042787526194
10,-213.94422734049562,-222.44215460464585,-236.40371532789928,-247.41082183847737,-237.48198826730828,-253.63811521825062,-244.5627479788263,-207.62799528089792,-220.16196940143692,-218.06866661470718
11,-198.9511887381267,-249.16059817763593,-242.63772255603473,-238.36316344686315,-196.3429875501368,-244.58423131039643,-251.33039713959457,-228.39786454925303,-232.3417698551014,-222.1611577962636
12,-221.53940807630826,-233.53023919355476,-197.409062969618,-217.59111462052178,-237.20243936425308,-234.7422888915532,-212.43233340906644,-197.14859805191202,-236.33410125790357,-184.73868295509857
13,-206.69556945775594,-204.3471659381936,-236.01720089974964,-242.61827158542508,-203.1173810914205,-192.82829532442352,-259.4165312696163,-181.67834566576585,-235.71396411179367,-265.7546065816134
14,-234.030272962144,-198.47137296099203,-205.14811181796824,-181.12511889198882,-221.17526648747577,-221.04922833567716,-161.25928539324974,-222.5320794822378,-199.91551076066474,-244.00928444031553
15,-188.0345510186283,-228.81191807371528,-197.5341534952627,-188.68012579195928,-187.74079616718632,-242.59497264353593,-208.60290437367996,-181.48110680856996,-198.53755207754514,-204.84597456227505
16,-206.3940024493795,-167.12280917882194,-210.9987193157022,-190.41495560071175,-214.90404596690595,-183.46855887387255,-189.35161175056393,-188.41967461324566,-178.0964463781965,-191.26488144929633
17,-196.1405893173289,-186.3683739658316,-193.1996501857518,-184.96752779046938,-184.5410801191161,-169.3747837977591,-177.43955006057647,-206.95898166996278,-209.07552542022768,-164.42415777418302
18,-176.44174184189913,-150.01759192658466,-210.84950271457265,-204.9622660157475,-218.31624639169848,-206.62122237955379,-158.44388983437975,-190.86837234177466,-199.25848540246653,-206.61754596686447
19,-201.86183374742174,-158.7011244066207,-219.352130879372,-142.09697745103153,-196.03351627496073,-193.06281825275624,-195.78921622878767,-163.00011418460244,-195.55619198071648,-246.53887603939805
