iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-130.6718593121763,-134.3894588843304,-134.08023631070813,-138.14026643897654,-152.10540459176622,-140.42043320435926,-135.9924053741915,-127.99748627570561,-121.60163153692943,-133.96986841646952
1,-29.01970391380815,-38.3723781603594,-33.971886359305955,-32.13060835263893,-37.528415543822454,-31.72127510051507,-32.609842481459516,-24.516557041901493,-27.670812695825866,-29.70052577854146
2,-14.345471205014933,-17.944232360648922,-22.14555434084592,-16.034970690722503,-14.170807529371967,-17.08516934339211,-16.228432717617103,-19.101630071516052,-14.380662631522508,-14.261617418368202
3,-12.933386273723706,-16.497506395587774,-19.078713920626253,-12.002879932657239,-12.551380275296218,-13.648444807671396,-14.977762194426049,-18.973346509412774,-11.775084002266976,-12.913502464179661
4,-12.180924578786133,-16.497506395587774,-17.43947630158868,-12.002879932657239,-11.35977201883966,-13.563354841035537,-14.56808889309131,-17.71969830647118,-11.775084002266976,-12.78981785722618
5,-12.028281284805372,-15.743343222785805,-15.319990125237911,-10.811764922515739,-10.47559853293475,-13.494162873605726,-13.274899064230809,-16.826208459294822,-10.954181462354533,-12.775507023562042
6,-11.285984228876412,-13.960188378255015,-13.271658892183723,-10.759326044588782,-10.332253556900362,-12.53959257147302,-12.768146356156647,-15.360671455531365,-10.572411919218592,-11.954771528604237
7,-10.865047641349582,-13.344985201531095,-13.271658892183723,-10.519236136446393,-9.593622162218452,-12.33417799559567,-12.011396293584271,-13.009457480954733,-10.07558653646233,-11.523845943535559
8,-10.732724573086584,-12.846489858670557,-12.837605820108875,-9.398494502208662,-9.396355305878052,-11.748500044742487,-11.79022168732773,-11.806396182616737,-9.047391387371743,-10.72428951524107
9,-9.774478820940576,-12.185078345140333,-11.416984752856411,-8.507184872471317,-8.897791140314407,-9.894644439736654,-11.26644906433577,-11.314772867883299,-8.576332433403714,-7.865741884811799
10,-9.429978016561483,-9.84895367260071,-10.751268993718867,-8.25810790695295,-8.434291067897348,-9.688901820929148,-9.836569567694836,-10.908660713575653,-7.921973802807248,-7.576467562223545
11,-8.401339891489394,-8.031941116818977,-8.764553510665728,-7.823354919226404,-7.979743696757958,-9.028122636763564,-8.048772954714277,-9.240113861074194,-7.262742270371433,-6.816660015149688
12,-6.3932786261992,-6.916391011581653,-5.686829296789893,-6.619724355834084,-6.227200621563341,-6.326675862359324,-6.888973247289721,-6.410737958703587,-5.838587882604572,-6.434243400311685
13,-5.851899121378593,-5.773086072087265,-5.585643645878552,-6.025813280061579,-5.326791339129148,-5.428497053862317,-6.332241366515779,-6.3773225912362275,-5.370651663425985,-5.685330300673751
14,-5.851899121378593,-5.148062904782872,-5.267728882707621,-5.593972132090781,-5.325054552517329,-5.134218836556387,-5.381332390203543,-5.979889396255393,-5.301939835291211,-5.50752650116857
15,-5.78124682557297,-4.883051568806972,-5.031478217121671,-5.305618454585126,-4.877928671815218,-4.9338980190761355,-5.131050718854469,-5.318986478592948,-5.123906526245542,-5.3455776238985
