iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-305.0106777882145,-306.05865676272117,-329.30096434617394,-322.04780307081205,-296.42306658976145,-302.6013880888335,-314.13248714391455,-308.8190471299987,-275.83969683126196,-305.3447295223504
1,-29.01970391380815,-38.3723781603594,-33.971886359305955,-32.13060835263893,-37.528415543822454,-31.72127510051507,-32.609842481459516,-24.516557041901493,-27.670812695825866,-29.70052577854146
2,-18.50709130685857,-24.169756459407587,-24.859246062746458,-21.390538099197457,-16.543049814181046,-20.41821644803661,-18.211837995406018,-22.60317761744559,-20.218493990483307,-14.394464108060548
3,-28.825586005341705,-26.319819656365873,-32.804978173605846,-20.89576836981736,-25.232895380184885,-26.024994838516758,-31.691203326809042,-34.529542612048196,-23.593145385117655,-25.844799275630063
4,-25.775932759111114,-33.01168585612844,-32.67406471449275,-30.406058033963394,-27.09221625164112,-31.068117757423302,-29.18340177346715,-34.304456219758684,-26.39382403399589,-24.311493104480782
5,-29.50512731115841,-31.163224944906236,-30.12607860871478,-22.2781822290062,-26.286322192928615,-24.864144039403694,-23.208850373546156,-29.26087335990096,-23.614194074309268,-25.325864432168906
6,-25.138173358428695,-22.77353540133369,-25.37193065125573,-21.67993350875708,-20.25303493476745,-26.43444360970583,-27.402961183934185,-25.81537917350648,-20.988519898927258,-24.868826943138767
7,-20.870578037765007,-24.472800125086813,-27.9478107438516,-19.544684545103685,-17.97155169887024,-28.047202694498587,-21.251022185427583,-19.889089210156996,-21.42844947807197,-20.912085065356223
8,-19.92152759272799,-20.17945081078051,-23.516204535627033,-18.004370478751092,-18.2538187813487,-18.120110076278138,-17.303371084687058,-20.14483176763142,-18.87296129555262,-18.467236053729838
9,-15.351794214752777,-18.264268707310514,-18.322018178368104,-14.328353390431944,-16.391169159844164,-13.170761711092347,-15.88427574030693,-18.546917091156295,-16.12402210115905,-11.329350139268442
10,-14.32359104096987,-13.787244219894749,-18.11262444380337,-13.705357046581305,-11.9176220260433,-16.07074210929694,-15.2365212721075,-15.818152007439288,-12.128391040740604,-14.623660984124193
11,-12.037150057712648,-10.617026190854695,-11.912305368830758,-12.264837548762092,-11.7955409330072,-13.277740487813194,-10.327692314948163,-12.161281308722428,-10.671296097578228,-11.579564425329764
12,-8.709655296360747,-9.822378936963972,-7.685163514103712,-7.864584573274341,-7.2177461791214,-7.818635098362339,-8.831574273823211,-8.177432340020925,-8.249931003728225,-9.393188456254778
13,-9.363327866309252,-7.779139400696631,-8.849164779304575,-9.776342421119317,-7.529118092357416,-8.952508225575176,-10.047623054976485,-10.725235652474039,-8.635723991627085,-8.03472208268604
14,-9.663126794103576,-8.626873927322993,-9.18423211327455,-7.608044299476881,-8.41634251402667,-8.692427499931053,-7.715224079402662,-9.501080238825743,-9.0935383030808,-8.21895476648886
15,-9.045230034724414,-8.505876638187212,-7.833784080959669,-7.991352124708412,-6.331772155497176,-8.197301979886923,-8.28171173408014,-8.347289269307165,-8.667551344148178,-8.235406211178422
16,-6.416994961501892,-8.070854302950497,-8.087112945149913,-8.142953531852077,-7.224631206806251,-8.033563369542007,-7.405944238749912,-6.870411121840531,-7.406576443956962,-8.281674230152307
17,-7.0219004985103854,-7.211629925562245,-7.486264808125347,-7.008462844302222,-6.286671301899652,-7.264822154906944,-7.605249154129205,-7.216219361974139,-6.250177683538363,-7.240267427985453
18,-7.147951465914328,-6.51003110216674,-6.266518418275584,-6.680811548057819,-5.559974069805915,-6.227947577376723,-6.162168553227748,-6.246579117916646,-5.886104961954672,-6.50582079448915
19,-7.14466444765473,-5.982949996633709,-6.226497532830524,-6.117032763700677,-6.93276263556137,-7.094446355945891,-5.5802194691531195,-6.112743585688401,-6.61550763433845,-5.464457164161528
20,-6.091293800682266,-5.460569061219447,-5.743961568417914,-6.291462760585772,-6.466835081663179,-5.310126194302862,-6.308085228995772,-5.840825559943599,-6.528874806217946,-5.8196857784199985
21,-6.133731742807244,-5.021080944577117,-5.848393014439681,-6.390555178747912,-5.939946485051964,-6.372459320196132,-4.5796715183082535,-5.420033310643232,-5.676674698735717,-5.526305630974132
22,-4.898650559270743,-5.447177413445848,-5.485273955593991,-5.339344884423253,-5.059432960753149,-4.935823902333295,-4.96716533802924,-4.9412875994779135,-5.2558578152019795,-5.142870692628733
23,-4.422638504794758,-4.943939399603138,-4.340452892374267,-4.968405000383735,-4.5709593068023695,-4.49665619559999,-4.054833517993453,-4.734568770624122,-4.321511732202069,-3.8707126961641007
24,-4.5668451865527615,-4.2968741644017046,-4.685260623352976,-3.898926975518264,-4.26536543553021,-4.173339904493069,-3.3912300888344484,-4.288697609926224,-3.5544495027941085,-3.1472606235536293
