iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-132.00517286010876,-134.1926587109529,-133.8313103038999,-136.96089138692878,-149.80649103570533,-139.94976823549942,-134.7682461570948,-130.04272294731248,-121.53199743141147,-136.7113843788025
1,-50.31766868731835,-64.95766499579753,-47.47844480405081,-56.37953005797638,-57.47559986840954,-60.41101207731452,-57.14590446854763,-50.745880130723826,-55.212127171189366,-57.42603922849957
2,-30.628380439554466,-38.59656629711288,-25.8383674362242,-32.50422925576022,-30.624575512729642,-35.562678402473495,-30.942575281912518,-29.782039087931956,-33.52565482209139,-31.26246712630209
3,-26.84796768493294,-27.981337839201615,-22.27117755260058,-26.9433880665728,-20.73221140262922,-26.53068566032303,-25.78126650288959,-25.234624218930556,-25.797927130334266,-23.42558574162415
4,-26.597707978430726,-25.425741830351214,-18.88846621784247,-24.351683671819742,-18.337915986409442,-22.828982899157054,-23.323157452507086,-23.508684034830452,-21.445696270600145,-19.67160736847875
5,-25.712613571504345,-21.6382717164863,-17.5531677089412,-22.120102137709488,-17.333649628663185,-21.64907201693917,-20.990098645344204,-21.38408650570736,-18.56163544181453,-18.403151224367328
6,-23.546142712760116,-21.6382717164863,-15.811400943133826,-20.063979432939405,-16.557821786520442,-20.64115657200786,-20.06792269416369,-19.589107627039443,-17.016188349740162,-16.147526232550902
7,-21.223393222880233,-19.80753743148133,-14.001051462181271,-17.57324139462834,-15.03776274928869,-17.93112627167747,-18.54691694482403,-17.6474063963745,-15.625536575569484,-15.674757473941582
8,-17.969372047564306,-17.14242480768372,-12.176994995073656,-15.8716612980664,-13.119343621864553,-15.667288816776141,-15.212720229466322,-15.085745995338591,-14.056220110726501,-13.488473172345433
9,-13.70211188550271,-15.617298753352857,-10.749699057015953,-13.838755891668162,-11.348499953152924,-14.090273097213357,-13.620908712656568,-12.73043073889286,-12.165037521498121,-11.228385860468013
10,-11.40464875015181,-13.927240840810377,-9.026133269779649,-11.829714626701925,-10.599949168054533,-11.283238540470974,-12.241070022573616,-11.232873762025832,-11.042887831603483,-10.750486114277198
11,-10.236567308610965,-11.900500685539594,-8.017803903223255,-10.570146069646059,-9.233821921659793,-9.584588821905339,-10.82431091931348,-10.76373716235355,-9.246132159108676,-9.63585775517954
12,-7.9888660226974935,-10.409802337002551,-6.929999752420473,-8.67558765745353,-7.337347436346581,-7.722870319395298,-9.116912795670144,-7.975678118777764,-8.023567538158638,-6.984425386933053
13,-7.18603145852812,-8.101390307282436,-6.230494648357906,-8.27172461959338,-5.659610274696525,-6.60836262606028,-7.759367159395763,-6.309110633620408,-6.47671763046619,-5.962772849456569
14,-6.42518181576407,-7.251420438699048,-5.337125515234808,-6.523262525943661,-5.220782113211218,-5.889246176307144,-6.400087218264038,-5.558838197834619,-5.799535768278251,-5.269850161317983
15,-6.228267889278447,-6.842533306719711,-4.874788983227601,-5.589541904697154,-4.410266463706163,-4.9228240509938495,-5.861655708170435,-5.091834661193181,-4.9825212311214235,-4.807110379988692
16,-5.837939562990345,-6.253996564813324,-4.2688568934262126,-4.762956203265025,-4.181815857703425,-4.72698305927074,-5.089189510717415,-4.799135340062309,-4.31461027693565,-4.242929106389277
17,-5.612850023311218,-5.940196180901838,-4.072762327934054,-4.570290876344615,-3.924327807247498,-4.522993718772694,-4.841185633616806,-4.2858678932681205,-4.086207581214752,-3.9629282271293294
18,-5.393252980730201,-5.326583013110525,-3.6241144878343063,-4.281094204569028,-3.739103622692033,-4.335880799983123,-4.475669000877877,-3.832412510727606,-3.6745314232674446,-3.846838316474003
19,-5.01943281537038,-5.023734664893754,-3.4513046783151435,-4.075771240023611,-3.491620204651613,-4.117982757505645,-4.15198182054392,-3.486552695701363,-3.6212707733847074,-3.613171055629791
20,-4.505670853008621,-4.765167670619697,-3.2092390818652454,-3.8373504799130016,-3.0485853145275477,-3.922908885558808,-3.9478271015896813,-3.335939440327165,-3.5022810937697857,-3.4901561676762554
21,-4.266389873243171,-4.695870785559872,-2.785074756485565,-3.699558575919135,-2.92244577997453,-3.6541572982675787,-3.896064462669984,-3.1694902468667285,-3.2574417130060898,-3.4530522453121844
