iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-311.9734591407761,-315.1639871323476,-339.53005948912255,-318.1697591599908,-288.9064298884677,-295.029687018167,-312.07013040314655,-316.7797190414161,-286.77966455260133,-306.00251453570826
1,-50.31766868731835,-64.95766499579753,-47.47844480405081,-56.37953005797638,-57.47559986840954,-60.41101207731452,-57.14590446854763,-50.745880130723826,-55.212127171189366,-57.42603922849957
2,-30.628380439554466,-38.69151993067909,-25.8383674362242,-32.50422925576022,-30.624575512729642,-35.562678402473495,-30.942575281912518,-29.890496855876417,-33.88955683878805,-31.26246712630209
3,-31.0504290977123,-29.459568731491366,-26.048762072454238,-29.814594619283795,-22.843366811387227,-29.174349153865585,-28.01909223106292,-28.263685707719233,-27.898327245550618,-26.83576333297328
4,-32.453197420891044,-32.212237331318065,-23.86052202306645,-29.417607129291007,-21.97600004838572,-27.58745524777663,-29.05727731428299,-31.154864578315205,-24.479777981260035,-26.883231346168557
5,-33.630302840336874,-24.521804333222086,-23.262555000122973,-27.002418078304277,-25.24546171617989,-25.91877788389789,-25.16924991174082,-28.374041923348845,-26.134209155690048,-22.63668590729629
6,-29.146802852645248,-29.445117709955326,-19.58115558803632,-24.161999453523602,-22.762970289175293,-24.53653717313394,-26.955818892877303,-24.217174736936393,-20.749725176460146,-20.758309360382725
7,-24.71294265564428,-22.86949712246792,-18.29278263602156,-19.856788024461107,-18.998732547041776,-21.804052676756847,-23.11107191627627,-21.611807514724937,-20.638254039098296,-19.958813196091533
8,-20.456281132749794,-21.372725334083963,-16.948266561643536,-20.41850891558969,-17.869419364518947,-18.998196921610848,-18.27427797077575,-19.117574252799074,-20.32460639456026,-16.330871987541855
9,-15.060913390896747,-20.739974061167953,-14.848158302928098,-16.173618650673944,-13.60703257768879,-16.6659730586479,-16.316465684065818,-15.457074298634227,-13.367414379826938,-13.078938246096696
10,-13.884544977210362,-16.23229823885128,-12.71225690659086,-14.66821827772263,-12.89626694833775,-13.275994607697147,-14.850705346851711,-13.219051958849686,-13.536993469284363,-12.923470688609932
11,-12.945315606480602,-13.599460135836786,-9.80526902857232,-12.909028531629698,-10.664590483925522,-11.870962000187962,-12.511220372637077,-13.004569129784109,-11.097171217134406,-10.73937119906606
12,-9.307007077594578,-12.244239172161892,-9.103198056476321,-9.284014213450565,-8.415877113448364,-8.74267719719743,-10.850347083546914,-8.288613637980488,-8.300221753108296,-7.352808165656929
13,-8.695545324004158,-8.817176095880768,-7.179186150063243,-9.907252864879169,-6.081370986048622,-7.815678951326504,-8.627187255065857,-7.554427725632762,-7.061942631381524,-7.038748327014412
14,-7.371502038266543,-8.153186482531073,-6.269493846477153,-7.096716157704797,-6.442994029396671,-6.626246393051181,-6.679210290471863,-6.57856723345474,-7.120122561925829,-5.799927532111086
15,-8.28891121359172,-8.202238631091493,-6.121981947275977,-6.181005211201711,-5.074369693173674,-5.267583856316008,-6.768274353932889,-5.8087516631449025,-5.6221033541020615,-5.6862843708334445
16,-6.984578898797374,-6.7255904289850275,-5.233610315873435,-5.43658980625762,-4.983024978527525,-6.28768071640579,-5.708478573011215,-5.154433246422018,-4.991010955379175,-4.88497813029775
17,-6.871944617042534,-7.455439096911233,-5.260538956557066,-5.8642429545796,-4.758080225409673,-5.325177243454786,-5.7326431458758424,-4.8618730024389345,-5.592383208814703,-6.030850272228787
18,-16.12946659808118,-5.793999484845715,-4.3799612982597225,-5.107563496017044,-4.691815000161093,-5.604350998169175,-16.039362342992398,-4.917525311581595,-4.565680566913222,-15.272447824206274
19,-6.044152466345523,-5.652875904692923,-3.9769592238763263,-5.079100775355539,-4.4387557077693405,-13.575003853425084,-4.8390376232978,-4.088486055414256,-4.615709731434372,-4.259738349717133
20,-4.913033248963416,-6.945356874080366,-3.8630048878682373,-16.14265539787587,-3.4996980056149916,-4.448126279290284,-4.624732276039525,-4.074902977365415,-3.9572864226884863,-4.253323978133896
