iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-126.04597820444206,-140.99007080042674,-141.9722956235289,-149.0983985691692,-136.38313103364564,-140.08357168500635,-151.8624954053892,-137.83478330597816,-139.46771617747757,-147.76361077122445
1,-123.12259314969263,-140.99007080042674,-141.8465996266436,-147.46154174593664,-134.77858855706745,-134.43049528202283,-151.8624954053892,-134.98195873834527,-137.17203598384145,-143.31368426369806
2,-118.71061137079008,-140.99007080042674,-141.8465996266436,-146.17881059023347,-134.77858855706745,-134.43049528202283,-151.8624954053892,-134.98195873834527,-137.17203598384145,-143.31368426369806
3,-111.1429124694424,-140.99007080042674,-137.046491729275,-146.17881059023347,-134.77858855706745,-133.36385710841287,-150.4595816429349,-134.98195873834527,-137.17203598384145,-142.64945869030169
4,-111.1429124694424,-137.5569193925573,-137.046491729275,-145.18965662317547,-134.77858855706745,-128.260736646974,-150.4595816429349,-134.98195873834527,-132.73278261932597,-142.64945869030169
5,-108.42726526665913,-135.8344494430059,-135.52115035720988,-145.18965662317547,-134.77858855706745,-128.260736646974,-147.1695037004663,-130.01444447700783,-126.7156530789641,-139.9348072057203
6,-106.2738338865236,-135.11451349372066,-130.7895711316284,-139.31953502528506,-134.77858855706745,-128.260736646974,-139.3779383703535,-130.01444447700783,-124.25511625894603,-138.87229064895948
7,-106.0298333001621,-130.46699096614122,-130.204805051245,-138.77551086088613,-133.5038487599721,-128.260736646974,-138.8593435866186,-122.41580065622915,-124.16105392842567,-137.82246756851276
8,-106.0298333001621,-130.46699096614122,-130.204805051245,-129.41315343203814,-127.49616440601767,-127.71267353054338,-136.50353618513202,-122.41580065622915,-123.47990516737102,-133.35575347564054
9,-106.0298333001621,-130.46699096614122,-125.90772502260018,-128.35717605982552,-127.19146270126677,-125.70949263870097,-129.8428881128875,-120.11475429875985,-121.26253658731858,-133.35575347564054
10,-103.20613446979183,-128.79438369989805,-125.90772502260018,-125.29947350264979,-124.05812304005485,-123.38727524922135,-127.75482588779472,-114.58142182394934,-113.25339339930918,-130.79096523569115
11,-102.29510529777204,-127.84397198950006,-114.69248003722069,-117.12734169130866,-120.36310635721765,-120.2673442612475,-127.75482588779472,-111.13480775199365,-113.25339339930918,-126.95401041633426
12,-91.92795877673396,-125.32779524899809,-114.69248003722069,-105.3464311578684,-120.36310635721765,-111.88755019185317,-121.2416096254961,-111.13480775199365,-108.1900252909208,-120.85027509149492
13,-89.68657340234645,-120.5741389084656,-114.69248003722069,-104.2639699030918,-120.36310635721765,-109.72636275535035,-119.4491735991227,-111.13480775199365,-106.28932926925339,-120.2863634199991
14,-89.30016116297007,-119.23478168324169,-114.20200915298635,-102.30128631492151,-119.9187252069879,-105.56594796682677,-116.17009451006973,-107.5155710694631,-102.79534311334245,-120.2863634199991
15,-89.30016116297007,-112.45695997187292,-112.76963506955384,-96.57294260163557,-113.85814525081511,-97.90785452700047,-112.00326715624975,-107.5155710694631,-99.03684009169842,-113.89834259179469
16,-89.30016116297007,-112.45695997187292,-108.43975760683429,-89.5260395617199,-113.82673174225414,-97.7103351157764,-109.23971969471647,-104.35304355281437,-95.64686170506226,-110.91163163548555
17,-89.30016116297007,-107.84371160668547,-102.7523782073761,-89.5260395617199,-102.2657938808744,-92.66690063551017,-106.88924037172737,-102.86795946539775,-91.63853151325479,-103.08267932174417
18,-86.07704682602758,-100.93886739868313,-99.54848426076602,-86.08509733548675,-98.30463915222518,-91.82198903961064,-106.10166347742785,-102.86795946539775,-90.93945097825636,-98.19747402755064
19,-80.26683536017035,-93.65302130386058,-94.36930109166981,-85.49915478531122,-94.63796478174274,-91.82198903961064,-103.97040798506526,-102.86795946539775,-89.87096077539883,-97.46184565952873
20,-80.26683536017035,-93.65302130386058,-91.13725972771337,-85.49915478531122,-89.97817687392791,-89.73848865484818,-101.38935492001337,-102.09585377670663,-89.5309479024664,-89.75690086771269
21,-73.9890654545853,-87.36578568420131,-89.878974675663,-85.49915478531122,-89.1949333464646,-83.55081112341063,-97.55369640339791,-96.85330243386966,-84.20804167824234,-86.01164276979918
22,-73.68432693926155,-83.83511056173462,-84.1006167881465,-81.35979369237867,-84.16705418644057,-79.1302177134815,-95.22522339465402,-93.67533676916273,-82.72363598684547,-80.46455641801123
23,-70.38065231024808,-81.77412068573516,-77.45005779526552,-76.79548934240151,-81.42887832259248,-72.71906248478739,-92.99091429665089,-91.71197863205853,-82.72363598684547,-76.77089322960991
24,-69.70476582308598,-77.28258925942501,-70.73830984953369,-74.32258906727363,-78.9788204550815,-72.71906248478739,-87.81062566561795,-81.5864119883702,-79.43149904666876,-75.44802888962634
25,-69.46959807319365,-72.63891024084282,-66.13242618262487,-65.13561013737548,-78.4768713042206,-67.23024969512967,-87.77771457191027,-78.10662330634284,-77.00942330668973,-70.0885513054468
26,-63.774870776189914,-72.63891024084282,-60.87335687580046,-63.20554369977967,-73.73547865746067,-61.798427764378886,-81.41718837029094,-73.29752229287523,-71.97510995678026,-66.92163812583433
27,-60.37445193114976,-69.692464216872,-57.63414988040229,-52.91686883646752,-66.96733824524873,-57.46268042406294,-74.69351996246354,-72.15077262164188,-61.99593105484937,-59.015848277023956
28,-48.01446392514821,-60.28546412625195,-52.5215904482706,-49.044337065750994,-56.632535963499656,-52.700613432414,-68.16564298839175,-60.40812320446699,-58.49161551671824,-52.50614967125893
29,-46.59680790805284,-59.79511200151897,-42.924727187041654,-46.91427805365321,-47.03978597663733,-46.54549833126083,-60.63412018425198,-42.49963650685487,-50.601467263504915,-52.50614967125893
30,-45.31138713944342,-55.0965351833851,-38.52163623430083,-36.65550035761636,-44.32735094468623,-35.30980854036373,-51.857322575196534,-42.49963650685487,-43.90894214499655,-52.50614967125893
31,-44.99479584484563,-42.78002735030055,-34.82136941218744,-33.716409569485975,-37.409436549411474,-33.14894884055661,-40.94697347841447,-40.807128104862045,-43.76607335541314,-51.59793306268968
32,-42.967517448540505,-41.332807774507586,-33.08556058885422,-31.755341157172406,-34.97853196223127,-28.36870531280774,-40.44467451903837,-40.754506018676096,-40.91141129261028,-49.90551301560304
33,-42.336447462714425,-37.251125722074406,-30.91991950192307,-27.751928345036966,-31.50715700228227,-28.12262774602428,-38.161041967937436,-37.680072150248705,-40.45100926305032,-42.94310276541793
34,-41.76039396069554,-37.1393807016444,-29.660996150992233,-26.07420369143842,-26.915551394498145,-27.335837739137418,-38.1390968763136,-37.534025671891655,-40.45100926305032,-42.94310276541793
35,-40.78417065931052,-34.36386085181796,-26.35961305176108,-25.045351070940846,-24.895805155167114,-24.682827147283454,-36.16086007503182,-34.52170091215762,-33.898855230679025,-33.29100805792811
36,-37.31671036691958,-33.79092015530232,-23.983712547169613,-23.009494279146256,-22.21548375638513,-22.95963560154542,-34.42795755571363,-29.772520838934888,-29.260584798511427,-33.29100805792811
37,-33.11810515195396,-33.79092015530232,-20.59615081949381,-19.19911156000473,-21.24619471082275,-15.586312279952157,-28.598479728545524,-26.4523589033288,-27.093590840424937,-28.578390254527438
38,-29.520059109350623,-31.161969724436283,-20.59615081949381,-18.41969389828072,-21.24619471082275,-14.23629275474803,-26.444609242052472,-21.71976314343944,-22.956071599045313,-28.578390254527438
39,-21.800874922225077,-25.970310895106994,-18.862180181299422,-17.410212784593583,-19.115430388758682,-13.608588017614384,-25.83986221102925,-21.71976314343944,-22.399044154702853,-26.138599973001476
40,-21.800874922225077,-23.29657023275214,-18.194108687898392,-17.352007194163658,-17.665014358492,-13.608588017614384,-22.658980055616503,-20.724524034154435,-20.96160226803782,-26.138599973001476
41,-21.800874922225077,-21.58898749953127,-17.44241415973287,-15.770614737421507,-17.665014358492,-12.785558504901534,-21.131864039561897,-20.724524034154435,-17.179910377424427,-22.091181461764492
42,-20.488877128241732,-18.122929954081464,-17.061371611388374,-15.770614737421507,-17.021163136766372,-12.785558504901534,-20.04262670521709,-16.59316902081011,-14.69954135828796,-19.765255260738115
43,-20.330485331723928,-16.123467551748362,-15.61837832590596,-13.711599427975445,-16.049293813087722,-12.785558504901534,-20.04262670521709,-16.562475360604665,-14.69954135828796,-19.218054891237117
44,-20.163067917570068,-15.192400706293558,-15.61837832590596,-13.243236616162395,-15.313499522774313,-12.332970636491467,-18.93453275712329,-16.354921489370724,-14.613892802572309,-15.73113340624894
45,-19.622713064142445,-15.192400706293558,-14.991268872942593,-11.631214337859388,-15.313499522774313,-12.10519562127336,-18.90024371043433,-16.30432886620779,-14.613892802572309,-15.73113340624894
46,-16.27192016780264,-15.192400706293558,-14.010460391951224,-11.631214337859388,-15.313499522774313,-11.847281149849394,-18.515930712911583,-16.30432886620779,-13.194622247235635,-15.318989133991806
47,-16.27192016780264,-14.743650089108037,-13.893523225276564,-10.555465481681653,-14.596631262285767,-11.282404807660804,-18.286517828601895,-16.30432886620779,-12.951082191013697,-15.217980191321285
48,-11.994876650565264,-14.318586807972597,-13.893523225276564,-9.146987758236403,-14.362406091009223,-11.282404807660804,-18.286517828601895,-15.783714179589001,-12.22962635155866,-13.533805681414448
49,-11.994876650565264,-14.318586807972597,-13.893523225276564,-9.146987758236403,-14.362406091009223,-11.282404807660804,-15.268783843576932,-15.783714179589001,-11.077052751554216,-12.648243754038985
50,-11.994876650565264,-13.342188714319999,-13.893523225276564,-8.610406607263737,-11.829451093612477,-11.282404807660804,-15.268783843576932,-15.569657528746056,-11.077052751554216,-12.520777233259658
