iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-254.329403635571,-295.8154482295628,-314.042822625305,-317.9522748160832,-301.2673882373833,-298.32076476952545,-299.78097110656586,-265.1868565420982,-293.8422504977189,-317.1428855664515
1,-389.00279316362355,-343.56500431945824,-407.68744111179194,-357.14331727440543,-398.7074188164272,-323.38826700763906,-371.53925620425616,-355.2671188071923,-382.6902489392231,-448.8811622330529
2,-373.0909082786571,-472.52339680174526,-468.27183040507686,-502.51633835969767,-433.1694832198856,-451.26369360023057,-465.16038272358634,-499.74618036190884,-402.0279643068226,-468.20111417580114
3,-348.9857830404733,-420.5281407585746,-343.1225718270274,-506.9173025268483,-443.1043757237985,-426.59536982496354,-462.47723020535545,-407.70345510486993,-536.6617381989265,-439.47497326815324
4,-382.7128716567049,-408.1789774385461,-380.295434564471,-423.6990807257964,-392.6501753253003,-368.5926484511775,-418.38321754120386,-330.39964402239076,-408.6051681907075,-401.00363879245265
5,-279.45287818854104,-444.6361798748786,-356.86818373030894,-396.3835992134312,-314.83118001442546,-306.7122055934823,-331.8466448937175,-292.3845831908036,-313.8682750662847,-460.926356070083
6,-353.0645016409372,-334.7618801041409,-386.21172878648395,-361.2710103511122,-381.9814611432173,-357.3270453548532,-363.1897154303001,-494.48014980364644,-338.2827708134148,-296.68895760243055
7,-317.16841464778724,-304.3198131179349,-355.7173875617104,-411.0306676683896,-394.92246639597954,-372.3063576928888,-349.71269614891406,-339.22514076466473,-413.2889319121954,-306.879911684474
8,-295.1175417528884,-297.3682315843534,-400.0505826576291,-363.3640494322721,-376.88340938155477,-349.78854634816366,-287.9872551806877,-333.8132075431022,-364.0009399043565,-312.5480078076657
9,-329.2672756178084,-276.149388212452,-307.14411341434413,-399.19068235977477,-377.2086865979805,-349.7554959980903,-295.9276336189209,-311.35697475705877,-339.96821697559744,-384.8678119726342
10,-272.104869322336,-288.67517459835096,-289.1077552381807,-269.37994408011207,-388.5011491109768,-326.7312910324191,-302.0419930717669,-323.68929365436344,-265.9226015042358,-356.6247693796662
11,-328.6025475141002,-293.85888647411,-295.82476501397565,-226.221449031853,-332.9339011372442,-308.6645804266883,-338.8306544037005,-307.1053651046861,-305.05130009123116,-338.12965477513944
12,-249.79277149810133,-359.7620462735417,-280.0391852692036,-309.91135418496765,-286.7762202600321,-266.0675169601461,-329.86221426617885,-306.16180884547975,-253.25859251708926,-304.3706826155257
13,-244.3485777428453,-243.0956863736178,-427.91726084579517,-340.8823489832254,-407.01318067565603,-216.6578426557041,-372.80412152853444,-366.6917993244517,-268.0286541311217,-277.1363717816155
14,-258.15040341180594,-339.56823203751503,-350.82655557903115,-307.68843571296986,-290.4351578357953,-269.1625400901571,-341.7946309937171,-395.64798681715524,-230.59911310651796,-312.4981179614872
15,-254.2486665601914,-285.5178418457109,-296.50780010272774,-329.1716550666491,-320.98253633632453,-344.1952762828946,-318.62802914229803,-379.9138678278749,-241.0676779502416,-283.5190151835465
16,-309.669487243429,-317.5770912852363,-308.5323757547829,-267.9218938876379,-261.4188679207553,-258.6514548968312,-239.17688860907109,-343.5936377207836,-286.34340405900554,-344.0814013773047
17,-252.71958204278118,-304.16366620886913,-279.04785952999555,-239.37442375343636,-241.33081408071587,-193.37802828494173,-332.8086617420646,-219.92490975230618,-235.60999316707517,-232.0348938986412
18,-269.946346205607,-267.0067396974656,-272.77343101366563,-250.2030758351768,-228.4152454716353,-266.56766658772733,-229.13797531023545,-342.36270067097973,-245.50851243772632,-280.2446622813075
19,-204.62410406147808,-184.0678745418504,-227.56665092706018,-372.63414073069544,-250.9758409218062,-311.14045572430405,-250.9365467744416,-260.8858860738539,-252.58893990750133,-297.62149027276513
20,-275.89163715720457,-230.60607295333597,-299.385125516622,-214.0970049702896,-170.08654441369268,-235.8745553917446,-319.3321226228732,-334.793828467413,-244.29388760984114,-266.50902465115524
21,-268.95441638430054,-243.3557353231316,-252.34975699821038,-227.1516322952125,-243.20470272527638,-210.4328920111089,-226.30170079977006,-236.8796276979085,-237.94304068066174,-169.73714948390278
22,-201.82126590629085,-208.00612069334392,-232.79863424946717,-261.748900655639,-221.55915864965002,-195.88657568240905,-185.95388336931893,-176.4918320895712,-229.54144038180436,-204.7479564954814
23,-174.6203951652433,-186.12789577385547,-141.09125102475366,-230.64216495686367,-203.207969217097,-229.69248307459068,-253.32266967706354,-299.01367188415145,-174.97878968575193,-186.65075125786836
24,-223.78739134742037,-245.84127608646386,-145.29112187135533,-152.84001932690433,-250.24379755007504,-211.0060690420562,-219.53505457545486,-227.33940658804013,-236.84358279952255,-183.48459264601132
25,-239.31919722183193,-257.29315846890063,-229.1078591763392,-184.44112901614773,-207.6305721213417,-233.25848906874393,-236.17259378837008,-207.35862061993498,-188.99382650597317,-254.17269728844536
26,-200.67542722950856,-188.04693582785018,-115.26628635097303,-162.43951374949887,-214.7167442094593,-198.84609232504425,-151.57549059224357,-240.7762940603539,-176.66442780538495,-243.98094152512888
27,-159.49413594549048,-180.2543987923761,-168.02657452504238,-167.60668619945483,-211.89328867843392,-138.08403113621688,-200.512569415604,-215.2952265532826,-108.11394376377777,-135.05694118377622
28,-122.15647459462073,-205.8441471978215,-130.6846181241718,-154.0628102975873,-145.65161131630208,-120.71709885768115,-171.8420208018789,-119.4071356631682,-132.71499903096617,-114.13532888904787
29,-124.00034169675733,-134.98497161990423,-106.29771923895382,-84.8972584915825,-152.16707893247874,-137.46683139139816,-132.50240686852902,-111.57033307386504,-164.10970995316802,-124.92761206545558
30,-157.5105182055853,-164.46371121202088,-154.28702149993933,-95.86833265334172,-114.33510405531834,-82.9234334376917,-143.76420404008064,-119.74943082252712,-180.90000568655253,-221.44069305803717
31,-162.4295202955538,-97.69540588674285,-150.04660931204964,-113.44390190793322,-125.16301408184076,-119.55367803773709,-91.99479592314043,-140.24888661255858,-110.91779265386901,-117.82345655001751
32,-149.85172131139788,-125.13739457793287,-117.20377531368243,-114.6087646080849,-129.37759330474972,-134.99875831117635,-150.52720787273898,-169.41268577699248,-97.30288114487986,-130.88744033939338
33,-113.7205009856288,-122.34654627887048,-117.2700953111941,-82.9819716614804,-119.12711044563245,-91.86941681413018,-127.7350008051389,-70.5372144331493,-107.67165576169766,-128.73566281655116
34,-139.50530292512985,-171.97419116425866,-107.6199160388008,-113.89026795209507,-92.919062768212,-140.59366182157925,-115.01013941471936,-131.88147433787844,-124.40836541749877,-120.3250503120812
35,-103.26774670454878,-123.15177558159088,-100.91260334227505,-104.17298060956107,-93.36435963784984,-86.77076986383126,-131.9971901845187,-161.91811497231453,-109.34389537401552,-90.85389220735358
36,-96.71307668679542,-127.5844591838186,-124.52028234644825,-133.8362400291257,-78.95942961572297,-89.7057871004454,-105.87009502544352,-105.40170552243205,-93.13407662210828,-165.92414158515282
37,-108.08117929232472,-121.93646539725295,-83.05323362425187,-114.98836861338961,-107.62872307288319,-106.17666673004852,-98.09549976986004,-100.16693846982986,-94.6428659235367,-110.00234960097498
38,-102.80526340533919,-117.3083047137992,-94.6779461441314,-81.68038195475475,-101.0632238007363,-97.56693894030005,-99.33682552560953,-80.79317570149635,-110.03773105489458,-130.10676869502902
39,-61.666829725162025,-105.61837403620305,-95.39551094840454,-97.14134020501234,-89.75916752202218,-110.3530889331355,-114.10746647375377,-106.9160427082417,-76.83044511684082,-142.6300465401464
40,-136.1354598505439,-71.29984792200597,-69.52697800018568,-103.10591156746653,-92.89993389259068,-103.5331656068318,-85.9690135415954,-82.5737258243631,-90.2622017057037,-114.38744274557214
41,-181.85291927139025,-122.77847440530026,-93.35498521624979,-97.58205781148922,-96.42161346727764,-113.4869274922599,-99.63879633600962,-80.86767153624469,-118.51054711555136,-73.63136542887797
42,-77.6511523087546,-111.91481124980137,-96.33900981948806,-74.43676786860767,-133.62061958613145,-85.39912878298065,-88.58879796856833,-103.20494030116757,-80.89295411349929,-75.83554185170232
43,-114.13391310958505,-78.53539506125425,-97.71732575493387,-84.99166458803495,-115.58079262709333,-139.78356913183427,-88.32509286413192,-102.74565113152173,-107.53818946490095,-97.45138495064023
44,-100.94491127810913,-84.7941381482003,-125.35850421646289,-95.2047138696589,-86.65496149826419,-85.96765545243917,-62.34740469442597,-112.45699134344854,-112.1772495265387,-60.86803484191963
45,-103.85616356253995,-93.1247561385259,-93.1475631796347,-73.51071807270375,-112.85699151573633,-73.52365115089464,-76.35318246244279,-86.35310543883719,-77.41320939934674,-91.4074682364494
46,-93.3949077743749,-105.64495284389434,-91.9578363557091,-98.09913263149267,-89.48802535134931,-92.6993480859315,-94.73205213016499,-107.54637766707056,-90.75969841815721,-117.19385497655333
47,-92.5522787063196,-109.48643569762113,-75.1322028772359,-96.06620349712927,-76.4764120913263,-93.61071278665568,-85.76720368155299,-132.1428762864095,-76.82401149676261,-109.58317269790385
48,-87.30064378438561,-97.16964920172137,-109.03897760688882,-79.71808701345176,-87.26278722666959,-80.76311099189361,-74.66550687099333,-90.44134430243463,-83.11554529487248,-83.74631335772182
49,-80.74429923917293,-85.03981085437545,-69.66016845760842,-72.24593176591871,-105.96916903050965,-115.7162198657588,-82.90540404884217,-110.24310423446639,-75.71354168023385,-101.30858775052269
50,-74.58830051108232,-84.52375624292003,-102.19486271934375,-91.02177759294139,-95.07598585976581,-97.83978892118331,-110.90467606022935,-77.63605893922926,-70.12324736943937,-92.7403807735167
