iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-132.00517286010876,-134.1926587109529,-133.8313103038999,-136.96089138692878,-149.80649103570533,-139.94976823549942,-134.7682461570948,-130.04272294731248,-121.53199743141147,-136.7113843788025
1,-132.00517286010876,-133.7336523214613,-128.15619855208956,-136.96089138692878,-142.4175394500727,-138.97934796879147,-130.13950357654775,-130.04272294731248,-121.53199743141147,-135.4516734746832
2,-132.00517286010876,-133.7336523214613,-126.60780409610786,-136.96089138692878,-142.4175394500727,-138.8504578611652,-125.91820182712638,-128.50559306262994,-115.01229807758214,-135.4516734746832
3,-132.00517286010876,-129.51080783387613,-125.52746808045083,-136.3687253835804,-142.33602663774047,-137.01481212778765,-120.10273308614055,-125.98076954406235,-108.84607916317543,-132.7829177140961
4,-127.48994828441923,-124.21924942846422,-124.39928714224808,-136.3687253835804,-141.11190253385132,-136.69731622214513,-120.10273308614055,-122.99892680442107,-107.09325507957581,-129.0994984455545
5,-126.85264613084335,-121.10760184625794,-124.39928714224808,-132.55887021508948,-140.84050144122057,-135.6564954605671,-116.99839803711407,-122.99892680442107,-107.09325507957581,-129.0994984455545
6,-122.67196714481764,-121.04678628858353,-121.07017449416415,-132.20070468991221,-137.52572399313908,-131.87974010347318,-116.99839803711407,-118.70042128875164,-107.09325507957581,-129.0994984455545
7,-122.67196714481764,-121.04678628858353,-120.06771024283168,-126.92772548430266,-134.41019185056766,-131.87974010347318,-116.85444695953733,-116.64704414314679,-104.24090549878323,-126.07379971371691
8,-120.09639433148249,-121.04678628858353,-120.06771024283168,-121.74357295123087,-128.18431071789763,-131.87974010347318,-115.9997423529278,-116.2181273625431,-103.84603247069683,-122.37292939623549
9,-113.57361465473349,-118.01912241253457,-117.52452429815087,-121.70314722919395,-125.54681449551438,-129.83546294628204,-109.42072917269793,-108.27466228212505,-103.84603247069683,-122.37292939623549
10,-112.85437652432555,-113.79086482227339,-111.02913411204072,-118.26454403016666,-122.82650300065757,-126.95949144588084,-108.33476184186634,-105.71747658453509,-100.77580044963364,-122.37292939623549
11,-101.80416770934212,-109.63660269630608,-108.68308747125232,-108.88820574536607,-119.67402383426739,-125.96751372784574,-104.81632797835121,-101.65146128605295,-95.56057097828139,-115.94663118397665
12,-98.90067048282648,-107.57165678598122,-105.66097196603792,-107.67192640721959,-116.43010966245036,-122.82391275688076,-104.81632797835121,-95.67095726613812,-95.56057097828139,-111.56533014527756
13,-98.03860568961429,-98.21007662789744,-102.07442040722967,-107.04362573938239,-115.06261308619048,-121.01237267403556,-94.83916923896848,-95.21809729971727,-93.11103584293869,-108.32125245726834
14,-98.03860568961429,-96.3469166694605,-98.47874098220066,-104.44245772150038,-112.782683592202,-110.5353896684446,-88.66816529536484,-94.28545436784907,-88.65596959994204,-101.51496744373611
15,-97.69269738231105,-94.4566434273551,-97.90556738543211,-98.6739330752111,-111.45690830215153,-107.51106682765821,-86.56828305170372,-94.28545436784907,-87.69604899457988,-95.44327596094871
16,-97.14882897728519,-85.69434429896575,-93.04541231124753,-96.58111356116595,-106.98933841319467,-105.08654340312762,-84.43875426379157,-89.07855160830616,-87.69604899457988,-90.09296747519768
17,-93.88504391423004,-85.69434429896575,-92.89601208883826,-87.19165945050868,-103.76058689782823,-100.86284519239123,-77.65388302797301,-79.1773273113752,-85.73134024301935,-85.06112362144736
18,-93.73271083552123,-79.55911874558731,-89.29595802720878,-84.10499225903291,-100.15802173665216,-100.1577444127348,-74.89966415525159,-79.1773273113752,-85.73134024301935,-85.06112362144736
19,-90.61871689600761,-78.27395319467452,-88.27980915477005,-84.10499225903291,-100.05276182226739,-95.6566078649803,-74.6727952700354,-75.33315838530737,-83.72121544133097,-85.06112362144736
20,-88.33152333594617,-77.67185529347147,-81.57062700422739,-81.38444603596498,-92.09842565415008,-91.71109645960351,-73.34896062137358,-72.64206246084402,-83.30462197401934,-85.06112362144736
21,-81.4955038463836,-76.64653721723501,-81.57062700422739,-77.59669755693015,-90.4193452049177,-84.22515709667186,-72.67553576465261,-69.70553124021613,-80.08077479626803,-85.06112362144736
22,-80.77720306948305,-73.23502584040035,-78.53247134731879,-76.159600659457,-86.85209169809403,-82.41814123198108,-72.67553576465261,-69.52093578809281,-72.41391150366248,-85.06112362144736
23,-70.80571916389866,-69.66723184762853,-74.99243925528842,-75.50850458961793,-83.36563175996693,-82.25614001205943,-69.02705825975306,-64.73727896739132,-71.64944780251673,-72.81313529288906
24,-69.43399418187292,-69.52247476353219,-72.32895351086171,-72.67833637477635,-80.57061552405567,-79.4688255149901,-68.88966852184078,-62.57403581483828,-69.9653158835278,-70.25847753168703
25,-63.75135742511557,-68.79370795158623,-71.69677691012767,-72.67833637477635,-75.26852163088925,-78.04181095998092,-68.79239479587959,-60.85938322982513,-68.05379516512028,-66.80816403289221
26,-58.932704007978074,-68.34167333283732,-71.50442616377205,-70.29493473652869,-71.2842921128947,-78.04181095998092,-68.64453681265647,-60.85938322982513,-65.6246333018926,-65.96302279438476
27,-56.156393476263624,-65.24503987531877,-69.64329883640616,-70.29493473652869,-67.06640632128818,-72.38274550578429,-65.8650235163536,-58.916100424996,-63.96924652517082,-65.96302279438476
28,-56.156393476263624,-61.3275277494833,-68.44537470738446,-69.27279104241703,-64.3528346762787,-70.56900495595164,-62.899548495338415,-58.916100424996,-63.96924652517082,-65.96302279438476
29,-54.17375508135096,-59.60003359329219,-65.94618872789903,-68.31686231782041,-56.38239690238976,-66.92135598976827,-57.27178389202807,-58.916100424996,-63.15848822376552,-65.652571239237
30,-50.390364011664744,-58.10327673483513,-65.94618872789903,-68.22656094825865,-53.76637061511916,-59.95101172587984,-56.32616730234019,-58.916100424996,-62.68326511006974,-61.085014400682155
31,-50.390364011664744,-57.78509359523471,-65.4944867644488,-64.32208953366316,-52.811680865460545,-58.56086819604418,-55.028428023021746,-53.82071705301705,-58.574848966631606,-55.57836213513536
32,-49.025090127312396,-56.487903409727025,-61.689879053152,-59.302140246929326,-50.069428148461085,-57.34528559582363,-54.90715523936613,-53.82071705301705,-56.27826217730512,-53.497568694088855
33,-48.758172214771115,-55.123307192007964,-59.64501750916004,-58.004199585213435,-47.76075618183491,-57.34528559582363,-54.790740856998625,-53.20510161078445,-55.16894873002576,-53.497568694088855
