iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-311.9734591407761,-315.1639871323476,-339.53005948912255,-318.1697591599908,-288.9064298884677,-295.029687018167,-312.07013040314655,-316.7797190414161,-286.77966455260133,-306.00251453570826
1,-267.4540895039371,-297.9095282368403,-306.8666230108722,-266.6376871352254,-225.0809488476151,-260.5806129459767,-282.1040677121678,-285.2828473933255,-273.9209991001733,-270.8570871661382
2,-263.0593533751245,-297.7668795010145,-263.2152100394352,-315.1199847271831,-302.31454082628386,-274.1243063561667,-251.3299593696542,-260.44994775473026,-253.0097050640996,-300.68419217319456
3,-286.9297747494748,-274.2515160421102,-268.5443837587205,-269.8791772790365,-258.02282625241673,-251.82313844938287,-250.6055047844671,-260.72084036175227,-245.1934196054687,-276.1658966849017
4,-252.72227595337773,-288.89994553540225,-238.2161996377149,-291.2750958568307,-243.8626078115258,-252.50256219380503,-210.74591368727917,-259.9805026884748,-273.76182737606445,-281.00290446345764
5,-262.18826503971565,-264.1598790983349,-257.50599875598004,-262.00977026058797,-267.5636296379875,-267.11629166269574,-255.77708400194692,-240.3385116232093,-246.02332201828358,-241.98567378820633
6,-237.76049886889538,-250.51244802752666,-267.6355015506686,-234.67493652277446,-237.06215471601058,-243.6736456495067,-285.20621875407613,-230.49586375472387,-282.31444392307367,-278.93580126879
7,-261.8732048162014,-265.50848843442463,-264.0615004822612,-240.48518209447968,-219.53537034504905,-261.4649355096272,-222.9484027089668,-213.2600014637082,-266.3316193432132,-221.79065536951757
8,-268.15552556467367,-266.7368162495757,-229.89321214195996,-228.0568393920712,-246.38803657789134,-266.920644267071,-286.1962050345227,-286.567097035286,-258.736541679069,-225.16440363087918
9,-215.5035041958374,-256.4853834908959,-193.1090772481554,-241.37436949424836,-255.73571001386927,-234.3896245754334,-231.65760721462428,-234.7074494976925,-242.9573800369655,-218.86102224099693
10,-229.13496769512534,-215.36186480566545,-255.94757259022708,-297.16000390613976,-275.6973021696904,-247.9723577344214,-223.11091710115025,-219.15311652064963,-227.65215299084832,-264.34152699829906
11,-196.78664443082027,-243.21230999936276,-195.21289012578774,-223.43061652184218,-264.23166100744834,-260.8028511784157,-217.5313515827606,-178.61251491053628,-222.5685510418979,-230.4525071692093
12,-219.57966810248166,-237.09830632411408,-238.0781704426234,-222.31021414964562,-191.10998709865504,-216.99141479029606,-245.7862661876563,-225.06235194518896,-262.36026000222614,-232.931451416553
13,-175.05367680399655,-184.258082395897,-234.8078378216656,-192.4066012203856,-225.605597267498,-219.66112454027905,-210.5742880541069,-211.19713034366015,-236.1295942236306,-221.40205573025887
14,-256.84600337939486,-251.4774112616108,-190.166021121879,-239.7944899252944,-248.03082267237883,-178.6329797482489,-199.41881969200358,-183.92908781714561,-197.68296577972416,-197.3773341937006
