iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-132.00517286010876,-134.1926587109529,-133.8313103038999,-136.96089138692878,-149.80649103570533,-139.94976823549942,-134.7682461570948,-130.04272294731248,-121.53199743141147,-136.7113843788025
1,-9.79816285654999,-7.777107257331178,-6.122818858721689,-7.133755176340774,-5.6093315508202455,-5.53447101740462,-6.093475014132099,-6.212907531404674,-6.826509275556409,-6.8528006728884545
2,-5.448934194899378,-5.651374628391618,-4.253850409746906,-5.1070212928501935,-4.434758398655305,-3.98603111635542,-4.386622424477327,-5.126106150301331,-4.452663809784925,-4.153288736527756
3,-4.990462854696734,-5.1828607764105055,-3.982336151941437,-4.549099368686743,-4.4194307095698235,-3.93811301918612,-3.725501681779686,-4.815759568618705,-4.429750195330978,-4.139459461786617
4,-4.845840045254173,-4.667164355534406,-3.982336151941437,-4.520028688872005,-4.397685630149523,-3.7284794097311336,-3.527401012832719,-4.647018857241781,-4.370400970327807,-4.036339296535294
5,-4.313178756354825,-4.3091714282049,-3.968060346431831,-4.369004146700442,-4.337905808664676,-3.7065417564149667,-3.527401012832719,-4.613939398893088,-4.236807478175006,-3.9292916802157207
6,-4.212245816864722,-4.264797059087027,-3.8813659050841287,-4.154357749107681,-4.10429562080609,-3.6553446404626175,-3.527401012832719,-4.26481225827998,-4.236807478175006,-3.9292916802157207
7,-4.1943295094075355,-4.134524140459192,-3.753158636116109,-3.8342313062918354,-4.018894642501398,-3.5438721284706087,-3.527401012832719,-4.1398005975534335,-3.825074148391802,-3.9292916802157207
8,-4.024723959332885,-3.9691743113667544,-3.753158636116109,-3.8342313062918354,-4.018894642501398,-3.512528469272578,-3.501332336800975,-4.014535594516154,-3.819025706560084,-3.8593409106100705
9,-3.7159582551470582,-3.758179805501552,-3.5055800382747373,-3.8342313062918354,-3.70619487267291,-3.4528136751666096,-3.3739353117489053,-3.9174366513502745,-3.819025706560084,-3.6800418448806265
10,-3.4315096166501733,-3.5251861653738543,-3.2924860515675345,-3.6347990586313994,-3.579419202807804,-3.0534495323042217,-3.264214397327101,-3.704469664520464,-3.6466074409756715,-3.5258528122667463
11,-3.1831775972897187,-3.454087700697215,-3.231551628794798,-3.442998300651278,-3.536314124900841,-3.0534495323042217,-3.072260573376062,-3.4105640017755237,-3.6313045006550864,-3.5258528122667463
12,-3.0078987025678883,-3.274781568975902,-3.0217021168844838,-3.246901493797136,-3.2814013957644703,-3.009722428214772,-2.970785160620517,-3.2844394650553603,-3.5585934306708404,-3.3179605076998513
13,-2.8533834874299964,-2.8663037301471244,-3.007204296500786,-2.9747493997298204,-3.0950148400030297,-2.9643156660788854,-2.942274350245076,-3.087591586831969,-3.358078876159625,-3.070414751859915
14,-2.805313556663198,-2.8305086863470517,-2.9058894788864245,-2.942507251840846,-2.9972459124810715,-2.8920660632676682,-2.762686270456789,-3.0058258147925407,-3.0639512953064987,-2.858395424441497
15,-2.7582214937499483,-2.741123847312714,-2.8685485079246695,-2.830576687982955,-2.743906181076406,-2.726034406227418,-2.6982290146257144,-2.7080195545135797,-3.0106000009881706,-2.797120266676533
16,-2.667129833936137,-2.7118986518991446,-2.8642976991950615,-2.8167421847927985,-2.6834453808806598,-2.715629313620183,-2.652694882689026,-2.6615661693381174,-2.8161535691271298,-2.716863881340795
17,-2.667129833936137,-2.7090439289688173,-2.803556311264841,-2.8167421847927985,-2.6834453808806598,-2.650642727945181,-2.652694882689026,-2.6255905667819484,-2.8161535691271298,-2.639273141219638
18,-2.4871224971740022,-2.656520135352877,-2.7415521766175983,-2.661061184645906,-2.64805164178788,-2.5653633727433176,-2.5823127679438396,-2.6255905667819484,-2.8161535691271298,-2.6376714589055084
19,-2.4296625322468093,-2.656520135352877,-2.6959561330296062,-2.661061184645906,-2.6229186691136555,-2.5653633727433176,-2.579269856742418,-2.6255905667819484,-2.8161535691271298,-2.600980534052912
20,-2.4296625322468093,-2.634505597308823,-2.665813143555065,-2.5226841112258285,-2.4655032924482336,-2.535533360267541,-2.5699884991100026,-2.588953121899756,-2.7755643852082708,-2.600980534052912
21,-2.393198349520603,-2.603822708244216,-2.6509929520575577,-2.4818574985944832,-2.382012964776628,-2.5282613236561775,-2.4800723861914413,-2.528197710037667,-2.6843964942057172,-2.5958824993469443
22,-2.357818061048784,-2.603822708244216,-2.6509929520575577,-2.4682550133979784,-2.382012964776628,-2.5202614056026773,-2.464141713962328,-2.494478651875518,-2.6843964942057172,-2.5958824993469443
23,-2.357818061048784,-2.5790580652003823,-2.5940262454205243,-2.41503485487093,-2.382012964776628,-2.5091577722372884,-2.4193657048322414,-2.49221572364923,-2.6843964942057172,-2.5958824993469443
24,-2.26529554406605,-2.5728737182472976,-2.549740915798089,-2.41503485487093,-2.3396874018415477,-2.477413335123501,-2.396234593180089,-2.4862256913582392,-2.589827541252142,-2.563281967907489
25,-2.1949221715818883,-2.5559595448567065,-2.549740915798089,-2.4006881579593924,-2.3396874018415477,-2.477413335123501,-2.396234593180089,-2.463849032116972,-2.589827541252142,-2.536597864694976
26,-2.1949221715818883,-2.4256114694285746,-2.549740915798089,-2.4006881579593924,-2.245274878083688,-2.3370745732762686,-2.396234593180089,-2.463518447208232,-2.589827541252142,-2.536597864694976
27,-2.1949221715818883,-2.4256114694285746,-2.4812964582346178,-2.3867384452206784,-2.2312590856903127,-2.3370745732762686,-2.396234593180089,-2.430879351483882,-2.589827541252142,-2.5250287185794322
28,-2.1949221715818883,-2.4256114694285746,-2.474997187884278,-2.3629025270934436,-2.219841997794653,-2.3370745732762686,-2.396234593180089,-2.407039487842537,-2.574477811759004,-2.5250287185794322
29,-2.1949221715818883,-2.4256114694285746,-2.468252372529515,-2.3629025270934436,-2.185366120633137,-2.3370745732762686,-2.3506700944285854,-2.356834647435236,-2.532062378330638,-2.5250287185794322
30,-2.1949221715818883,-2.4256114694285746,-2.468252372529515,-2.3629025270934436,-2.1739603303931467,-2.3300503931512306,-2.3506700944285854,-2.346204816560581,-2.5288069506740865,-2.5250287185794322
31,-2.1949221715818883,-2.4256114694285746,-2.468252372529515,-2.3629025270934436,-2.1284137568578503,-2.3121745535277514,-2.3506700944285854,-2.2778790656742602,-2.5030716775676174,-2.5226804989554257
32,-2.1736410855394817,-2.4256114694285746,-2.4497357216135143,-2.3629025270934436,-2.1284137568578503,-2.3121745535277514,-2.33630676821843,-2.2778790656742602,-2.5030716775676174,-2.518772436511295
33,-2.162096318883465,-2.3987419636871024,-2.4497357216135143,-2.3629025270934436,-2.1284137568578503,-2.2892862203671607,-2.22921791363634,-2.2778790656742602,-2.5030716775676174,-2.477304210755497
34,-2.1502977938766135,-2.348845449319227,-2.4326285274806647,-2.312320410294216,-2.1284137568578503,-2.2892862203671607,-2.22921791363634,-2.2424377238328113,-2.4923043832029066,-2.432063929714392
35,-2.1430194787246535,-2.348845449319227,-2.4326285274806647,-2.312320410294216,-2.1284137568578503,-2.26938548663343,-2.22921791363634,-2.2351130956974656,-2.4923043832029066,-2.432063929714392
