iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-311.9734591407761,-315.1639871323476,-339.53005948912255,-318.1697591599908,-288.9064298884677,-295.029687018167,-312.07013040314655,-316.7797190414161,-286.77966455260133,-306.00251453570826
1,-9.79816285654999,-7.777107257331178,-6.122818858721689,-7.133755176340774,-5.6093315508202455,-5.53447101740462,-6.093475014132099,-6.212907531404674,-6.826509275556409,-6.8528006728884545
2,-5.455264319507522,-6.915613895197756,-5.5062348007328605,-6.286195489123424,-5.019423901202005,-5.723519953272058,-6.174307076177833,-6.5581067194619855,-5.949362532209429,-4.947107733814135
3,-6.789473989601978,-6.762598738658785,-6.573438885454555,-6.414009028664039,-6.5972259296558935,-6.836132571858687,-6.388028866685007,-7.304089874484388,-7.965924573575885,-6.935396504741381
4,-7.519876382313491,-6.450396148322278,-8.16915395350686,-6.8554996931438,-7.328866085976993,-7.788001640066694,-7.541961360485465,-7.283382071177739,-7.125464539060403,-7.626824638286431
5,-6.233431346376775,-6.334081879121744,-7.500575815128773,-7.004585116687528,-6.833035229471725,-8.143165615216086,-8.085899331543263,-7.964914605541756,-7.481239422129806,-8.103594082980226
6,-6.317676272522295,-6.569960886033021,-7.706347715247995,-6.799580602229324,-7.174333988021852,-7.269808672209426,-6.149749345439718,-6.080630775807086,-8.492203717811563,-7.184829714224293
7,-7.364314651797825,-6.583051263059682,-6.993199799061414,-6.388878401212497,-7.294851584309357,-6.142508885423386,-6.871257193749324,-7.4137753624675025,-5.0517596735559565,-7.610437959382495
8,-6.2786190224615055,-7.278195112923282,-7.608048420283983,-6.359413677810719,-6.091611358555728,-6.772226117416953,-6.522795614200618,-6.875999529570925,-5.931702328857488,-6.864104634617724
9,-6.215388221561282,-6.171645266111172,-6.25398816435383,-6.481767718442475,-5.97123429798566,-6.796187795563763,-5.730040697105301,-6.130075208204872,-7.393329484844637,-5.839207521740391
10,-4.842202735213081,-5.314816001161228,-4.864473189685383,-5.354055559990991,-5.34057043224189,-4.54618523311515,-5.080007500381429,-5.7795518526412835,-6.450955996061438,-6.863123632589687
11,-5.1215194936169395,-6.0780453764777915,-5.815432295738059,-5.299451541567112,-5.525228579145875,-4.653771340598976,-5.0834717418587125,-5.6269983749102845,-5.942312027324078,-6.2991814840469065
12,-3.9491938382301015,-4.793039112606245,-4.0998788676274085,-4.547349981431774,-4.419780417299222,-4.135448261223177,-3.813665100482811,-4.267163617853692,-4.7180191821462,-4.071692086396053
13,-4.128095200730973,-3.9835830527577394,-5.293747585828628,-4.188626217369381,-4.271705179651483,-5.508953221136317,-4.3554168062014655,-4.023532212392194,-4.274706192574218,-3.7624896061572723
14,-4.365903328688921,-4.056168090999836,-4.234076304966317,-3.9655216826716337,-4.0024804302917225,-4.075208413270328,-3.8586685973462735,-4.152441912758544,-3.7623700554827497,-4.831116168816971
15,-4.041151315373073,-3.808883799140326,-5.099883739342326,-4.373647893849287,-3.3251038899234597,-4.020959231534199,-4.225969075619778,-3.878188007674736,-5.1467402100524176,-4.620290325251491
16,-4.20256685796263,-4.315596943364589,-4.406753430816547,-3.9247340600094747,-3.5309763128891625,-3.7941998746549217,-3.559543419849839,-4.550861782193502,-3.476452672629922,-4.308890690926868
17,-4.133885485975968,-4.45527955835885,-3.863374488439135,-5.04443108806222,-4.732517832703913,-3.8185819619268693,-4.025263375750287,-4.18944627631977,-4.374553613369223,-4.557835221194997
18,-4.2130445196743835,-4.648861786627942,-4.2155760248823455,-3.963823828078505,-3.7659243557904785,-3.4230660373480584,-4.425102157240383,-4.262673129857281,-4.440548656026065,-4.258949553905435
19,-3.9526953953622677,-3.8547798601249945,-4.69142969114189,-5.0356441016497415,-4.276034067585883,-4.184019283623771,-4.18256779927156,-4.141059547732622,-4.410322067768358,-4.2973587534509665
20,-5.029336078628775,-4.336226322874362,-4.892889727290031,-3.8233693970245692,-3.7846558451791292,-4.13348280128201,-5.464556961830368,-3.9405804799584385,-4.336401482135049,-4.200341841288065
21,-4.587504442245048,-4.219276471933257,-4.08405982871831,-3.9421152698794963,-4.041103926075092,-3.738160565180376,-4.018713619919753,-4.514897187223678,-3.867856120722104,-4.682876609476171
22,-4.11285002716917,-4.446311330339363,-4.856549843543165,-4.0565679724257775,-4.285151763387084,-4.213483580622173,-4.696565163092311,-4.933887775394484,-5.122667408450514,-3.87242530788673
23,-4.0022120586714784,-4.04937644672849,-4.951687442404621,-4.409237640410652,-4.2224156009581755,-4.2860689501969365,-4.292872419407011,-4.408968051401679,-4.61318201725426,-4.93735803653261
