iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-132.00517286010876,-134.1926587109529,-133.8313103038999,-136.96089138692878,-149.80649103570533,-139.94976823549942,-134.7682461570948,-130.04272294731248,-121.53199743141147,-136.7113843788025
1,-51.48950536277472,-64.73267458510458,-47.302600680889825,-56.07681231590901,-57.37346430203647,-60.66075118426893,-57.03249991906178,-50.83409176551072,-55.40041449523233,-57.06370219107198
2,-30.548449729410187,-38.67132460779844,-25.797396917517574,-32.31747566816887,-29.830620510515057,-34.75587179337478,-31.784704888851113,-29.65415648152583,-33.36687813247273,-31.876631408454447
3,-26.702580395608486,-28.87663736384831,-22.04091885418956,-27.648484246505205,-21.495770980514713,-27.798991522991173,-26.572213666142247,-24.92900863859566,-24.39300472888351,-23.665134373332755
4,-25.468045436263687,-25.050288815614486,-20.699854109715893,-25.440132349758034,-19.23173489002547,-24.05515007693681,-24.12952432085367,-22.52277337853449,-21.99052163937339,-20.18824772942999
5,-24.433208032544293,-24.179694550459388,-17.888626661987995,-22.98315106121336,-19.012041449624988,-23.178763102856227,-23.501953236347003,-21.859313180228412,-19.1293970324882,-18.552521577553403
6,-21.800418177006858,-22.46137747871058,-15.55589768994085,-20.80664034368443,-18.16351821336039,-19.682693493371165,-21.675847099737425,-21.74268359373058,-17.033117921029834,-17.67002428837511
7,-20.955904354715436,-19.47241243875272,-15.322861712522238,-19.533071123270894,-16.83317644190839,-18.026527151189597,-20.00905352144256,-18.456836527953797,-15.874604598447966,-15.164503381571759
8,-15.420154133962566,-16.246745389898916,-14.572812761011955,-14.88467877230184,-13.454430755580011,-15.711860721559496,-16.209253417846348,-16.953649898673127,-14.12260895303516,-12.772379116135522
9,-13.941651108692797,-14.742366948788689,-12.672418782204435,-12.805082504268183,-11.78660227188412,-13.89387427163458,-15.019024529554482,-12.943964857181694,-12.76116396346206,-10.946059726925618
10,-12.650347056422087,-13.301948962394848,-10.629071731298904,-12.14004154486803,-11.021873210304555,-12.196441388560586,-12.593867826318606,-11.391333344357419,-9.918311786137174,-10.179044185923567
11,-9.720846637102504,-12.077513576403689,-9.577110851204345,-10.94953255298083,-9.544986539080263,-9.467488639502518,-10.148157225335991,-9.7800647782399,-8.967866061210154,-9.26874109320925
12,-8.232596162539728,-10.140529296906603,-6.672382863468698,-8.25508915894183,-6.728486136470579,-7.682077789752632,-7.807447231445687,-7.177174635551549,-7.215985409708083,-7.465704431300416
