iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-311.9734591407761,-315.1639871323476,-339.53005948912255,-318.1697591599908,-288.9064298884677,-295.029687018167,-312.07013040314655,-316.7797190414161,-286.77966455260133,-306.00251453570826
1,-51.48950536277472,-64.73267458510458,-47.302600680889825,-56.07681231590901,-57.37346430203647,-60.66075118426893,-57.03249991906178,-50.83409176551072,-55.40041449523233,-57.06370219107198
2,-30.548449729410187,-38.93638191761757,-25.797396917517574,-32.31747566816887,-29.830620510515057,-34.75587179337478,-31.784704888851113,-29.663202812953426,-33.36687813247273,-31.876631408454447
3,-31.539481204616127,-29.92938261446433,-25.048768876358935,-31.023326619071376,-25.339296583107267,-30.495620116572514,-30.035601492292628,-28.733138520966847,-26.20214829190142,-26.19045544346231
4,-30.887963959873566,-30.964990551811248,-29.21687341907434,-33.0803916385834,-22.9635854945261,-28.48741905413432,-28.730088978635358,-29.03855171155646,-27.868217268603402,-27.121719250834577
5,-34.44723546799372,-32.00246169249908,-23.638368368851935,-28.34327727501934,-28.515110277519735,-26.257475688990215,-29.99913986832852,-28.676387898437383,-27.005944402439397,-23.455054667337137
6,-26.851123425910245,-28.376307172789314,-20.402932205577102,-25.863382476098387,-25.283154460846383,-22.74038607720341,-27.680801055226212,-29.366737981714355,-19.538711087230983,-24.36930461786162
7,-25.843958593321872,-24.27379965086954,-22.194532462770155,-23.808162006257483,-21.675300450035895,-22.39794494514053,-28.55275829155007,-20.882099363114584,-21.1294230250368,-18.80608539330158
8,-18.321131009747397,-20.99142361041168,-18.221086557826048,-17.487815294510103,-14.625478168706717,-19.99931446872707,-17.67390538003448,-20.952303217424877,-17.207878125393623,-15.295285505446733
9,-16.648677187338457,-17.252928663415275,-16.843433097916552,-15.818773561410604,-15.1018070005432,-17.117110719820865,-17.718250909826835,-14.483289501759069,-15.022521777082734,-14.033997175975422
10,-15.655095346276232,-16.777271312889,-12.40455575066467,-15.456811347059986,-14.253452087958143,-14.107058369814105,-13.995243824753727,-12.57771752749867,-10.836306953333112,-12.964265327643016
11,-11.017980805663404,-14.029529423078243,-11.178436111815916,-12.695715421730469,-11.241725011798,-10.96935315594421,-10.860664985507881,-11.137710423163236,-10.447821697198846,-10.433843081923353
12,-8.85473170682658,-11.031918638697647,-7.305931491065671,-8.835087235776305,-6.977619301301683,-8.807581673045739,-8.645085444732805,-8.203224076631198,-7.9942650409411335,-7.644312932973588
13,-9.055497946793508,-9.480102982328377,-7.652929076448197,-8.568531106970338,-6.462305312193206,-7.8073616035590785,-7.586591262962445,-6.961073213190492,-6.859672630160541,-7.134669439858983
