iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-132.00517286010876,-134.1926587109529,-133.8313103038999,-136.96089138692878,-149.80649103570533,-139.94976823549942,-134.7682461570948,-130.04272294731248,-121.53199743141147,-136.7113843788025
1,-132.00517286010876,-130.93565116753587,-133.8313103038999,-136.96089138692878,-149.80649103570533,-139.90750001195767,-134.13223515521727,-129.7051354870498,-121.53199743141147,-136.7113843788025
2,-132.00517286010876,-129.92775175710656,-131.9446724055745,-136.96089138692878,-149.66554309303172,-132.777012635365,-129.567791064975,-128.6715464088669,-121.53199743141147,-134.03248100232122
3,-131.05983267175674,-128.9954112757559,-125.14495861731774,-136.96089138692878,-148.22026230812816,-132.777012635365,-122.11802028646812,-126.16570801518682,-120.91587198167194,-132.43396490305736
4,-130.32332138666177,-127.71246465964853,-124.32591837413041,-136.96089138692878,-148.00402252390307,-130.98768238582426,-122.11802028646812,-125.33038566966589,-114.12506563983723,-130.0235377781232
5,-123.0158834927067,-125.93529015444082,-119.30296475904561,-133.7554329840652,-144.0805347495716,-127.01807802582587,-122.11802028646812,-124.0406660643643,-114.12506563983723,-128.90835754999955
6,-123.0158834927067,-125.93529015444082,-119.30296475904561,-130.56194495995294,-141.3103234798753,-122.39303675672512,-113.89713899981953,-124.0406660643643,-114.12506563983723,-128.90835754999955
7,-123.0158834927067,-123.13593863873945,-116.38680471151652,-126.32064889387277,-134.76051892194505,-120.37518387679799,-113.4567518537402,-120.4767093643395,-109.8512500365413,-128.90835754999955
8,-121.09889527601086,-123.13593863873945,-113.34362968466488,-126.01472838808972,-130.70053429809744,-114.80943747085243,-112.12178265285706,-110.24213239823783,-106.97107716550491,-126.58796922721223
9,-121.09889527601086,-121.4577433181496,-111.29341647817266,-118.23149386686696,-124.68779179867485,-108.33399532197441,-112.12178265285706,-106.76340060311816,-106.45884268615531,-123.90451575826638
10,-109.84351058741001,-117.33023416168712,-107.59136701648791,-118.23149386686696,-111.26970750089282,-108.33399532197441,-112.12178265285706,-104.98007648801399,-106.45884268615531,-121.11249272067275
