iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-311.9734591407761,-315.1639871323476,-339.53005948912255,-318.1697591599908,-288.9064298884677,-295.029687018167,-312.07013040314655,-316.7797190414161,-286.77966455260133,-306.00251453570826
1,-281.3536381906814,-319.88250117370154,-280.12930191826854,-258.0021793612475,-292.3345743549569,-297.39662254527366,-250.49094834586265,-284.803914218466,-278.34014846100297,-306.73974348823697
2,-241.079728269649,-267.31699544449003,-226.54087290956727,-283.42125361047124,-268.6723121815859,-240.86224493951732,-264.7762872169576,-236.14218598052548,-288.7605974522287,-257.9475674400877
3,-236.3686695169509,-273.3004818773815,-259.11398190670127,-284.09178219155456,-261.0200722031942,-268.2270052471695,-230.16488096760418,-262.9479918286147,-286.3673922404089,-260.6025909578027
4,-266.31380501126364,-241.05097074844528,-279.0886021654396,-282.69019656340987,-249.8830325975105,-265.7472375240955,-227.7140789578616,-257.1461509645297,-270.31365310173146,-266.48370351634935
5,-255.152509455917,-282.0750921945566,-263.8562700851446,-281.5017860515247,-247.4886840777627,-230.68252885204348,-241.62583264619934,-246.21349138453533,-274.9205618427457,-273.7684618717794
6,-263.71310584080794,-286.67357369841056,-258.61765586746367,-292.4193731292278,-216.84317041095767,-270.4448867945773,-194.67669103158013,-307.2188751383586,-252.99596145726403,-296.5011502994887
7,-265.91271148642664,-277.6105724672151,-198.86482256672744,-268.70681129420166,-275.05971008316004,-250.55762698849355,-242.78413989039709,-264.1131825482087,-218.3028606092994,-306.97296002832707
8,-273.8282043303112,-238.94410908826404,-212.395274759644,-228.06549803469443,-249.61635224279667,-268.45934948574956,-216.89987361305688,-211.2042925610819,-251.75137070567447,-237.29483712316576
9,-257.4238108548684,-214.98672191474157,-227.70124624781127,-223.81311584623458,-248.08107353329905,-268.94740286531714,-242.07746754069126,-225.03634986533595,-254.1076870030402,-249.97571103416374
10,-193.41401556948193,-186.0719316195695,-215.16751950064673,-262.1498032085251,-223.8119219547529,-235.62568844579073,-209.29118094457505,-231.04429166097293,-263.857485610474,-220.7879653347465
11,-240.2220003031665,-177.74468025087845,-258.1206080216798,-215.92771546746204,-230.34731107194895,-228.1876514023205,-196.91879752835223,-205.35522245136337,-288.85341771289825,-226.51434582453223
12,-197.05141821335494,-231.43738267233869,-207.58690299716875,-228.5266319435769,-198.43896059883474,-258.1842191013819,-224.27046558398482,-233.55899766215933,-224.9916084384985,-298.72380939963335
13,-220.109809454446,-187.74740218405427,-208.60854456333445,-234.4718544794356,-201.73306067256755,-225.35898776057627,-236.27684565960953,-231.5399435061529,-183.87747534088987,-222.51207376647162
14,-197.7868009975886,-205.19429285176432,-184.38931025494412,-212.08448879528876,-215.89094120904895,-197.78783960768112,-212.03656737802143,-205.60731378748898,-217.88198121602005,-193.59512619277456
15,-236.22259562768244,-232.14930267033998,-227.41989743302867,-225.96496711557535,-209.07580448051468,-173.33469150923995,-178.78755906962135,-196.48778341805303,-193.44375237467045,-210.27658378960115
16,-203.47836623402975,-237.30414933880888,-156.01995516596406,-205.66729799278585,-185.7096899195937,-226.8358305705558,-191.01640424310327,-151.53711669736225,-209.94149166408758,-198.00929984760532
17,-191.2485486998533,-184.76265891762966,-203.67828967587286,-196.90041100912578,-219.47656841170974,-224.66830270287903,-194.2738770773057,-215.16809901309716,-207.73858890712324,-203.60339066153557
18,-212.42526091432808,-254.34626047077313,-184.1337835022955,-197.61935917105697,-176.16110517284082,-191.06087146553125,-180.66063565422786,-164.35138078207223,-220.08385368039106,-231.02941648537725
19,-199.29500834394617,-222.3461703101217,-194.58440285900494,-238.13561695820798,-177.0771055684615,-203.9185615243691,-180.73323438535718,-198.01424936447603,-168.70665490868913,-184.92604824602202
20,-214.03446159617957,-188.63576947796955,-166.0994849111375,-183.25143230802587,-178.35737038310123,-191.20092668374429,-183.27666038021405,-174.75326755530563,-209.33526257690744,-196.85474462675265
21,-179.87054034073236,-188.06750693594432,-177.7879818609115,-173.96658626193044,-212.04858470122593,-188.1522352786959,-205.86349145557813,-139.7342035406632,-164.78102648064805,-200.52062781731019
22,-162.19739633472184,-189.14256284636548,-170.08403848884728,-168.37506026999085,-186.7539276766151,-168.04221725641284,-161.21847410299952,-146.94477818269544,-147.71960490593113,-193.57923113035082
23,-171.66482654900176,-186.5545796358375,-170.71922814195503,-185.94224778835647,-190.09661617257547,-181.60589775133252,-180.13029158412863,-167.33814220066137,-159.36901598995064,-198.24341752694056
24,-156.67905831310034,-189.15756678258612,-172.56183900329887,-214.83179732888945,-156.88482766028676,-144.9674573690935,-170.51527842320792,-163.77252611192228,-138.73802082745925,-177.69723205843223
25,-152.9206858341676,-169.55765512742278,-181.77403374211738,-192.36171159226757,-191.87879909996204,-128.91678477843854,-124.09865670305268,-157.90265656502413,-152.5847467907449,-191.53554917071017
26,-133.4933338524299,-185.11420853264764,-136.78291460901806,-154.20675198338492,-167.18120971822745,-144.26554758902472,-134.16965816752926,-185.9996832099091,-181.53313322371267,-150.85880460547628
27,-152.6310012744629,-153.46453465902613,-166.03232040836795,-167.84281465606716,-140.28742505106302,-115.44382382639404,-133.9337411030485,-143.17189057832962,-135.2268792827408,-166.66427453483598
28,-163.8796304661459,-163.14962029483783,-141.46320030899534,-160.57101070102465,-140.2651028104647,-127.44894969310876,-141.23546591698312,-170.7667669056259,-130.2102839918878,-148.57240189709398
29,-127.52847993778985,-149.8873308414519,-132.74443846451288,-116.85120498177884,-167.28800189279798,-121.96181052758672,-154.77617795092397,-128.68575866501075,-107.85697691241974,-150.0780117365656
30,-162.3606291346003,-178.84298696289218,-132.65456485399469,-134.82107911571404,-138.3286747191815,-153.874233186261,-173.0584529990193,-117.5832354092802,-124.84452842187213,-136.27907721445894
31,-128.52703480927784,-129.45556775382113,-134.7918210479532,-145.12218473022307,-163.77173512446788,-146.79574832384046,-124.18801957254979,-95.57811502851017,-156.64258600954207,-167.63026299131076
32,-153.22791669549719,-144.9126150590048,-147.2360982698155,-120.89381540740422,-142.56266556175893,-132.61210589849938,-125.64108713469392,-121.27237141876914,-142.3110399793345,-116.89770935230192
33,-129.4979939278157,-123.06862754532423,-121.30550839427698,-101.25091336220615,-128.18148605789202,-148.52717334480806,-135.42582127330832,-112.49285659401178,-137.28262255949562,-102.23329037720544
34,-131.0484792137348,-118.35504191761356,-138.44708851943835,-123.63310901406572,-122.71617622136388,-132.3772145586411,-115.74603939119866,-100.78373436136565,-110.59908484144154,-157.7463504718468
35,-117.96515930920052,-147.93894951786484,-103.76767535246996,-101.72388755814168,-128.4807885791791,-111.3714132987474,-108.40660965988982,-129.94382802676762,-98.72638987656156,-109.66749182085037
36,-136.79278449843397,-114.02089272069091,-101.63238104664077,-115.25691235957763,-117.55531557250858,-107.8442502894516,-112.39679566625995,-96.7596510855619,-98.69881214414339,-107.21662497894329
37,-114.69904011799608,-120.02745603568923,-124.32433597580622,-106.05836705714943,-98.02354712282414,-123.80217848776275,-108.65292536492103,-114.03031868648382,-100.09141792894286,-112.68895798484701
