iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-132.00517286010876,-134.1926587109529,-133.8313103038999,-136.96089138692878,-149.80649103570533,-139.94976823549942,-134.7682461570948,-130.04272294731248,-121.53199743141147,-136.7113843788025
1,-40.4083132356398,-50.64045905183103,-36.19965419130433,-44.44077349000844,-43.60176641121295,-47.992556876353234,-45.182347362302366,-41.35860712429671,-44.92600655711375,-45.39606063301855
2,-27.25419761962127,-30.777798811181185,-22.39664329234069,-29.00718598509372,-21.538178968680548,-27.807865161099308,-25.641753836569556,-24.999631482109894,-27.734405794929422,-26.494748875635462
3,-25.36230607644852,-27.183408737875688,-19.520594962125458,-26.323086285617872,-19.217239422966053,-24.346942201487835,-22.107311057409,-22.989552683746222,-22.522724056328887,-21.436855711169226
4,-24.468341644308126,-24.9499488188858,-18.231125997037648,-24.597713188606008,-19.117801769319257,-22.481124888601418,-22.03877617884438,-22.139776175825556,-20.91469223160395,-20.008084395679226
5,-24.27387001025803,-23.309549690070078,-17.3858180762994,-23.645088155179465,-17.460438320958254,-20.21873406208801,-21.38532616820869,-20.830188739866436,-17.016988142746904,-18.908582562230144
6,-22.53642459583898,-21.49309445193194,-15.798664860645426,-20.749664336550843,-17.241520701068644,-18.14214137885807,-18.92823586937496,-18.962714615193626,-15.643239059061713,-15.856815002900845
7,-19.75784288989876,-19.06131323961115,-14.325304510219391,-17.539989796513296,-14.717780875458404,-16.80294767969899,-18.38156210633817,-17.740983800121228,-15.317314029322482,-14.225328533196624
8,-15.647583027645059,-18.015333393000695,-14.325304510219391,-14.325022108995245,-13.973845115539717,-15.34318001631263,-15.947849523535144,-16.311774500360194,-13.647345407773612,-12.561057034775487
9,-13.44897006079417,-15.826327200296834,-11.574009261714677,-13.093702740889956,-13.164710235600428,-13.448809335391083,-14.285822759019679,-13.425875742118087,-10.809381004997643,-10.448795108357224
10,-11.195769542880837,-13.074726388693843,-9.783390798763985,-10.67397168371231,-12.451693416401996,-11.904222406012558,-11.55297589586877,-12.297525020256929,-9.6633322906677,-9.039566468185605
11,-10.361498429482438,-12.153611216274882,-8.173979275717329,-9.329844992156112,-10.692406461289956,-10.082974936044426,-9.704435521397345,-9.888085664529255,-8.524722444659075,-8.93197331223518
12,-7.096175389028385,-8.956026430724084,-5.157702099791779,-7.500177631714223,-5.779793657641033,-7.122677958670579,-7.465075358979576,-5.81727993519255,-6.158495959024149,-5.555046538638033
13,-6.595321200146087,-6.8575964757302454,-4.604175841416421,-6.67580610369853,-5.157178956958465,-6.17509302847496,-5.578902248218328,-5.1973083291840005,-5.387133686833177,-5.18488697087248
14,-6.524874255186214,-6.399955083694158,-4.480093972536531,-6.182259853787079,-4.613839692224552,-5.660966137352183,-5.302235182333828,-5.044948001649237,-4.771176807220051,-4.7469331462638085
15,-5.95637990590441,-6.132696217740309,-4.355594859391244,-5.32922795306121,-4.1496797345769405,-5.116767773691294,-5.199776242570287,-4.945140336360209,-4.140848333933743,-4.493814915830601
16,-5.511312083578387,-5.6197581265238625,-4.017545347947879,-4.789823640371429,-4.069322185603244,-4.54104319292426,-4.906212010615499,-4.3988172645592645,-4.071668573628992,-4.123631085863492
17,-4.889356597052062,-5.1067177616114,-3.907704432852082,-4.47162821296344,-3.852727743510784,-4.350354240085508,-4.561622102711209,-4.05574072202451,-3.8713586927585686,-3.993307073383307
