iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-311.9734591407761,-315.1639871323476,-339.53005948912255,-318.1697591599908,-288.9064298884677,-295.029687018167,-312.07013040314655,-316.7797190414161,-286.77966455260133,-306.00251453570826
1,-40.4083132356398,-50.64045905183103,-36.19965419130433,-44.44077349000844,-43.60176641121295,-47.992556876353234,-45.182347362302366,-41.35860712429671,-44.92600655711375,-45.39606063301855
2,-28.04455920362925,-32.829521973665464,-22.47757649787136,-30.12801731652368,-21.8719045045277,-28.22755709045272,-25.641753836569556,-25.72339734376115,-29.25748840080341,-27.591688437035707
3,-31.628772036030355,-33.783283555160125,-23.82205805448135,-31.358164022568957,-27.910513065006093,-33.77092592682301,-28.405871319128046,-31.600396676221763,-27.15949320422093,-25.871685854113874
4,-34.1628150559524,-33.35513494700335,-28.76451924276286,-35.35968516015319,-29.270247964054704,-29.539075493587298,-33.324077229850914,-35.038426626315115,-30.491487726548957,-31.23774150469533
5,-34.212727214561525,-32.61058946146656,-25.18721904254486,-34.83198249970283,-27.71030750735334,-25.92097633275789,-34.139001155814945,-28.13743732975407,-24.00169427441042,-29.005123519722282
6,-31.697720757221678,-30.114217177636842,-22.01880071278481,-28.668581375095382,-25.065151530250183,-27.17967300888916,-24.843183338047385,-26.939881182850357,-20.137720710207716,-22.434066934806122
7,-26.919164868028595,-27.447147943951524,-20.056716676500052,-24.368584522891005,-19.678628001318643,-22.034184519502336,-26.77066785608026,-26.3103569933095,-22.6309251958246,-20.10825567324232
8,-18.201224814373674,-25.286376324942584,-23.315843128620806,-17.33826934486343,-20.477258206359014,-21.377866842742815,-18.419629845000042,-21.26443276207995,-17.69378063427518,-16.10178982534194
9,-15.210508701567338,-20.137080905422888,-14.946748930701121,-17.778118911828592,-17.652134243897393,-18.23951279614312,-18.430099869757303,-15.863804245343658,-11.988740537483588,-12.81560363406394
10,-14.575218022811779,-15.116513444667746,-12.139954005153722,-13.77505115838964,-16.956411980369964,-16.037467042035228,-13.807999281587804,-15.658796311924895,-11.573975339038736,-11.195112937083781
11,-12.128891008510337,-14.765023481140652,-9.690594756179136,-11.218960410119703,-12.234869811755235,-12.331019270469085,-10.720086016076044,-12.205871565707183,-11.207669122773769,-11.391239002933212
12,-7.44523556766821,-9.406621330554769,-5.485692681172335,-7.993929207783799,-5.871625365107429,-7.6291667066837645,-8.427757476204594,-5.864702357162325,-6.909507619962966,-5.892431895849574
13,-9.468230776864305,-7.159508407942936,-6.451244208141864,-8.174168576772335,-6.6278561558552616,-7.499373854814156,-6.2279869474149,-6.951382482119188,-6.214919050548164,-7.607154517960936
14,-8.087092274834438,-7.548299967082192,-6.184259610351154,-7.0470124845837905,-5.970996381877493,-6.813996873845626,-6.864625884650674,-6.163374217277057,-5.643166659517766,-6.105524793151481
15,-6.993854746693708,-7.516320105771864,-6.287391352043461,-6.2573603480213205,-4.693310939656628,-6.272708938612836,-6.316699256988646,-5.982620831305137,-5.436608944052654,-5.436061702934719
16,-6.559141382666142,-6.521196639860058,-4.943800959468961,-5.672803773755937,-5.625518209641428,-5.434129346768705,-6.025046152717428,-5.81641615665928,-5.57270504966775,-4.8069994103379825
17,-6.1240161760607315,-6.0440429881375515,-4.941902106771025,-5.423914846546687,-4.613905142905679,-5.402059124652418,-5.7180328084854946,-4.945581673880579,-4.933313713285611,-4.774358661478385
18,-4.915640956645592,-5.618396764080385,-4.665317012620683,-5.0125360303727025,-5.020500509448716,-4.9599697389461195,-5.0425670891402525,-4.730538787602913,-4.655279703171942,-4.621563673310331
19,-5.165333344067047,-5.748217619125699,-4.511019427354144,-4.3367672132101065,-4.279264360492257,-4.844411310525784,-4.999352939736669,-4.048071832842693,-4.514987603677042,-4.316444748978335
20,-4.879438346939597,-4.976569351496703,-3.6309428779977493,-4.124432853106148,-3.6187494808269873,-4.009474742399776,-4.534018056673652,-4.186788675054618,-4.062706929021475,-4.203508657444116
21,-4.108556438087628,-4.792473317851277,-3.719675785784446,-4.010167177355367,-3.641745589583711,-3.977110347218443,-4.233915108127668,-3.7956358955894127,-3.908038860956241,-3.8972620708574794
22,-3.948027084853063,-4.300446610170377,-3.5798633225160783,-3.7758092824323,-3.4500347844334716,-3.7090394217285287,-4.308391054143364,-3.379312603961444,-3.9151239553274895,-3.8107515228562727
23,-3.8133631100589973,-3.9503910511376152,-3.9004887701240167,-4.016480857123607,-3.36006663286034,-3.88550500955947,-4.070468336649963,-3.8417292118835187,-3.5652138159395745,-3.6714193616540105
24,-3.935186942105103,-4.464613952637311,-3.550350921484461,-3.393895991947383,-3.2608872302586778,-3.433136163719404,-3.40996957124923,-3.276633227765886,-3.6558625487623857,-3.630137666543814
25,-3.738369663055498,-3.747702030547595,-3.1100617709880827,-3.2674260761571716,-3.120616838992826,-3.653494820422389,-3.2555889442525316,-3.3097204187583604,-2.995839921453357,-3.333391648076921
26,-3.419279434731877,-3.5534692304228086,-3.296641361803051,-3.1528622571197564,-3.246362777366249,-3.4504175768532015,-3.102847034573039,-2.931247658679415,-3.244466329026719,-3.579878393214864
27,-3.2849606427138682,-3.3875146845647013,-3.184134144211682,-2.889363200040071,-3.014350147375938,-3.4579796096062347,-3.161414241954952,-3.02653610138488,-2.9521586398298707,-3.1285274900042688
28,-3.3085741070802586,-3.5792408363823083,-3.0554520098772886,-2.890579211621469,-2.951447493015098,-2.9545209329854285,-3.1787316340969296,-3.0876060501007903,-2.963249286612464,-2.950393453940035
29,-3.055468597668361,-3.5259642869687644,-3.0661779631131365,-2.543030483824354,-3.035418810368804,-2.9569845010907674,-3.202491076425195,-3.1060636402063153,-3.028301947691701,-2.998433172452029
30,-2.937339765270327,-3.352732294952509,-2.7359448347938997,-2.8158751547370278,-3.105806550575921,-2.9716641163842192,-3.0447800356552976,-2.9539885236357017,-2.9349616193764776,-3.136609659885856
31,-2.8613829950873377,-3.507213363904282,-2.8144515887572523,-2.60251802541553,-2.9391743332658367,-2.835893238301608,-2.9702230340902496,-2.7384238665308924,-2.854045554272124,-3.0908550708408296
32,-3.028994685825718,-3.2450003399118144,-2.916689431982404,-2.673639700365779,-2.7179437804015607,-2.848703402089883,-3.108451841692466,-2.9129075910423903,-2.830454500220762,-3.0362122044198885
