iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,1.659786321584181,1.4743281044392336,1.6740841439675762,1.9053389349192857,1.711835569088492,1.536655107252785,1.4081496075379971,1.649104737423776,1.8107038358473289,1.6036610213482363
1,1.6872623665927202,1.9056211556472513,1.7873571955853274,2.331501332835515,2.111561301434838,1.7853576947882448,1.6110891925607536,1.860384546566555,1.917371448369225,1.9825063259590714
2,1.93151875952609,2.3802723961220815,2.3377078712565655,2.558324268733454,2.443158512320371,2.2122359668091462,1.8991680961264663,2.2315118234991558,2.244715795853874,2.7387653295741483
3,2.2337517951568233,2.8067770164460084,2.542122829074393,2.638029258515205,2.7701721023125465,2.4257250765128884,2.351808611538903,2.526146219600231,2.5311383146531217,2.8440058746056103
4,2.4084395545600614,2.8782876412857825,2.7798702118694845,2.835729908618239,2.8173579956536026,2.602402044884437,2.504990307197243,2.6780235683574585,2.7463363079994467,2.939117807421119
5,2.578891592879328,2.8941761238004404,2.787528865718052,2.886460765525534,2.8808245594909883,2.6535069886135147,2.6846980581453774,2.7982425496803502,2.876908592980678,2.9634967180946967
6,2.7108256171304133,2.9252764473888497,2.863697515210398,2.9111471687094954,2.9200320812246536,2.7733618813854797,2.7272241921869464,2.8370993264831386,2.9075075476941166,3.0213949503260262
7,2.7608714429763754,2.9411877720427273,2.9237453284885877,2.9455654923337202,2.93535068531354,2.812949973514583,2.8046184102739593,2.868072557828682,2.9388187966408736,3.0464942819425045
8,2.829208869535938,2.977905065201981,2.9463717794975484,2.9455654923337202,2.964994309917014,2.9041415751712476,2.851470678287485,2.868072557828682,2.9811245797893022,3.0464942819425045
9,2.887582340775362,2.997772781818084,2.990662117077145,2.9614742462301087,2.9829130685503618,2.931462079716403,2.8792459868038955,2.9147694188880253,3.026750604754686,3.0464942819425045
10,2.9188442847139227,3.042116051779391,2.9977690370849737,2.980649861425711,2.9977253201788523,2.947146876531326,2.8995004710893744,2.9396441954438353,3.033812893891426,3.052094069579889
11,2.954372824533417,3.1017198355053694,3.017088739144336,2.980649861425711,3.0028560550117778,3.0342498896077323,2.9243414088792354,2.974433011681644,3.0397213691390523,3.0616528452838
12,2.970519677346405,3.102529994587758,3.0284567180710815,2.999005382492,3.012600239913299,3.0797115283023166,2.9474736355188176,2.9994927084048038,3.04635872877892,3.071039143477312
13,3.0111333730157472,3.108286502130227,3.0558907644837845,3.0246653402102748,3.023943353496625,3.1109225810919554,2.970045642491294,3.0126029729691894,3.0493066192493385,3.0793903901224606
14,3.0416107420090093,3.108286502130227,3.0558907644837845,3.0316281867066155,3.027663331640291,3.1109225810919554,2.973998796020101,3.0229681892878912,3.0610172600330134,3.0811486352153263
15,3.0540313770941445,3.1135447730005525,3.0600287465148135,3.0493171174711664,3.029973122866367,3.1316139906028924,2.974762099794915,3.0339397874212084,3.066190302782628,3.1043714979587786
16,3.0871498647217104,3.1337006721828775,3.0713890170756724,3.0511124794559352,3.0315629993491466,3.1316139906028924,2.9821101309505806,3.0451014645081895,3.066190302782628,3.1108803465908146
17,3.0871498647217104,3.148860309082986,3.0924179919031083,3.0538289000806764,3.0417560547335496,3.153305576952846,2.9821101309505806,3.057745344796815,3.0897628382827507,3.1108803465908146
18,3.0942187466765585,3.1543060997106114,3.1087197311756976,3.059526746867415,3.045927936353271,3.1797765320145546,2.9825958222287183,3.057745344796815,3.096070682595919,3.115821466249036
19,3.1046566662756456,3.1673769579645024,3.1371602618335306,3.060852445416977,3.045927936353271,3.1844462189404825,2.9914954597511585,3.0610950118163442,3.1031660694749372,3.116458299150474
20,3.1279794437719493,3.1757929774382267,3.151097864750164,3.0787082048015386,3.052736714743469,3.1930299676866496,2.997719630453288,3.065909039156928,3.1085554015842627,3.116458299150474
21,3.1418514762243683,3.1857480893972383,3.151531217483705,3.0787082048015386,3.053135851211061,3.1951157134739026,3.009457070487769,3.065909039156928,3.116947887351672,3.116458299150474
22,3.1430915979592906,3.1857480893972383,3.167598004002007,3.0787082048015386,3.0644949203503167,3.203535596135465,3.009457070487769,3.068425534073311,3.117852491138589,3.1242453867519018
23,3.1489802322030904,3.1892080902713804,3.176688599848408,3.0787082048015386,3.0680737485666363,3.2040985211097284,3.009457070487769,3.0690671724077707,3.117852491138589,3.1242453867519018
24,3.1489802322030904,3.1892080902713804,3.1880605410841896,3.0787082048015386,3.068729627010489,3.2040985211097284,3.009457070487769,3.0712340133559897,3.1193275117356984,3.1311961705832347
25,3.152995827606526,3.1927593393046196,3.19942681601216,3.0864361366372215,3.0738598104590693,3.2040985211097284,3.014415458135713,3.0712340133559897,3.122851985501457,3.1457666115034284
26,3.156179309832665,3.2030011180925797,3.19942681601216,3.088139797775521,3.076937313532899,3.2215163171240473,3.0195235273756653,3.0838646108773027,3.1405124953048427,3.1466542442532996
27,3.156179309832665,3.213358184318526,3.2061493765420233,3.0924752395963147,3.0781070999805644,3.2215163171240473,3.02441300986721,3.0838646108773027,3.1412126479492817,3.1480726943232193
28,3.156179309832665,3.220854779804425,3.2135787056988065,3.097650362271585,3.0830774295528567,3.2215163171240473,3.026874936176739,3.0980104028752082,3.1412126479492817,3.1480726943232193
29,3.156179309832665,3.220854779804425,3.2166755193179135,3.097650362271585,3.0830774295528567,3.2215163171240473,3.030919434998821,3.1007077240312277,3.1412126479492817,3.1480726943232193
30,3.1566368693564293,3.220854779804425,3.2166755193179135,3.097650362271585,3.0830774295528567,3.2215163171240473,3.030919434998821,3.1052132078976564,3.1459679150621547,3.1480726943232193
31,3.160739345887209,3.225151771170201,3.2166755193179135,3.1049553480445526,3.0830774295528567,3.2299322541896496,3.033124903148704,3.112674406454862,3.168953529704389,3.1544332610936294
32,3.1672221515373398,3.225151771170201,3.2175104371271246,3.1124503182175984,3.0874670523873453,3.2299322541896496,3.04959209502326,3.115219995470703,3.1708179037182425,3.1544332610936294
33,3.1672221515373398,3.2267371253722845,3.2175104371271246,3.1124503182175984,3.0874670523873453,3.2299322541896496,3.04959209502326,3.117366262287395,3.171550743883564,3.1659980490424293
34,3.1723281509935743,3.2284062149425443,3.2240730451822004,3.1124503182175984,3.0874670523873453,3.2299322541896496,3.0628537222438252,3.118141885551058,3.1737830767504915,3.175048337562637
