iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,0.2811587841120785,0.1754447727886312,0.3094231223932853,0.18484765303951634,0.6503935057205283,0.34220770000819983,0.2354118454960106,0.2928965202596732,0.22400758561848075,0.16058131348374538
1,1.1913715897133563,1.6716175374372286,1.3449267964342693,2.1053417175428857,1.8540367280244996,1.5796461685272676,1.2605617159950366,1.5547454582122557,1.3594182905256997,1.9060819691123216
2,1.7083619995664194,2.222794756721492,2.1887083402215968,2.295859688440357,2.194925036129386,1.9007263765439548,1.6174556601459242,1.964525912131804,2.091714125617564,2.7127750498955425
3,1.8868763181824888,2.7316539183075834,2.279501949880694,2.226632574071081,2.5856794956440226,2.2396494830895355,2.1484039851207473,2.3868293241067255,2.3472546160262366,2.475756797207617
4,2.0553280300708416,2.6154491254388574,2.6118733291508787,2.6240761425513317,2.508440090458468,2.3280994624179234,2.2183693430089915,2.4776144857754927,2.5165103995184035,2.639205704834783
5,2.2997319853709612,2.627755111211125,2.336758829524175,2.47149104457757,2.6581787472395066,2.30938615074591,2.3845831817796195,2.5738245389922776,2.683673831686878,2.5722510068971336
6,2.5529121361138,2.67778444469075,2.6006816905003083,2.5836823442949433,2.5281686920110626,2.52098084205133,2.418316086148393,2.6105923385117826,2.64197159324101,2.670826107396363
7,2.45661619732923,2.6644304595671517,2.6565129179788665,2.6181851337279722,2.5103787513173277,2.5568989320836932,2.5224618110283634,2.4887682074878095,2.526434007625352,2.5930064698254522
8,2.550393844528262,2.6036446809440568,2.6135871855372645,2.527014663497546,2.663962896591595,2.680700902814079,2.563496130242,2.485155018003811,2.669657769524174,2.587308494301824
9,2.6264066418280954,2.719512070805747,2.6898709072532885,2.550925741791211,2.7192490768227024,2.7076229370975735,2.6185227606947095,2.637145849957702,2.8006888158288703,2.591689187951977
10,2.5530016694278097,2.819767663662122,2.6519896506545892,2.5002010132173376,2.7231571027754207,2.557340363047945,2.4964031584413773,2.6413825700320848,2.6076685006562776,2.662896454455977
11,2.6907436361309807,2.881953405092238,2.7385620417636014,2.6041471666435325,2.6446621050282477,2.842241403140282,2.5658066665204795,2.607637464054812,2.628297364625465,2.7108084253940223
12,2.740654593257302,2.8821576789908114,2.6360300051270382,2.658798321957706,2.6970715966334673,2.8533387328919346,2.7145613359168843,2.5986881725240556,2.650593768409162,2.6434057149312045
13,2.6857038903808745,2.821251258586048,2.7296784527483395,2.712845104947569,2.7073501455797646,2.9235341288584333,2.7866541272133882,2.724383896240868,2.495061629667048,2.7842450662203255
14,2.7164995678216712,2.828002869881502,2.6104460951394026,2.5937308504759367,2.580047131717534,2.8625919262502224,2.7289279815323066,2.716482835745717,2.6150180930077713,2.6739799186716464
15,2.7150278778227337,2.7442326288316883,2.6760399803043464,2.7731012387085223,2.8491884656724307,2.865871299168699,2.5596065546275177,2.6450587077361103,2.692439828387317,2.8319786809420235
16,2.8234247410936018,2.8034727909611066,2.7730349561932535,2.559725831695118,2.689274586525265,2.7831000317820167,2.728875039457941,2.7144540654684333,2.615005895174747,2.8454878053776
17,2.7942256889338024,2.770695967664552,2.729267167879199,2.5858623204097464,2.7681567366060795,2.8921850189334855,2.53912956910517,2.698799212568238,2.739412123071494,2.538999143173669
18,2.843438712178568,2.8477475239491716,2.7814364205207096,2.54950773690414,2.531733526157728,2.9255761971878584,2.62258835374641,2.6308676064922807,2.838310892331624,2.6868004979393265
19,2.7688360385242836,2.8239841862231696,2.858032132648339,2.6982254726267794,2.70874531591631,2.8807951660423856,2.7926420301789685,2.7922891994955203,2.6549965072301753,2.7015385941851067
20,2.8072492565093237,2.7829955183913664,2.779030803362775,2.6833563623994032,2.7834440531887177,2.9193073294019096,2.587402505142327,2.758898184330074,2.7871391717127323,2.830287899060224
21,2.81263707640589,2.934452215505586,2.824450582064567,2.7298247035783447,2.7067298610784585,2.903643890029849,2.7330851881383156,2.7800774673709023,2.8261243609884232,2.7782295749049113
22,2.7650530250291725,2.761208234363221,2.772487949112544,2.684871537851267,2.779320349598942,2.9497702850501204,2.6796786707449147,2.7700981794869355,2.6965921755657063,2.7284500557342817
23,2.890082527159829,2.821902780352005,2.8443968697600193,2.7017668562862953,2.618916116568378,2.8635014359182516,2.6730000784165253,2.7632156570618305,2.756941370564364,2.6948909251808497
24,2.739975714429912,2.8188497355924116,2.864981343962584,2.708981146958996,2.7012011360863077,2.879051001997381,2.582491782691286,2.754755723248205,2.7276549771306033,2.913859702597952
25,2.8084821957775263,2.783725695323425,2.917970049564801,2.716526827321162,2.798191042129985,2.861362936404179,2.7212395294219185,2.644374471108244,2.843934958087077,2.8323758045850447
26,2.843218431153614,2.930543029569889,2.861639341946507,2.8340891593222546,2.7944331655844916,2.9619834373163267,2.7722578399654263,2.843072645118534,2.8698324317565067,2.7333017850281096
27,2.8001658088328485,2.9065061220545125,2.9382432167410544,2.76992708636956,2.795389606967672,2.766135411413628,2.702961607532007,2.6843899620349423,2.757777129362809,2.823371556829896
28,2.8330531828287366,2.8283434305714596,2.789947231494435,2.712056642978426,2.7976653439601473,2.8384468344668248,2.7129775239648417,2.857126946880836,2.7791645064349932,2.7690955572608003
29,2.823384334862758,2.7970385100041737,2.762425441640253,2.740474708989421,2.626060317844887,2.952118849492833,2.6084821766232067,2.7597325083659667,2.746937803660554,2.732076206566079
30,2.915443264495404,2.8445873738605023,2.757555205234527,2.7098624046407895,2.7047105439694934,2.8233977574051887,2.676301424174632,2.7306901309438985,2.790437500855682,2.882368745668763
31,2.7623400120070096,2.8910921108090735,2.7306917409869134,2.6760429982327705,2.770337946013477,2.8689936331606054,2.623744111230537,2.859260787658824,2.6764200516823955,2.7459268188687167
32,2.788189511580701,2.8125860696066693,2.8334346945089024,2.712087341250137,2.7541017141224042,2.8874934048414387,2.819327670905687,2.751339257576217,2.813980640058391,2.8070426994209527
33,2.784504082907286,2.893964815858086,2.785462514013088,2.806553246091717,2.8045582770219406,2.8145623334241137,2.704142726407259,2.7596494600876813,2.7387854636800686,2.825999183610065
34,2.855194415379845,2.9006040415345624,2.905169360783373,2.738205899603769,2.5946731764253457,2.7963921977972825,2.7580556642881966,2.817580334507443,2.7832410497312345,2.8637142674393603
