iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,1.659786321584181,1.4743281044392336,1.6740841439675762,1.9053389349192857,1.711835569088492,1.536655107252785,1.4081496075379971,1.649104737423776,1.8107038358473289,1.6036610213482363
1,1.6666605199520688,1.4830093119029089,1.6740841439675762,1.943785227694214,1.711835569088492,1.5511601919942353,1.4308506835932588,1.6800548691448318,1.8107038358473289,1.6075590479585795
2,1.6666605199520688,1.4830093119029089,1.7170491175433198,1.9691484612021617,1.740685658415675,1.5511601919942353,1.5321319439214618,1.6800548691448318,1.8107038358473289,1.6075590479585795
3,1.6928796323538067,1.485309802355038,1.7170491175433198,1.9856708701122285,1.7539468392839037,1.5829730435459068,1.5321319439214618,1.6800548691448318,1.8107038358473289,1.6075590479585795
4,1.8023261476588344,1.4858117401788062,1.7170491175433198,1.9856708701122285,1.77078620560708,1.5896512779604586,1.5357752524726795,1.6800548691448318,1.8190298253450532,1.6075590479585795
5,1.8023261476588344,1.5228959693246673,1.7170491175433198,2.026524555458722,1.77078620560708,1.6856011666871504,1.5869789723716838,1.7737148978825847,1.8190298253450532,1.6075590479585795
6,1.8367324517379737,1.5650742190564328,1.7170491175433198,2.026524555458722,1.77078620560708,1.6856011666871504,1.5869789723716838,1.7737148978825847,1.8304056735260432,1.6075590479585795
7,1.8598958815036417,1.5650742190564328,1.773083170197928,2.026524555458722,1.77078620560708,1.6865986766177339,1.6195469333290848,1.789324537298476,1.8304056735260432,1.6075590479585795
8,1.8837411133631092,1.5650742190564328,1.7784272452687673,2.026524555458722,1.77078620560708,1.6865986766177339,1.6540803136830249,1.789324537298476,1.8322788792500437,1.6381835656756085
9,1.9626025528209907,1.5650742190564328,1.8098824607873878,2.026524555458722,1.7903476768054525,1.6865986766177339,1.6540803136830249,1.789324537298476,1.8322788792500437,1.6650697283909561
10,2.010619116662923,1.5650742190564328,1.812034893162998,2.026524555458722,1.8166488165405599,1.6865986766177339,1.6540803136830249,1.8008825432151463,1.8821558324871175,1.6650697283909561
11,2.010619116662923,1.6217204567135237,1.812034893162998,2.026524555458722,1.8533978683750103,1.6865986766177339,1.6693020424359974,1.9526425538057726,1.8827604163691316,1.7805665617071393
12,2.010619116662923,1.6228486138263587,1.812034893162998,2.026524555458722,1.8533978683750103,1.7044740906885034,1.6693020424359974,2.0274141912315153,1.8827604163691316,1.7805665617071393
13,2.010619116662923,1.6366474386574428,1.8685030528606261,2.047160215991739,1.8708272417626033,1.7347576470940869,1.6693020424359974,2.0936162303154777,1.8827604163691316,1.7819652357344635
14,2.0391141504679493,1.6767803122215617,1.8803757892921777,2.075704170093972,1.8708272417626033,1.7347576470940869,1.6946533782900488,2.0936162303154777,1.8827604163691316,1.7819652357344635
15,2.0391141504679493,1.6767803122215617,1.8803757892921777,2.075704170093972,1.8829460905067696,1.7347576470940869,1.7016222567636108,2.174920411311863,1.8827604163691316,1.7819652357344635
16,2.0655717352682896,1.6767803122215617,1.8956203831841005,2.075704170093972,1.9791973044335802,1.7347576470940869,1.7016222567636108,2.174920411311863,1.8971064163358102,1.7819652357344635
