iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,1.659786321584181,1.4743281044392336,1.6740841439675762,1.9053389349192857,1.711835569088492,1.536655107252785,1.4081496075379971,1.649104737423776,1.8107038358473289,1.6036610213482363
1,1.793684912743281,1.889070595927143,1.7772872499384371,2.0289081833604667,1.8872712559685976,1.7934117270857928,1.5356822477386676,1.905044221062378,1.9870818218619193,1.8579042849560465
2,1.96800780542508,2.16398857916327,1.9878535273322546,2.234725114726249,2.1605242361353074,1.9776370965190506,1.5800928812232704,2.027702471142446,2.083986606424191,2.1726143376309506
3,2.2582810349945825,2.5000495265093883,2.2686724679181896,2.3806536624707535,2.4194049626084713,2.078299595857801,1.8780431502654549,2.2216953836147537,2.20525842190207,2.2918798842342287
4,2.3033732765962878,2.711082157792849,2.6374196367402187,2.5543823078782975,2.5718282876006144,2.2778932797660922,2.0138397661178393,2.4014926969620904,2.3411648025779224,2.3946419607604152
5,2.363093223133103,2.8260190869508155,2.695220823254945,2.651888374826476,2.7495411255429967,2.5350821757046864,2.191556387384522,2.7014858020452905,2.3856153439724763,2.459696271018313
6,2.409941350165394,2.85853341766593,2.730683669556662,2.726207360271669,2.8011563151485115,2.5494301090935725,2.2669295592155017,2.7446317555232937,2.454163405530588,2.5211561417684667
7,2.5033647143547784,2.867238603817235,2.8222687873074808,2.771838910428367,2.819798767786036,2.624248306915899,2.411442830950612,2.76431235275537,2.51005403893632,2.6375841620914233
8,2.546851814354891,2.9489722689069144,2.8920827237807694,2.775848106313918,2.8383052895908083,2.691418018507296,2.5649550306942173,2.7990219893039425,2.5704508311957,2.728346238738145
9,2.574154297507785,2.9632858961610307,2.9543169763231854,2.8407532554067765,2.8523096346970256,2.789051620685796,2.63086966218573,2.8278253524706454,2.5992869488484804,2.770184334951286
10,2.5847964957934284,2.9632858961610307,2.970234015169028,2.855555936464949,2.8566056064707186,2.8540611182044366,2.6848175341772857,2.8414527534603007,2.6646467842766635,2.8337313921817375
11,2.6509829579314523,2.9787943932725343,2.970234015169028,2.8656005457459455,2.885217984533985,2.8710059565486334,2.690199794610226,2.9056011868187106,2.7174424651403224,2.836210826006435
12,2.724081936203089,2.985493926432202,2.9789270908544245,2.8941319005453003,2.8954244659566983,2.905333150429824,2.7177064984275576,2.9110699667388427,2.744408480583631,2.85797642293968
13,2.782789260831213,3.0142390031043744,2.987509861389228,2.8941319005453003,2.910538566748433,2.9551972493105656,2.8174109612656233,2.914656010719454,2.7739815652316118,2.862307063687558
