iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,0.2811587841120785,0.1754447727886312,0.3094231223932853,0.18484765303951634,0.6503935057205283,0.34220770000819983,0.2354118454960106,0.2928965202596732,0.22400758561848075,0.16058131348374538
1,1.7813353007283812,1.8641898827390504,1.7191252325793354,1.9651158453099422,1.8627279557942924,1.7394692891626966,1.5135502732367185,1.8944666378781942,1.9571655344204821,1.8249253054323682
2,1.9389571705422517,2.1374908898560854,1.968939030728793,2.1836241652258357,2.1194504107553174,1.9418747555261096,1.5487188209145364,1.9909418456786254,2.032621023648566,2.1337961056233024
3,2.1557570353949167,2.4715754357990125,2.2104928316012824,2.274429710481729,2.3821868813043756,2.03297599866176,1.8383220949684986,2.1495141196180025,2.0687297365474486,2.21343026970463
4,2.212708081075741,2.650507365207723,2.563657707349571,2.465939591994813,2.502149795213529,2.1887643579460896,1.9724052171502364,2.325686152391463,2.2636314530847597,2.272868892148394
5,2.238539051623163,2.742191275342412,2.5404179809518057,2.4277255650490415,2.5889041755092195,2.474974639281407,2.162924501590341,2.5848817593690727,2.0791591819029427,2.2712876082406086
6,2.194761731536346,2.6826369857111807,2.525516699290521,2.488406695341437,2.5530421052495447,2.376509524678063,2.1599586538551128,2.654847707020959,2.2201261991462067,2.3337169306011836
7,2.277127775352203,2.710502968897762,2.6033624339229124,2.580778643007653,2.621441237323327,2.5174976722403932,2.3170833563533804,2.527089579144652,2.345480738092431,2.487190307797691
8,2.329505325377907,2.742350821810221,2.6868106740866313,2.4766462591399834,2.573705203388793,2.53909835919824,2.5207942234724547,2.5927412984942393,2.4077050823772153,2.530539469236178
9,2.2811398259649955,2.7355348953422776,2.716409846998931,2.6428083413834567,2.619109848275654,2.6711302116713513,2.524119418578647,2.6412999656927605,2.2416495386916298,2.526847867694467
10,2.3124497053688553,2.6238810002803175,2.700013429228882,2.6305208720695017,2.710492691707618,2.7380913401875215,2.5263207751403898,2.6703839747536398,2.3542320564976884,2.5797011958665355
11,2.467234338050219,2.6662765551033853,2.6578967518457395,2.4952774642311493,2.665743463586777,2.68765387093425,2.471952409802501,2.695957810801354,2.532781161237339,2.586023075402078
