iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,0.3003726986218296,0.14470037699703417,0.3408801346969496,0.19869199000157511,0.6869158060723779,0.38595819665097963,0.21962562945293926,0.3237267763130761,0.213545669345653,0.17647903243014862
1,0.97994404982932,0.971964687562342,1.3384381028590768,0.9103524027840072,1.335816919293361,1.2184033826995657,0.9607442979186533,0.8308786166999358,1.0654635933228889,1.2126779881421337
2,1.036998281779921,0.9884844003766483,1.1004451453666775,0.9545370134709166,1.2183176659811854,1.378013599266924,1.165991727972582,1.0181546877974132,0.8379119968651476,1.28162519165158
3,1.0835684803439602,1.0875435237624285,0.9125575167159831,0.9912936725082663,1.2221431386886286,1.4845226039082038,0.9948864854657697,1.1168048890936368,0.9925153449967201,1.309024331642242
4,1.0659069517317716,1.2266008206776962,1.5003644613780083,1.4426206214944177,1.083999299512925,1.3500616254908069,0.9363524198606559,1.2372175135212462,1.2118054118573889,1.4664309753318563
5,0.9510391556170987,1.395364474886572,1.2527117176728269,1.5056448216320355,1.5699906719967451,1.3390056671004453,1.3423090442046202,1.3900469718501203,1.272887026503041,1.3743137807657404
6,1.0927753574678223,0.9165004822568932,1.456565379658719,1.42197850033563,1.3436149346256323,1.4146243498647055,1.053063371350756,1.1672034837488858,1.252541168738791,1.6056751113517524
7,1.196655368959072,1.1915134222644141,1.4184207101013735,1.1603137442916538,1.3412590853247552,1.64591847899026,1.3350014011228026,1.3280184007934388,1.35778891272118,1.7569396285758485
8,1.1575865669810566,1.3323683888687439,1.4490997884991261,1.376778653613312,1.6402688611158405,1.6062833655406163,1.238874097843752,1.4155601460848999,1.3829090787184837,1.5186043108182465
9,1.30250293019615,1.2604040045929579,1.645455935188913,1.2223728896033763,1.802108011052059,1.6926721788190326,1.141881596035821,1.517911968088903,1.293175665576145,1.553875772162817
10,1.291272842049806,1.1411895885067271,1.4628806975278428,1.3075583418535945,1.8691847463891011,1.752126448436762,1.3545182931307016,1.48509303597066,1.5475245121839016,1.9483781167802219
11,1.4445550251839294,1.2306750794937318,1.4985606856644398,1.4125528004942733,2.02114411907395,1.6235468572502536,1.4083564016008852,1.213587690045077,1.4103091958748024,1.7540592521415639
12,1.548233749025439,1.41549433095356,1.546684486689203,1.6661366204388126,1.852504994475555,1.465183889637176,1.6192933338229571,1.667978279569435,1.4515494141620937,1.7157597238303746
13,1.5957371422980975,1.6393406331934268,1.5670794525543985,1.7006499133053783,2.1424197639145905,1.910364424896682,1.5487642578976861,1.4785155431166366,1.5565957327197126,1.6816859802450441
14,1.6913694775896668,1.3706601527609075,1.3942400537090534,1.3884419836837978,2.082131286504243,1.856241487977943,1.4866638266421233,1.356763688425767,1.4045468407233574,1.7998649996888312
15,1.6654051657221145,1.5252789287420205,1.6769376586961844,1.3008904594199167,1.8624305692664147,2.0619734574250654,1.6501709505736069,1.7194975318164196,1.5671734883598418,1.9060750748496726
