iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,1.249148036738966,1.4595731498873976,1.2609454664213295,1.4461150411474808,1.496088884299592,1.464976190256273,1.4974876076676118,1.5450042826582522,1.2812861380000757,1.3182249307852254
1,1.2569572641311542,2.081064944571744,1.5122826546043848,1.7909683292818332,1.5607495928908512,1.464976190256273,1.6164166263651647,1.5826501737082563,1.3056049405547072,1.3804527654748917
2,1.2569572641311542,2.1114176887963945,1.599714863655597,2.32360278807567,1.7853607132261282,1.7954110404682146,1.6164166263651647,1.8236233279629848,1.9898580277809002,1.9230252157724521
3,1.3724151830920692,2.185715188464612,1.6402185725051865,2.35775836066166,1.8404394790158851,1.7954110404682146,1.842954871952725,2.023177855339913,2.1281169825853326,1.9230252157724521
4,1.4595532279963432,2.185715188464612,1.8511597249111094,2.35775836066166,1.8968251571451102,1.7954110404682146,1.842954871952725,2.0492081171197327,2.1281169825853326,1.9626422252179347
5,1.4684385028764182,2.185715188464612,1.8511597249111094,2.3786618472374172,2.123942995712743,1.835840412495053,1.842954871952725,2.0492081171197327,2.1281169825853326,1.9626422252179347
6,1.4714451421116141,2.375336411364347,1.8511597249111094,2.3786618472374172,2.123942995712743,2.1326034483843426,2.1225156230171214,2.0492081171197327,2.1281169825853326,1.9626422252179347
7,1.5632529917859275,2.45520639609052,1.8511597249111094,2.3802903372851336,2.13459254524555,2.1326034483843426,2.1824836494489164,2.0912158454248186,2.2208365387365476,2.0570741745139003
8,1.6254834815922883,2.460259776564598,1.8511597249111094,2.419715705911115,2.1874495314336184,2.1326034483843426,2.2339416979077487,2.270591918011022,2.2208365387365476,2.0570741745139003
9,1.6254834815922883,2.460259776564598,1.8511597249111094,2.419715705911115,2.1874495314336184,2.1655067132241026,2.264352997685263,2.270591918011022,2.234477079900639,2.1038081285137213
10,1.7016127441889575,2.460259776564598,1.9051345603032108,2.419715705911115,2.2193162155931163,2.1655067132241026,2.264352997685263,2.356511949919869,2.238054179371807,2.127858748467364
11,1.7016127441889575,2.460259776564598,2.0611384122946403,2.419715705911115,2.268247824759748,2.173263196845647,2.3376892147309425,2.3928557711903564,2.238054179371807,2.312828570009626
12,1.7466479460550155,2.501063550253094,2.1147722509437723,2.42323214827623,2.3086440725857056,2.20115294095483,2.3520980631793615,2.3928557711903564,2.238054179371807,2.3839157924124326
13,1.8148540089214387,2.501063550253094,2.1194498096175605,2.42323214827623,2.3236616077124737,2.20115294095483,2.4314321297714927,2.403616328689024,2.238054179371807,2.3987172931754
14,1.8275211814435495,2.546405496403713,2.1548360743680233,2.42323214827623,2.3243996282056987,2.2743901293967816,2.4314321297714927,2.4125249836090834,2.238054179371807,2.400480890516249
15,1.9243062087088465,2.5559110389229462,2.1711790014204775,2.42323214827623,2.3338224951522664,2.2743901293967816,2.4507563076111456,2.4125249836090834,2.253171013557545,2.4176867257963086
16,1.9342577848309872,2.565823669308602,2.254402435231902,2.42323214827623,2.570060106875664,2.2743901293967816,2.459611197038954,2.4633395007534418,2.3650261746347065,2.6998338726997906
17,1.953545913112041,2.5994152155937194,2.2664574417065735,2.4330670776206063,2.570060106875664,2.287844630285025,2.503289525662502,2.5366739743863183,2.3650261746347065,2.6998338726997906
18,1.953545913112041,2.6546677365419002,2.2664574417065735,2.4330670776206063,2.6636360065369424,2.341636713040509,2.531731327615772,2.5393896681050814,2.3650261746347065,2.6998338726997906
19,1.9566149983899284,2.6546677365419002,2.279853600827547,2.4330670776206063,2.73331280131603,2.4111294974212925,2.531731327615772,2.5393896681050814,2.399624313355747,2.7153808293277075
20,2.0873976152777023,2.6546677365419002,2.279853600827547,2.4330670776206063,2.73331280131603,2.4111294974212925,2.531731327615772,2.5667069188186384,2.399624313355747,2.7576161253360065
21,2.1471386231643557,2.7100704891140404,2.2947666951515213,2.44227037096318,2.73331280131603,2.470788535109045,2.531731327615772,2.5667069188186384,2.409253892031739,2.7593515416840604
