iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,1.7841911834612076,1.4014040216302595,1.510253727895389,1.76497723401606,1.72000795874309,1.5309489678074164,1.2841110992571398,1.6582122973464646,1.7530270887752692,1.5744782763295657
1,1.7841911834612076,1.4044920239552625,1.510253727895389,1.76497723401606,1.72000795874309,1.5402435744349576,1.2841110992571398,1.6582122973464646,1.8446990190463446,1.5744782763295657
2,1.821619623061111,1.432092521398544,1.5524321326818362,1.7814773892489213,1.769185962165547,1.5402435744349576,1.2841110992571398,1.6738518354814294,1.8446990190463446,1.5744782763295657
3,1.8663991568968417,1.432092521398544,1.5547743001736665,1.7814773892489213,1.769185962165547,1.564154156707533,1.2841110992571398,1.6738518354814294,1.849194757903471,1.5744782763295657
4,1.8663991568968417,1.433535008771029,1.5547743001736665,1.7814773892489213,1.769185962165547,1.564154156707533,1.3552952647822938,1.6738518354814294,1.849194757903471,1.5744782763295657
5,1.8663991568968417,1.433535008771029,1.5547743001736665,1.8797466973970112,1.769185962165547,1.6270936463696848,1.3906857651511781,1.6738518354814294,1.849194757903471,1.646655102054994
6,1.8663991568968417,1.433535008771029,1.5547743001736665,1.9079537810353053,1.8298365024108296,1.6270936463696848,1.3971522371874525,1.7435160861493673,1.8750590757683794,1.729729452110782
7,1.8663991568968417,1.4409337261632233,1.5547743001736665,1.9079537810353053,1.8298365024108296,1.6467735249041406,1.4786737050648278,1.7435160861493673,1.9534293147492114,1.729729452110782
8,1.8663991568968417,1.4409337261632233,1.5547743001736665,1.9079537810353053,1.8298365024108296,1.6467735249041406,1.4786737050648278,1.7435160861493673,1.9677673089133947,1.729729452110782
9,1.8663991568968417,1.4409337261632233,1.5547743001736665,1.9460579648853504,1.8350797258880391,1.6467735249041406,1.4908668832193157,1.797143057219377,1.9677673089133947,1.7649879111039826
10,1.8663991568968417,1.4409337261632233,1.558961321735877,1.989062724352637,1.8350797258880391,1.6467735249041406,1.5372081902967176,1.797143057219377,2.0359676029478426,1.7649879111039826
11,1.8663991568968417,1.4896346510399898,1.558961321735877,2.053127411455491,1.8350797258880391,1.7348240452142916,1.5469592652761688,1.842515493755892,2.0359676029478426,1.7649879111039826
12,1.8663991568968417,1.4896346510399898,1.585392966541019,2.0893226885554936,1.9606828216811332,1.7348240452142916,1.5469592652761688,1.842515493755892,2.0359676029478426,1.7649879111039826
13,1.8736214431056555,1.5270409934696816,1.585392966541019,2.1557011829727855,1.9954199888913742,1.7348240452142916,1.5469592652761688,1.8512434070674821,2.0500532940360023,1.8295501830995418
14,1.9056308107357003,1.5533372221865989,1.6317601351454725,2.1557011829727855,1.9954794813299064,1.7599000898217319,1.6056073173307093,1.915734643007723,2.0500532940360023,1.8295501830995418
15,1.9056308107357003,1.6503424130391258,1.6317601351454725,2.1557011829727855,1.9954794813299064,1.7927385887783682,1.6352417600061204,1.915734643007723,2.1207019210410953,1.9528845601739209
