iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,1.7841911834612076,1.4014040216302595,1.510253727895389,1.76497723401606,1.72000795874309,1.5309489678074164,1.2841110992571398,1.6582122973464646,1.7530270887752692,1.5744782763295657
1,1.8854543625989781,1.5280587898835014,1.7300654066734489,1.9400826412943992,1.9091905459548142,1.5321720602850726,1.540700614753956,1.8234930826110154,1.799223604383378,1.9140056887457595
2,1.928298183262662,1.5927114604649804,1.8167814442449701,2.0491822601750203,2.04657973604995,1.5447500650667354,1.5569280500368063,1.880086234188883,1.9685511905450341,2.131727359652298
3,2.0129720174017747,1.6816708835572627,2.2335496957336307,2.1475581548544627,2.04657973604995,1.6085178495653905,1.5569280500368063,1.9377446968826613,2.090370986371757,2.335238584553515
4,2.0738732771369017,1.6816708835572627,2.405699212193332,2.2582567959706736,2.0806744293071713,1.6514099727461145,1.6223581503240303,1.9387802767642583,2.1708854098218313,2.3551930894860105
5,2.1403602120325056,1.837621201880975,2.415572862477159,2.2685153315638362,2.1502913107456285,1.8520167126682328,1.7266975368544792,2.097351781298235,2.208055480908257,2.4057993459755815
6,2.1403602120325056,1.9629544537537043,2.415572862477159,2.3589198272818312,2.16663340239098,2.063127031279712,1.7266975368544792,2.1079768292140075,2.208055480908257,2.4426995382031835
7,2.1957830321174674,2.148959479133022,2.4324702387524435,2.3674450047234776,2.208132587358926,2.232845926545143,1.76570435120293,2.2165199242445572,2.2532795886043324,2.466586325370152
8,2.1957830321174674,2.402317745652017,2.4356899635280724,2.3674450047234776,2.242537173261922,2.232845926545143,2.012212456919876,2.2905662495355825,2.288102201044878,2.5393763052096823
9,2.2307257315418525,2.417518658801325,2.447678023200632,2.472729797509582,2.361868963074206,2.2716454880827763,2.0291638575273248,2.457185154946802,2.3037207897621275,2.540499824534244
10,2.2307257315418525,2.5606821305463265,2.447678023200632,2.6714889272605755,2.45185189578865,2.3796675203573505,2.061025185294236,2.56261477974152,2.305033713282926,2.673103467945924
11,2.3296353818869817,2.5704949204219374,2.752126700472745,2.7744907198596565,2.4593572973953917,2.4852802251148853,2.1273692056896274,2.567594536572873,2.345948369425775,2.681995793148236
12,2.3338570536539684,2.677575143365881,2.8063273096708468,2.7744907198596565,2.6735891163101018,2.488792956203861,2.1273692056896274,2.676249850204697,2.5189361431527115,2.6965660875608046
13,2.6257517251544447,2.7902150877986722,2.82465677181345,2.778159151618361,2.688433176045225,2.488792956203861,2.1396735701469947,2.7011295906954134,2.657980630362059,2.7244221097034997
14,2.649716651735926,2.8180962019468043,2.82465677181345,2.778159151618361,2.7346893396204734,2.624559679159705,2.227603232184785,2.7764404854942066,2.6598599074136526,2.773404714244651
15,2.653862678566278,2.8180962019468043,2.8428034361930266,2.8094073276804887,2.7384756333485174,2.673465910294675,2.2693600699125938,2.8358572648144467,2.7268564799097295,2.877394747456318
16,2.7045447194288075,2.8196706122751656,2.983542204616137,2.8536883533838058,2.7745571990380347,2.7533514822470186,2.4889045878754823,2.932992920580078,2.87545651180966,2.885279371266159
17,2.826619515777703,2.8549103161957463,3.016448199311979,2.8536972633907496,2.802265284319871,2.817969213309784,2.7384221332114493,2.937321298430406,2.8758488044516843,2.9433484947474504
18,2.8454508547414594,2.860116345773352,3.016448199311979,2.8549823927727385,2.8035565406872713,2.819808705672651,2.755070231128829,2.9503741758088307,2.9065436629575796,2.961451724215377
19,2.8613814960441015,2.8911445966705616,3.070346191484983,2.876678725715161,2.837360207223356,2.9553597705632506,2.755070231128829,2.994804379930985,2.91046391674079,3.0549385899871773
20,2.9133652648734585,2.8955227414646267,3.070346191484983,2.906343299547905,2.906423317369103,2.9553597705632506,2.7613045953274042,3.019860092898012,2.960907376417052,3.069665918704114
21,2.961318533713336,2.9718992982591077,3.0851899033559533,2.9227665764439363,2.9457114290396587,2.96371345663098,2.770244679197246,3.034905339254997,2.9976396578637754,3.0701347473622835
22,2.961318533713336,2.9896856794176503,3.092284135427546,2.9677404514975843,3.002582355394472,3.0020539377582094,2.9142182655619213,3.053060266558352,3.0593711827640986,3.0701347473622835
23,3.030419711855874,2.993846435487185,3.1069933697921623,3.001220908077937,3.0446227243014103,3.0373113425509413,2.944813497302787,3.0925731996818713,3.0593711827640986,3.0959205055791506
