iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,0.3003726986218296,0.14470037699703417,0.3408801346969496,0.19869199000157511,0.6869158060723779,0.38595819665097963,0.21962562945293926,0.3237267763130761,0.213545669345653,0.17647903243014862
1,1.8555397839351198,1.3685422115817676,1.6436992977579306,1.8944101236795436,1.6813650286783735,1.1368047716760854,1.3459409839404535,1.4562300864015718,1.4035397102136495,1.892112802167299
2,1.1264716382174398,1.339944199372935,1.7500329166136006,1.9203788916596114,1.855009862326936,0.9996067897846498,1.133519713303572,1.5441743644625956,1.917979755755616,1.9448188794473575
3,1.4814524288722024,1.5630840354789184,2.206966672426905,1.8863622194019392,1.3302726439858565,1.3131886899954686,0.9687101963273257,1.7735024744907464,1.8596115607128938,2.28526489042396
4,1.957699374119885,1.347472760965098,2.3299820544016496,2.184696184224282,1.882198216335643,1.3403505418985866,1.4016701718889553,1.0378566251684367,2.0488458655141217,2.110055445187211
5,2.0357800982731593,1.7263452906698356,2.0884458826498578,1.9575518896833142,1.9677158617560182,1.718620923671807,1.6156884522234418,1.9729390158445634,1.8534216199473783,2.3288771876612566
6,1.422409523742858,1.889425978434982,1.8877482662844798,2.2471941389480183,1.5915769628755112,2.005439496616475,1.3192364179344018,1.4968396908981525,1.7187070042918422,2.2474672642336704
7,2.026909806645663,2.0890172565507887,2.2338099182202287,1.79550557348758,1.9695125620264369,2.159224246002151,1.4655187693794565,1.8896666747942934,2.1013635609449386,2.1709612380224157
8,1.0901616615980487,2.375288340827028,2.1247739545045876,1.9477061650659455,2.069331641112839,1.8055397171077026,1.9540212559798031,1.888755741761259,2.109689954959138,2.4271438822624654
9,1.9607733832127319,1.9299151840915867,2.106963456681024,2.2121252815519936,2.3456543443367877,2.090903787337555,1.5635708080317796,2.341086223081505,2.047051576541392,2.057150887053999
10,1.5228850138880219,2.454986664584921,1.806905494228122,2.6282848381937693,2.3837548669311355,2.3290393430261433,1.7894547565147094,2.4710381191168427,1.9459844780847244,2.6132149379948766
11,2.282856688770005,2.356618274831237,2.7206345416493845,2.62455162631914,1.953710199011717,2.403229424716651,1.9654130198028876,1.2954653431991296,2.2092606246758972,2.3226023157752964
12,1.8285185015974739,2.655594725960796,2.5042889353590856,2.3618722249018997,2.6043056310622044,2.202198092302683,1.7669327012424039,2.577135031357107,2.496823490955719,2.415538256593665
13,2.6159928456173867,2.7759349984342747,2.56125003662967,2.397419449918722,2.492026490167614,2.1127180576812448,1.9957154819018434,2.081584624084841,2.634349697685918,2.5356862164831933
