iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,1.7841911834612076,1.4014040216302595,1.510253727895389,1.76497723401606,1.72000795874309,1.5309489678074164,1.2841110992571398,1.6582122973464646,1.7530270887752692,1.5744782763295657
1,1.814829816622959,1.6456324674093121,1.5951876790995647,1.9453164433342214,1.916789877015837,1.6190116908777425,1.4676199717968188,1.9720040448533855,1.952442106447419,1.8108979927111868
2,1.8742862533687297,1.830386559565976,1.8642564403082655,1.9689282137153938,1.9848927983449456,1.7046476844456029,1.5380576150565406,1.9928438300628577,2.041046192861371,1.8505283253976907
3,1.9910765986452348,1.9229607010208023,1.9664305448125812,2.1032012177507067,2.042203625373129,1.8873614465598787,1.586958967896411,2.021183370549782,2.1545540563856536,1.8535688398589723
4,2.163532922537055,1.9354833164774639,2.0278392553040856,2.1151350032666114,2.1456725948452817,1.969694667675205,1.6173859935439232,2.1020930616619373,2.1727412352561584,1.8705020313372689
5,2.2197852378203202,1.9992167899360669,2.211170816281879,2.1456291222858495,2.233806252453313,1.9754370948274,1.7851748963769916,2.20125156592258,2.238666067027357,1.8787980232310795
6,2.2862467662533854,2.075881131467722,2.273699474485083,2.227332370313806,2.328927483789034,2.1560449047287706,1.870491432466864,2.3171274612591106,2.349774763345726,1.8976023424387924
7,2.4096783034197973,2.099405866157298,2.349553402487386,2.3609370731828965,2.3981959152281362,2.29337037735084,1.9469811345546402,2.356352623300028,2.3943550970585665,2.0455842898828553
8,2.5324599718836813,2.1849267506143235,2.4338835531542293,2.4174886903423376,2.517345329949375,2.3323743458187365,1.9734978251481532,2.478645988619693,2.433618557277075,2.1069966542581238
9,2.5848828486046935,2.2502398890116195,2.4742756927581917,2.4586189197865798,2.636289313732619,2.3917909878012145,2.0587467718064083,2.558655815550595,2.492468027130258,2.1362589279525865
10,2.5899705865863583,2.3330497252390163,2.4748365269770405,2.4586189197865798,2.672260378485664,2.473594862900925,2.1090849125815874,2.567622237176696,2.511026286578831,2.1675878511649174
11,2.6460182565040937,2.3706114201716613,2.5284014838813427,2.5205293042015953,2.716682619563536,2.477028539587873,2.253742532559459,2.6069777105770315,2.564396776846907,2.186671041773449
12,2.7255202081998444,2.5129932758815294,2.5516206508034722,2.528963968844468,2.7376351215219876,2.5499531103977526,2.306502592094868,2.6192768592636106,2.623480936902895,2.312970889777964
13,2.758512595094775,2.5870479211314956,2.5749012339094595,2.5557469272563997,2.7599708686751803,2.566953619862405,2.3352364612818617,2.6683499698891042,2.7506684389861826,2.314893053221526
14,2.7607643875630288,2.6534797923107996,2.6337140459995374,2.571543186836714,2.830330739949816,2.590693646278246,2.4554449438360324,2.7494723968862025,2.7590210049304726,2.347203783874701
