iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,0.3003726986218296,0.14470037699703417,0.3408801346969496,0.19869199000157511,0.6869158060723779,0.38595819665097963,0.21962562945293926,0.3237267763130761,0.213545669345653,0.17647903243014862
1,1.335202222658782,1.3259523723656694,1.240227065488257,1.3933757329673806,1.4312315236841608,1.1655720849680753,1.2524401855921856,1.6359262783026334,1.588704465545316,1.5204037609241672
2,1.3293834594611176,1.6522548043299166,1.5793023156198842,1.3219676876443431,1.594980072739593,1.2721808715004623,1.226941106309933,1.5655833609015644,1.5423544286827648,1.4386170461225725
3,1.4080556596819296,1.4537945664947833,1.581219379790522,1.8057356557218691,1.6917609822262847,1.631636442681148,1.0012099252376467,1.7187563515889006,1.7601901361807342,1.4709931855448475
4,1.6870588667082669,1.6317967101230364,1.5986067140100055,1.5547554036968174,1.8016424799237822,1.6515029210142864,1.1475227397763814,1.7615034481145089,1.77605071145272,1.4684309367364587
5,1.820487193662915,1.717803094070955,1.9471857602818072,1.7467604364740015,2.01507826853603,1.567172528058625,1.4781829480851552,1.9195095057582605,1.8011296741079728,1.5053561915285878
6,1.886786329638117,1.7956868234507097,1.999535258186231,1.7883138092617474,2.081550838516114,1.8454900909865914,1.6897572983654077,1.9609499307730243,2.117450252390853,1.535811785804222
7,2.056651502689084,1.599611804964839,1.9194854586774501,2.0121125471176264,2.043175292934815,2.0375759493257606,1.5218290739223805,1.9188098639164521,1.948869538854,1.745637258223832
8,2.1732870451148654,1.9359252842815797,2.1339312995227626,2.074151471224537,2.3394965347781977,2.0314582147500415,1.5492422035786988,2.3360933516747684,1.9561255912498359,1.6901072848817935
9,2.342938164687139,1.952651112364189,2.0408601555511154,2.0582835438404636,2.397622939312982,2.162497098670809,1.7170119706438127,2.3665495668281826,2.183426043775637,1.7399071472710639
10,2.412450916254482,2.0771540225504044,2.008379948328047,2.113937332626344,2.4136795114586587,2.2396081272442045,1.7980696746430178,2.222318730220298,2.1214420692918763,1.7783823061627997
11,2.441236251114507,2.121491763616012,2.2932110266409778,2.24883127358731,2.5045245233598736,2.04474366511489,1.8653690079009282,2.3682859317779372,2.2852046931539594,1.8122116635455374
12,2.398778972243547,2.2405120404803958,2.1739899864598327,2.131770200222682,2.448208182665831,2.291890483099726,2.112456622219654,2.287563479830824,2.242390671872158,1.9377624171467795
13,2.5309361398353145,2.327867692906728,2.3078713804956457,2.0945928845450132,2.453004039185733,2.3041115978996176,2.16776890771637,2.244554147643539,2.5520547622465504,1.9443577088498234
14,2.4844910558249853,2.3367378223547037,2.3001810147167037,2.163368474357845,2.6144557256743246,2.1856607357508553,2.2779746432275285,2.5113797942767384,2.501151032278544,2.1645161409452696
15,2.5978109882485105,2.525361753959534,2.3207445234786155,2.322570391228906,2.63435227198171,2.2512974317860275,2.39677778095432,2.523771298714496,2.4239171889799334,2.115093086587205
16,2.4666432716183704,2.4937761628325927,2.239805634844932,2.350986902383012,2.6564010961809807,2.2367885070466587,2.415855057305408,2.431081837856193,2.473280206381876,2.117409852458456
17,2.5945725276231775,2.460422902256364,2.4709564544562266,2.4485681388324663,2.719103375519222,2.406779992186788,2.3059345694926208,2.659571820258348,2.5002192868366597,2.3092601349086768
