iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,0.3003726986218296,0.14470037699703417,0.3408801346969496,0.19869199000157511,0.6869158060723779,0.38595819665097963,0.21962562945293926,0.3237267763130761,0.213545669345653,0.17647903243014862
1,0.4933186195856105,0.29937676319559703,0.2721018698573461,0.29027206891483526,0.14834060771801333,0.2542305402437804,0.24632168460162013,0.5317770512556828,0.39428470299457297,0.36049667364345095
2,0.24948382096877147,0.2697757621139626,0.2637154345157629,0.34833458387379546,0.33775987268605606,0.3695090929292732,0.15635706337183997,0.23853316346129566,0.5590491987825886,0.43367580857365295
3,0.37104094263823406,0.22351721298894067,0.30895071477231345,0.32351347100561045,0.19909641080672158,0.27182134610996483,0.3548520695501517,0.477226332008721,0.339463873944501,0.3199045403714005
4,0.3735055297718455,0.47258365791005996,0.20299479337014692,0.2780867523504157,0.24909184447121402,0.28351336579238795,0.45725982769706885,0.2744112866957886,0.2955722869391233,0.49212126581441107
5,0.24843831362284863,0.264464096344171,0.37512304220429066,0.3722565898559206,0.3639530640498414,0.13475512512215684,0.2352619927128921,0.42007490567044525,0.297331772711647,0.6441656367894775
6,0.37982867863939695,0.46395229622735495,0.38920853381357035,0.6465620707624482,0.42673979565412434,0.40162481971418496,0.4367764630112052,0.3667781532685088,0.3873141857194684,0.31595857550287454
7,0.2892717549801358,0.42007367107609506,0.29922893851722354,0.6102666987241263,0.3699954525802827,0.3672395830599788,0.22734893382566584,0.31255610557894153,0.48688736384025866,0.5660727733797419
8,0.29085039487315933,0.17651689756001165,0.29954888451261247,0.37398768730581244,0.36936676039541605,0.16369272989475647,0.3404517638961633,0.2640037836912359,0.447707977780617,0.44433961494051244
9,0.1913301184704121,0.2450053829552024,0.41227078189487154,0.553658687322581,0.27547839088897275,0.38682350939847326,0.5463249290814653,0.30344945797355094,0.5102373170729086,0.5744134181851974
10,0.18134757008512786,0.292275847973399,0.27985893466694445,0.4019577593500876,0.42009508556358505,0.2711868893456113,0.6051408056800072,0.44759844217746425,0.5414855183867309,0.44966614846261144
11,0.19031488064710916,0.5136527805948949,0.3625811735675762,0.23387971997221635,0.3577643844614711,0.3878983533549347,0.39951788751588546,0.3836086831959955,0.47633414374354055,0.3327013172485518
12,0.28739974566174875,0.2927160258428306,0.3511096240755285,0.5006151276096132,0.3506553510501319,0.2523049543232144,0.25746505574805745,0.4157533853936267,0.6743603112696547,0.37827444536003385
13,0.3511902534063249,0.3418375771606029,0.28153461335210733,0.2926782399656711,0.4025737491038974,0.30095785436704914,0.22137317179837263,0.2610833286392219,0.46397318760989703,0.7133568343243463
14,0.784786822384146,0.6104919808352534,0.2699463885783291,0.7033976741300098,0.4605624868854714,0.5645907027445651,0.419330102668922,0.4616895460339627,0.6477651250482035,0.5093837777463703
15,0.21597908832564877,0.354532381389745,0.23974796399631815,0.4965832608218715,0.5252580606946167,0.3091418989665068,0.24730939662029228,0.523348982844918,0.42870253689723614,0.5933191574209595
16,0.23692551725617228,0.33848748977335064,0.2137219155156947,0.579640247091135,0.7302464001395282,0.33902705454218085,0.4676053284572018,0.530606632454893,0.4625997847602282,0.5389705897781808
17,0.7034993937406265,0.6384449536740688,0.3503888331994705,0.6999261930821036,0.45354706331993355,0.2125650160389697,0.28896889020199523,0.7596824518330563,0.7205387553925406,0.5528804915544665
18,0.39396994329044754,0.24151977715391187,0.5315169042433474,0.5824365482875976,0.7120656625825598,0.5224405802117333,0.3497407625095904,0.42583302228548026,0.7343013251112253,0.6415923858653991
19,0.17750767845718546,0.4951267661020388,0.33835877964405514,0.677664595236843,0.4472161763474034,0.2425328580532734,0.2952358665073317,0.4393094228029376,0.5337590047116528,0.6310507956306433
20,0.5494967471115353,0.4772274986035143,0.1905489316996552,0.4045933019120235,0.38799557898539005,0.4184766648023282,0.513363030251302,0.47322031863853564,0.5861451143559857,0.5095962271009139
21,0.4193055703719817,0.44309188264788285,0.21222048613519529,0.47421360312986804,0.4528819103860507,0.33714273182348653,0.40790115643125635,0.4039266951025573,0.5825388168815224,0.6097015109137082
22,0.7081296247626272,0.49613348504256577,0.34926594525571997,0.6492098143473253,0.3821566877185492,0.4210559396108152,0.45104202233931057,0.6142586768486393,0.43532928241620034,0.24470892604123584
23,0.20187116742995975,0.4216174049273054,0.4456909225014692,0.9074643139793953,0.32128861799852837,0.4906269581765053,0.7099695814607626,0.6639331655492224,0.7841326574560221,0.5538054588952086
24,0.4583751228852107,0.47193377194827013,0.27205730006461804,0.8081001594018529,0.5640658078918884,0.35240631686438517,0.43603273460314756,1.0219412169909625,0.6380495297500083,0.6383053837843006
25,0.4563629976103661,0.39308990691458157,0.3729350752272012,0.6537458899378465,0.5551133913994574,0.42749983466214503,0.7305485527110465,0.568191333480988,0.49198693965442136,0.493205577413371
26,0.33550407039081404,0.4282290147587874,0.3340929472208938,0.7226326820974812,0.5271174519816348,0.595699859810669,0.39274284579589874,0.43470403127369756,0.38228587172836315,0.4924958902817788
27,0.54693020713266,0.6170752026634188,0.36589610933526817,0.9227222748505204,0.4792474699234964,0.8977734269485482,0.5735312439641193,0.6170708672242213,0.4771373845231873,0.47170697684178203
28,0.8103238916127802,0.435964585709248,0.6062734746997369,0.7308681714061436,0.5447633215591298,0.3544067202547259,0.5297339228690846,1.0325447716436456,0.6311368086892541,0.6741355443766359
29,0.45727935675984405,0.5976651373355171,0.45414097246934476,0.6345327557933096,0.31625730149559517,0.7381924909318534,0.4085900806672223,0.8521951844193827,1.150431563048398,0.7297235822005121
