iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,1.7841911834612076,1.4014040216302595,1.510253727895389,1.76497723401606,1.72000795874309,1.5309489678074164,1.2841110992571398,1.6582122973464646,1.7530270887752692,1.5744782763295657
1,1.8385737047843103,1.691576095377592,1.7363604385231428,1.8954919643271584,1.8962321576488885,1.7298088506893952,1.5214409734901004,1.8738905032480457,1.871977980146252,1.749234477955119
2,1.84400846223831,1.7105110678477602,1.7681449355189873,1.9086068534412508,1.9170049085207,1.7612570426373346,1.5388935586573047,1.8884901754651535,1.8867241173725664,1.7818039019776224
3,1.8488349375524475,1.7314714187978564,1.7988164096636283,1.9251734316600633,1.9357826863892842,1.7928858850282312,1.553942479945921,1.9032938156678845,1.9057671342112457,1.8137854837938667
4,1.8549668818993044,1.74856133076741,1.8293248941293085,1.9306234252284007,1.9498896427300207,1.8236851793972737,1.5682320591332433,1.9133797759380773,1.915402991116577,1.844132031604889
5,1.8587933468463762,1.769004639369427,1.8545430753087073,1.9334039805990897,1.9609612630611828,1.8521326420318964,1.580079625791647,1.927170106935229,1.9319329734661168,1.866920020431577
6,1.8608186309989336,1.7831921614324304,1.8811717724321544,1.94546757354908,1.9679468195448064,1.8743394063651486,1.5974740377520804,1.9346084069485594,1.9459654187120825,1.8865083508471703
7,1.8634285253713223,1.7940420832586605,1.9111013876802676,1.9682008990158741,1.9763047070884054,1.8937707275878743,1.60947161330657,1.9505720974024336,1.9653293584790745,1.9028568284611247
8,1.867056995416177,1.8116505287220532,1.9272287873778118,1.9824097557554423,1.980818349514242,1.916517187773655,1.6296478171749333,1.9568923128159497,1.9858729130356374,1.9179890908479653
9,1.872299938320642,1.8232608313720848,1.9734914703302164,2.0016084457891017,1.9932690393531982,1.9288617822246814,1.644628438135364,1.9761110452842778,2.0048771613487135,1.96334428416342
10,1.912028563264777,1.847655779626603,2.0088180574863914,2.0162867756824436,2.012755515966285,1.9720135941605514,1.6678145094652905,2.005857574352154,2.0402319491981533,2.0016189712362094
11,1.949400427213385,1.9083881665857043,2.0556634709562625,2.032034926609767,2.0366221391311132,1.999250522772022,1.7027030367442824,2.0348901106679937,2.064068214415685,2.032286763952147
12,1.9913611231337152,1.9840385908393774,2.0839919728659186,2.058206416819924,2.0753928100967514,2.0115069870658795,1.733334328852665,2.0958551311894373,2.075561385394572,2.062362964229492
13,2.0199673079614806,2.025173635701063,2.159481522888536,2.0803458134509674,2.1201259486180404,2.0224431203819213,1.7774475200622653,2.113186297146397,2.094185570078695,2.078819669359014
14,2.056260314299441,2.0525698015741116,2.2183140122915237,2.1331792743727496,2.1543877139576675,2.045340866543304,1.800727249255672,2.1257532303207807,2.1284509548940456,2.0965617125037563
15,2.072655803016192,2.082034569880091,2.257150356060859,2.1494826528814466,2.209563596550452,2.0665967196613737,1.82378129002357,2.1793790022477157,2.1458897164053874,2.1205787771902993
16,2.0900194029257255,2.0988721624580813,2.297404858485166,2.1602980963778413,2.2444304976870924,2.1293452608545715,1.8455817186556553,2.1984223253006543,2.1629242635687955,2.136620726264584
17,2.1039197133521883,2.110548911829659,2.3158278650761854,2.1771078381464797,2.281880434739672,2.1643324857043815,1.8579407231942615,2.246813433394294,2.2209768425101952,2.1577379565468107
18,2.116203967514666,2.1379980318971397,2.3286553827220073,2.1861646472692557,2.3066884810698145,2.1807062700751008,1.8730795339205986,2.2672428620069316,2.26135598596069,2.1774709226628346
19,2.167184177939426,2.148762584664275,2.351792449011948,2.218132763969881,2.3354767520433057,2.1968984555859166,1.9067573480834594,2.2797646059552106,2.2704220502232983,2.1880122901454993
20,2.1934305173139337,2.1644846642010434,2.3867688171334005,2.2481175989231197,2.3439366966440476,2.2199966325150156,1.9195900823573575,2.299300865844369,2.285455708896464,2.2385684421953504
21,2.2087046484632733,2.190307490744063,2.409910770840143,2.292646248843389,2.356440766487161,2.2604072005427405,1.9468261770324535,2.317742458710672,2.31289700271383,2.251283724382099
22,2.23587879899657,2.2037371391120137,2.4201120402426333,2.318186966318902,2.3879695024306695,2.275960614165778,1.9749298488067404,2.3464668404404394,2.3258040422087456,2.258777752103076
23,2.247867843723497,2.236074624874063,2.42795367252012,2.333437649890393,2.4111188642729706,2.282026864533135,2.0142544423441997,2.3543181144950682,2.330779414163408,2.2956447276690555
24,2.2676029587967546,2.283704195735673,2.458530053074985,2.3693105660018787,2.4398901316151775,2.295310488273335,2.0298734322427334,2.3707508737687,2.3718617964912925,2.33164113700526
25,2.26992022255052,2.3140093326670783,2.4818477889680457,2.3804490208231592,2.461718893497477,2.3022424655062603,2.050196151144564,2.3759414545005586,2.3786645364474897,2.3421261661022306
26,2.3094530871836962,2.339396167178532,2.4879645203253222,2.3931976792455267,2.5018128850526358,2.348474944995236,2.0843259890490398,2.385645517419537,2.403986266967929,2.3577367063035535
27,2.312064283325475,2.365052265229349,2.5149300977065714,2.3959131012881114,2.539368470568037,2.362615402565691,2.123393707907953,2.391823464021595,2.4244473282565338,2.378123446850532
