iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,0.3003726986218296,0.14470037699703417,0.3408801346969496,0.19869199000157511,0.6869158060723779,0.38595819665097963,0.21962562945293926,0.3237267763130761,0.213545669345653,0.17647903243014862
1,1.7965428188003922,1.6727825416971465,1.7262448534080843,1.8436649163702385,1.8683057336362705,1.7240046561343865,1.495584167754973,1.860849038214369,1.849262275280188,1.7319158973198459
2,1.7851875470809868,1.6862110045292562,1.7422047188125709,1.8463292561447928,1.8812894092447625,1.7501347063810286,1.5040435403835466,1.8683693935088077,1.8559638810713346,1.749936217496892
3,1.7716373938001184,1.7055386357315863,1.7678505956559993,1.8520466904760857,1.8792341495183804,1.7785025489329778,1.5061872387897457,1.872425414199649,1.8680085353508544,1.778096814384269
4,1.76246918370384,1.716607063773096,1.784068365868232,1.8524128379535802,1.8885025295679845,1.7984671034313786,1.5115434795405416,1.8556854330790853,1.8460517600024176,1.780457956029196
5,1.7476040301912081,1.727730568955268,1.8086375327321966,1.8364524012638455,1.8795006855502525,1.7999166117246281,1.5151935201063584,1.862920593479719,1.845383626051746,1.7880131603549063
6,1.7263271142649739,1.7283713840902757,1.8250853043456416,1.8396793699258893,1.848416970387389,1.8219472830965886,1.5193761285062801,1.851062666409098,1.8303267015093587,1.7973895370423874
7,1.736663729748934,1.7292626822138177,1.8405208992795785,1.8510723449807225,1.8763661581303477,1.8476953656595254,1.5260442722645609,1.8728430436621095,1.8875609106837778,1.8120495541466959
8,1.699972737667034,1.7394246561841316,1.8296731248449074,1.8781018360864672,1.8528325903209657,1.8783691568752665,1.558634423750076,1.8427779377016589,1.8916248334648045,1.7903938520035454
9,1.7666820616029741,1.7206240144302152,1.9214573335428662,1.855836940552514,1.9094321377070065,1.8627188915065234,1.5472495486486024,1.8734964905441227,1.872702768569777,1.8667757325679242
10,1.8426291339011884,1.7681315146942547,1.9457916301809326,1.9096039393229134,1.9043661666023493,1.9535903742411773,1.5789099035822367,1.9004480774834513,1.947933166655662,1.9028503481780454
11,1.8981081813234724,1.8391861398256415,1.9720495861382423,1.9417927733808884,1.964485546493871,1.9611566263707432,1.63233953457532,1.9953827667525075,1.9817985593158682,1.91683896564931
12,1.9358835110268768,1.9263011162861738,1.9942631959526667,1.9769971084183802,1.97236590208324,1.9567672344578182,1.6989545329709586,2.0826163968906637,2.007535635115883,1.986847332445722
13,1.9653590883843588,1.9732302447600525,2.1169146362985716,2.0360736843328113,2.05530831106143,1.9513221308018829,1.7340415795066741,2.070920320599275,2.0213918596921716,1.9803898227801573
14,2.02289576342417,2.0194624294003436,2.192455382501511,2.0881784258879104,2.055229500157015,1.9677193982163743,1.7848877138763979,2.039701260189145,2.057674013234586,1.9991864296956
15,2.0042720463766646,2.048161327028261,2.1824783807067565,2.10563194810372,2.1792248656240734,1.9404109766236166,1.7983843095677272,2.1368668262587835,2.0893343426712847,2.0308859415422518
16,2.0365772775357356,2.054902299175075,2.256747393947563,2.0838795168548403,2.211374879748372,2.11138678190539,1.8182667966003108,2.1124165089540563,2.0658528010197332,2.022023034686071
17,2.0671398807601924,2.049050516330932,2.2776671881728823,2.107464341623142,2.2468701867931307,2.1385814849233737,1.8329308900362828,2.2045159280122286,2.130632070872272,2.0866116858748813
