iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,0.7074293692495153,0.7141882078012437,0.7095017203588618,0.7139766621922102,0.7031624094044061,0.6996449105291657,0.7260305196441282,0.6983286105344493,0.7027295732515846,0.7163142206101731
1,0.7105123484691375,0.7166631852725366,0.7129416266480074,0.7209103387897539,0.7090327717515017,0.7138881347637066,0.7329697562898746,0.7132405359176279,0.7041148402570637,0.7283810059702671
2,0.7141041870878171,0.7243160828921057,0.7202159140285515,0.7230119140505299,0.7250755871233353,0.7182126920468463,0.7363083484246439,0.7270987024011608,0.7220893743281244,0.7307514716847362
3,0.7141041870878171,0.7243160828921057,0.733354474672113,0.72488646115878,0.7307395697135396,0.718405404930345,0.7398149099304185,0.7309207076683502,0.7259531948898046,0.7338951781807833
4,0.7176184328709422,0.726266203870874,0.7349938460863819,0.7250725526785895,0.7313516360541196,0.7206292670490659,0.7403172978323443,0.7335753102790945,0.7321024830130906,0.738233398581194
5,0.7187405947984257,0.7321750522519147,0.7359920436253842,0.72645523774791,0.7345948690319527,0.7253680663391843,0.7411714092381798,0.7335753102790945,0.7370883491073361,0.7423235356422685
6,0.7305278613559663,0.737936776923455,0.7373055585645264,0.731612063850627,0.7345948690319527,0.725758858530784,0.741712429009705,0.7351256978759938,0.7376512536950086,0.7439085818275071
7,0.7349719064401427,0.7395518666770428,0.7388962718296912,0.7323391228626938,0.7349267711735598,0.7336444325247733,0.7456797249062829,0.7361691694388459,0.738152597425284,0.7462873333356798
8,0.7359304429600566,0.7398528092372879,0.73914728170227,0.7327635260457177,0.7367400857203584,0.7336444325247733,0.7457770419780234,0.7393334844594163,0.7381685125446474,0.7468644506347708
9,0.7386280931497363,0.7399691840716777,0.7391517576574388,0.7330845277284933,0.7393913027982822,0.7347425511291932,0.7462163291156216,0.7396636736578269,0.738229833395781,0.7473596151742792
10,0.7386898947129388,0.7426970751976684,0.739512039701291,0.7333088667969181,0.7394249732457212,0.7363357723366145,0.7464239823954028,0.7397379442148562,0.7398742323051607,0.7474860055505691
11,0.73942661395587,0.7427066537417297,0.7421679693818196,0.7337469299980883,0.739842366521065,0.7382608365141011,0.7470336653325108,0.7397937215023447,0.7414227079428706,0.7494294015830839
12,0.7395455933946764,0.7427562781470123,0.7422176600561967,0.7398312981737898,0.7412874470021462,0.7382608365141011,0.7473148324412642,0.7397937215023447,0.74189411786505,0.7494606784616515
13,0.742245422895979,0.7454286772566041,0.7422919306132258,0.7409772196589925,0.7414714095555465,0.7392375587927892,0.7481981015361167,0.7402384809006599,0.7421433509450768,0.7495847394748578
14,0.7473707830136738,0.7454495001784764,0.7423029298982723,0.7415062671507504,0.7417064728182245,0.7413318344906246,0.751450338860374,0.7404154757365753,0.7430713854606782,0.7495847394748578
15,0.7473811944746099,0.7482377952468915,0.7426342886825118,0.7418876594120212,0.7420152185349661,0.7417066470843279,0.751450338860374,0.7404780294937104,0.7431027171468598,0.7496177373299973
16,0.7483936067156847,0.7483226758834963,0.7465536662532548,0.7424037279083853,0.7420152185349661,0.7431210299770474,0.7515511346163423,0.7406584008464956,0.7431865891434071,0.7505378352267151
17,0.7485865969735892,0.7483539102663049,0.7472033833824399,0.7425201027427748,0.7453535391211255,0.7431768574329902,0.7534199098995074,0.7407009241902452,0.7446224508444095,0.7508314284323512
18,0.7488620618052757,0.7485834231407366,0.7489765278179741,0.7430722499621338,0.747494343825732,0.7432458229502317,0.7539891798547497,0.7411326755461023,0.7446224508444095,0.7516088498278651
19,0.7488749093308423,0.7490219750508198,0.7510660509137016,0.743581815705185,0.747714167906339,0.7440608623169951,0.7539891798547497,0.74119014681047,0.7446224508444095,0.7518439437599862
20,0.7499105378483221,0.7491770513173276,0.7510660509137016,0.7438724813756501,0.7478116110941303,0.7443839351833514,0.7540512103613529,0.7448019818648541,0.7447464003721618,0.7521085409411777
21,0.749926176287606,0.7492472683552514,0.7511174410159678,0.7439081464076223,0.7478380402634114,0.7443839351833514,0.7540512103613529,0.7448019818648541,0.7455446405323591,0.752156286299268
22,0.749926176287606,0.7492680912771237,0.7511481014415345,0.7440043326241376,0.7480509157855454,0.7444018390040268,0.7542229337072021,0.7451179316414777,0.7462173802188106,0.7522307229071916
23,0.749936587748542,0.7492680912771237,0.7513381361439895,0.7450561438557359,0.7481121688392396,0.7444018390040268,0.7542229337072021,0.7456816973776571,0.7465180048499888,0.7530592657548079
24,0.7505405473125414,0.7514247171480054,0.7521337458757473,0.7450561438557359,0.7484982119860387,0.7444018390040268,0.7544494758689365,0.7459120572755897,0.7467517109194451,0.7532824551309936
25,0.750715336945459,0.7519746814003291,0.7525445166431503,0.7450561438557359,0.748510606938814,0.7444018390040268,0.7545301155275206,0.7461738697764233,0.7467517109194451,0.7532824551309936
26,0.7508285286109277,0.7523698377273258,0.7527300389489114,0.7452229965289131,0.7487150097759255,0.7444018390040268,0.7552110343825491,0.7461738697764233,0.7469586074711693,0.753920413663689
27,0.750956016089331,0.752482964060531,0.7539183513944452,0.745578021955048,0.7487677834937237,0.7534126605722713,0.7553798248767074,0.7461738697764233,0.7474254509724955,0.7551636967646336
28,0.7510029314071822,0.7525918983300114,0.7539183513944452,0.7456400524616511,0.7488558845632707,0.7535377680865414,0.7554170431806694,0.7461895082157073,0.7474254509724955,0.7551636967646336
29,0.7512530155701217,0.7526229135833129,0.7541046527798211,0.7483078779016527,0.7500022882098418,0.7536147326761882,0.7560039694100812,0.7461975574123975,0.747550194802131,0.7552979390544569
30,0.7517284433320499,0.7526229135833129,0.7541046527798211,0.7483946425710793,0.7500022882098418,0.7536873430451725,0.7560039694100812,0.7461975574123975,0.7475758898532642,0.7553669045716982
31,0.7517284433320499,0.7526229135833129,0.7541852199728601,0.7485041116460656,0.750274101544868,0.754310786763951,0.7566860490730037,0.7461975574123975,0.7477948280032368,0.7556342127780601
32,0.7523791783527495,0.7527812260862665,0.7541963542184595,0.7488697739014802,0.7502875294103744,0.7578707476741842,0.7571100174167008,0.7463402275775847,0.7479461666311497,0.7560564345191674
33,0.7523791783527495,0.7528228719300112,0.756137766781623,0.7488945861041215,0.7502875294103744,0.7578707476741842,0.7584291181351988,0.7463402275775847,0.748412511579931,0.7560668459801035
34,0.7524260936706009,0.7528493971289502,0.756137766781623,0.7490371504808478,0.7505061455924794,0.7581799000253879,0.7585066306609873,0.7463402275775847,0.748412511579931,0.7568685284721909
35,0.7524260936706009,0.7529701350793028,0.7563018678372891,0.749841573249644,0.750589841608549,0.7581799000253879,0.7599531688509159,0.7463402275775847,0.7491536039847915,0.7569889444546758
36,0.7524260936706009,0.7529701350793028,0.7563018678372891,0.749841573249644,0.7509237736553502,0.7610070720407107,0.7605005142258475,0.7463402275775847,0.7496989411340305,0.75776559658613
37,0.7524260936706009,0.7529701350793028,0.7563018678372891,0.7500276706771206,0.7510488811696202,0.7610070720407107,0.760885489202474,0.7463402275775847,0.7497456341044036,0.7577966118394315
38,0.7524260936706009,0.7529701350793028,0.756329703451287,0.7500276706771206,0.7510488811696202,0.7622625122817553,0.7608907942422618,0.7463402275775847,0.7519124932585586,0.7577966118394315
39,0.7524452507587233,0.7529701350793028,0.7563352705740866,0.7501527781913907,0.7510488811696202,0.7626324762503465,0.7611525560738965,0.7463402275775847,0.7522077384449111,0.7589758191545416
40,0.7524452507587233,0.7538274719904404,0.7563352705740866,0.7536941587708837,0.7510488811696202,0.7633950332667948,0.7611525560738965,0.7464930476537763,0.7532784765392425,0.7589758191545416
41,0.7524452507587233,0.7538274719904404,0.7563352705740866,0.7537047688504593,0.751140750985628,0.7634183797519815,0.7611525560738965,0.7464930476537763,0.7532784765392425,0.7596551867603529
42,0.7524452507587233,0.7538378834513766,0.7563352705740866,0.7537047688504593,0.751140750985628,0.7646056265849578,0.7611711652258775,0.7464930476537763,0.7540265775725392,0.7596551867603529
43,0.7524452507587233,0.7538378834513766,0.7567425599266092,0.7541670935610333,0.751140750985628,0.7646056265849578,0.7611711652258775,0.7465870427123218,0.7540265775725392,0.759967951104173
44,0.7524452507587233,0.7541169123118042,0.7567425599266092,0.7541670935610333,0.7514213805862705,0.7647079217157094,0.7611711652258775,0.7465870427123218,0.7543661787645399,0.759967951104173
45,0.7524452507587233,0.7545486075525846,0.7567425599266092,0.7548270506638215,0.7514213805862705,0.7647079217157094,0.7618444687414837,0.7465870427123218,0.755487630498457,0.7601031947171845
46,0.7524452507587233,0.7545486075525846,0.7567425599266092,0.7552375596950204,0.7514213805862705,0.7647079217157094,0.7618444687414837,0.7465870427123218,0.755487630498457,0.7601031947171845
47,0.7524452507587233,0.7545486075525846,0.7567425599266092,0.7553157518914391,0.7514213805862705,0.7647079217157094,0.7622954394283891,0.7466026811516057,0.755487630498457,0.7601031947171845
48,0.7524452507587233,0.7545486075525846,0.7567536941722083,0.7553157518914391,0.7516033729234353,0.764999442621923,0.7622954394283891,0.7466026811516057,0.7558369335297523,0.7606362310369633
49,0.7524452507587233,0.7545486075525846,0.7567536941722083,0.7553157518914391,0.7516033729234353,0.764999442621923,0.7622954394283891,0.7466026811516057,0.7558560906178751,0.7606574511961145
50,0.7524452507587233,0.7545486075525846,0.7567536941722083,0.7553157518914391,0.7516033729234353,0.7650410884656678,0.7624256332311641,0.7466026811516057,0.755912434994706,0.7606574511961145
