iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,0.7074293692495153,0.7141882078012437,0.7095017203588618,0.7139766621922102,0.7031624094044061,0.6996449105291657,0.7260305196441282,0.6983286105344493,0.7027295732515846,0.7163142206101731
1,0.7221166566562511,0.7246690198185903,0.7240748803567258,0.7158691118591747,0.7192620536051871,0.7199439245600074,0.7432206358916286,0.7237697665875058,0.7139582257261388,0.7343697263484117
2,0.723160953558948,0.7268567669790953,0.7247022746374945,0.7204585683617653,0.7210266627751925,0.7200308334642022,0.7463318424260479,0.7258494775248365,0.719267115168688,0.7370492863507629
3,0.7263136110995138,0.7277369636972921,0.7270480822483862,0.7246003433791673,0.7229522063312759,0.72236366444487,0.7498111005253065,0.7276171190375684,0.7235122425871504,0.7397282304091547
4,0.7326100831470947,0.7277676241228587,0.7286060261345185,0.7260096092890231,0.7321933469763875,0.7239401845329836,0.7499316760058449,0.7348877204494287,0.7295745259533564,0.7423257052454962
5,0.7333641817500905,0.731228132183728,0.7325800766232505,0.72773473664759,0.7332229313300291,0.7254615221028957,0.7507196556883563,0.7355308582571218,0.736462994912609,0.742906701229235
6,0.7334515477098668,0.7319988182692565,0.7326188976292969,0.7287482458482836,0.7341093756880614,0.729299354949733,0.750859473311203,0.7369563996961447,0.7369480302010302,0.7433157873808448
7,0.7340109285260046,0.7332209778396112,0.7333189944673248,0.7316581231538895,0.7351109495899072,0.736312857593912,0.7579771304954954,0.7369787794719888,0.7371818493586132,0.7440335575639674
8,0.7357327991387451,0.7346085584494538,0.7370720309664749,0.7330640598635019,0.7371396727109133,0.7399300334393576,0.7585006878048384,0.7383871009502055,0.7372444751179082,0.746212345139316
9,0.7360222895243242,0.7346375474965383,0.7370837042090683,0.7441302424459857,0.7371396727109133,0.7405554678265756,0.7585068852812261,0.7414485063978357,0.7375430105668248,0.7467858746501486
10,0.7360838663589339,0.7352211018731961,0.7383140122047895,0.7474274491809643,0.7375152473906146,0.7405554678265756,0.7592621890002755,0.7426967787767855,0.7375788182081755,0.747241303738
11,0.7391460287084514,0.7354134743062264,0.7386374957032491,0.7478090113362843,0.7383490848612548,0.741739575276619,0.7596650115508783,0.7428603010464746,0.737920909067508,0.7478854247013051
12,0.7414049472054307,0.7362080127268883,0.7386374957032491,0.747899197012677,0.7403180102791609,0.7419556312609606,0.7596650115508783,0.7437233851947138,0.7382528007671462,0.747949662329138
13,0.7424400067404949,0.7366058907109733,0.7402639671254742,0.7479730071359664,0.7405189079549253,0.7426208521407972,0.7600430655393683,0.7441154372307113,0.7389807701158052,0.7504418956828072
14,0.7424400067404949,0.740996258809732,0.741300169753122,0.7481559130749493,0.7466877435474836,0.742779098506367,0.7605084632519471,0.7441154372307113,0.7393103957896041,0.7505255916988769
15,0.7437194742301824,0.7432515260943933,0.741300169753122,0.7492086226955007,0.7486305197050067,0.7444336166370509,0.7608256271023163,0.7467147429757726,0.7394198648645905,0.7523437556189284
16,0.7444868599248453,0.7437234201656548,0.741374835969424,0.7497610662948635,0.7494886098906832,0.747000450667847,0.7608256271023163,0.7467147429757726,0.7401318721006835,0.7527301170600565
17,0.7461385671805032,0.7461914609365259,0.7417552407649267,0.7498895415505292,0.7499153217827912,0.7471590613765696,0.7609222174625984,0.7467147429757726,0.7406764336593104,0.7527301170600565
18,0.7465849459328746,0.7466055359633966,0.7417552407649267,0.7511399937824417,0.7499153217827912,0.7472088115758357,0.7610921999032899,0.7468027372561444,0.7438121043177051,0.7527589729250113
19,0.7472065032507046,0.7502616266582559,0.7421514787091149,0.7513494032477496,0.7512133122433432,0.7472141166156234,0.7611018185249416,0.7468900630139682,0.7439770935934021,0.7528332434820404
20,0.7472226016440849,0.7509428696768455,0.7421514787091149,0.7513812334864763,0.7532643700477745,0.7487642243109365,0.7613586795120171,0.7480567315150194,0.7450936427122589,0.7560369409860392
21,0.7472350077454055,0.7512708708116267,0.7424905065945446,0.7516626102798569,0.7532643700477745,0.7488295898829358,0.7613791197957284,0.7481807925282256,0.7451591370306269,0.7560369409860392
22,0.7472752913419249,0.7534419303400066,0.7424905065945446,0.7544716236296449,0.7534413648836897,0.7488625877380753,0.7613791197957284,0.7483457818039226,0.7451591370306269,0.7562698670223174
23,0.74880014076035,0.7538269053166332,0.7424905065945446,0.7548168918717998,0.753487862670395,0.7488625877380753,0.7613791197957284,0.7484574367158083,0.7458463033318629,0.75857060665241
24,0.74880014076035,0.753946978233641,0.7425779055617362,0.7552408602154966,0.7536638512311385,0.7489771138083735,0.7638234664063361,0.7485104871136864,0.7459670412822154,0.7590204393946165
25,0.7488806327272516,0.753946978233641,0.7426151037911005,0.7552408602154966,0.7536638512311385,0.7492433845270142,0.7640530289534276,0.7525663726114864,0.7460932095518661,0.7597793900628231
26,0.7493020886659492,0.7541779632196168,0.7429117672002866,0.7553813758102975,0.7536638512311385,0.7493959537766794,0.7660962509714565,0.754488786380996,0.7460932095518661,0.7634145243289034
27,0.7494198407173137,0.7545409396261505,0.7429117672002866,0.7553813758102975,0.7537311815826991,0.7494861394530722,0.7663097665047114,0.7545915665855285,0.7460932095518661,0.7635425681532942
28,0.7494198407173137,0.7545674648250894,0.743558014457493,0.7553813758102975,0.7538266722988796,0.7495751405089295,0.7664659384187544,0.7546138630877882,0.7460932095518661,0.7635425681532942
29,0.7495808246511172,0.7548243439612791,0.743558014457493,0.7553813758102975,0.7538266722988796,0.7495751405089295,0.766614811634602,0.7546722185254541,0.7460932095518661,0.7639352109007463
30,0.7495808246511172,0.7548243439612791,0.7439801928982474,0.7569415943616769,0.7538266722988796,0.7506514330949294,0.7667579695455361,0.7548520838833861,0.7460932095518661,0.7639352109007463
31,0.7505759544613612,0.7548573418164183,0.7439801928982474,0.7569824749290992,0.7539327730946355,0.7506514330949294,0.7697140087386651,0.755057019094924,0.7462167611363978,0.7640375060314981
32,0.750755986190971,0.7548573418164183,0.7439801928982474,0.7571717571042855,0.7544599954778416,0.7538855695147176,0.7697750179536837,0.7556329036790167,0.7462167611363978,0.7640583289533706
33,0.7512036790112274,0.7549316123734474,0.7439801928982474,0.7583602333789687,0.7544599954778416,0.7538855695147176,0.7697936103828467,0.7556329036790167,0.7462167611363978,0.764286580988154
34,0.7513161005716387,0.7549316123734474,0.7439801928982474,0.758882388274447,0.7544902109777076,0.7538855695147176,0.7697936103828467,0.7556329036790167,0.7463098068963026,0.764286580988154
35,0.7513408904771891,0.7587179785361604,0.7439801928982474,0.7594966644696828,0.7546663118835266,0.7538855695147176,0.7697936103828467,0.756063814339341,0.7463098068963026,0.7643590237583655
36,0.7513408904771891,0.7587179785361604,0.7442261149827145,0.7595144850167735,0.7546663118835266,0.7550685933873967,0.7697936103828467,0.7562976060527996,0.7463098068963026,0.7643590237583655
37,0.7513511106190447,0.7594607336862634,0.7451726573514917,0.7599571908347329,0.75468222700289,0.7554791024185953,0.7697936103828467,0.7564649980849389,0.746396649605547,0.7643590237583655
38,0.7514720048644786,0.7594607336862634,0.7451726573514917,0.7599571908347329,0.75468222700289,0.7557269647108386,0.7697936103828467,0.7564824488737145,0.7464490019718739,0.764452854394068
39,0.7514720048644786,0.7594607336862634,0.7451726573514917,0.7599571908347329,0.75468222700289,0.7559704864961315,0.7697936103828467,0.7564824488737145,0.7474595402278482,0.7652777146342541
40,0.7515197502225689,0.7594607336862634,0.7451726573514917,0.760049172111433,0.7548217203630061,0.7559704864961315,0.7699119097696385,0.7564824488737145,0.7474595402278482,0.7652953348481634
41,0.7515197502225689,0.7594607336862634,0.745271714111015,0.7601608726714094,0.7548217203630061,0.7559704864961315,0.7699119097696385,0.7565382763296573,0.7474595402278482,0.7652953348481634
42,0.7518225540697304,0.7595336139128169,0.7507628137147738,0.7601608726714094,0.754933062818998,0.7560076847254958,0.7699119097696385,0.7567754685587446,0.7511882978586021,0.7652953348481634
43,0.7518736547790084,0.7595336139128169,0.7522082925841878,0.7605874084297826,0.754933062818998,0.7560076847254958,0.7700651664746194,0.7567754685587446,0.75132028927916,0.7652953348481634
44,0.7518736547790084,0.7595336139128169,0.7522082925841878,0.7605874084297826,0.754933062818998,0.7572274829896292,0.7701367074676084,0.7567754685587446,0.75132028927916,0.7652953348481634
45,0.7550147967586259,0.7595336139128169,0.7522261131312785,0.7606093022447797,0.7549609614910212,0.7579948161973618,0.7701367074676084,0.7567754685587446,0.75132028927916,0.7652953348481634
46,0.7552902018976039,0.7595336139128169,0.7522422115246588,0.7606093022447797,0.7549609614910212,0.7579948161973618,0.7702458646648883,0.7568250929640271,0.75132028927916,0.7652953348481634
47,0.7552902018976039,0.7595336139128169,0.7522670237273,0.7606093022447797,0.7549980967695358,0.7579948161973618,0.7702458646648883,0.7568250929640271,0.7513892547964012,0.7659274380748028
48,0.7554535550255802,0.7595336139128169,0.7524360568577936,0.7606093022447797,0.7549980967695358,0.7581708047581055,0.7702458646648883,0.7568250929640271,0.7514112533664942,0.7659274380748028
49,0.7554535550255802,0.7597458155043287,0.7524360568577936,0.7608361624988632,0.7549980967695358,0.7581708047581055,0.7702458646648883,0.7568250929640271,0.7514112533664942,0.7659274380748028
50,0.7554535550255802,0.7597458155043287,0.7524360568577936,0.7608795838534854,0.7550662690097996,0.7581708047581055,0.7702841788411333,0.7568250929640271,0.7549397216904717,0.7659274380748028
