iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-39.474807440433864,-39.13721988770196,-36.045694163546074,-34.56106009988565,-38.59818404641773,-35.96764368178242,-41.56518383228036,-42.410214668404976,-34.77299797770875,-36.46809005915157
1,-31.116355752531444,-28.7337207482555,-19.847432734937357,-22.897761922754018,-34.07412596773801,-27.467529909332796,-36.55383418093898,-24.055400289913088,-21.251874781391148,-27.702781125423957
2,-12.757997316591224,-16.99598547491182,-10.254333325779667,-16.347873723112865,-26.751549398486844,-16.076812431186397,-16.375501439982564,-11.903375049989657,-14.588114257903433,-14.443710901886254
3,-6.844943346988783,-9.457829380903423,-9.193861780403568,-8.610398149845294,-15.398399453381252,-8.879932380309764,-7.729843747657785,-4.832259006086808,-12.376020709891941,-7.4919817129454085
4,-6.58159842398928,-6.623589149777388,-6.35441517582992,-6.631974536777637,-6.131522039354308,-6.939793123455803,-5.584373665753643,-4.715910881995514,-8.77171124700066,-4.623269783735514
5,-5.872495890754854,-5.597229010639416,-6.272582060031258,-5.661511849134196,-3.780952359947671,-6.3196697485050475,-4.837162184051227,-4.7048020431381,-5.636449272711353,-4.317838823753106
6,-5.4511927900289425,-5.5434807590636055,-6.209106624975005,-5.430215268253888,-3.6305264918335127,-5.642982045251715,-4.217151325916244,-4.563811808210213,-5.080155214124183,-4.029097205257594
7,-4.782481218471601,-4.643173804034087,-5.22937638951173,-4.818675851337956,-3.4280345020690364,-5.444584115189109,-4.1761861024294715,-4.220771677538329,-4.131720753143382,-3.361177105190081
8,-4.6508528435411804,-4.568364738925749,-4.968412287139764,-4.713869940402776,-3.40431364380923,-5.054331313852497,-4.073517759784125,-3.747180032480486,-3.5823058797009866,-3.1819073568251746
9,-4.54631827879387,-3.6687867292577767,-4.48789742198575,-4.352966717949856,-2.9273659257594593,-4.890607728974862,-3.751518181663097,-3.7325974846237453,-3.2339269610936427,-2.8587496817479634
10,-4.169762239820113,-3.6244708900314735,-3.7159399342952244,-3.826904913162855,-2.9273659257594593,-4.713988159345482,-3.6556500323083694,-3.304093603608428,-3.1348295453768733,-2.8109999701468205
