iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-126.00706028723027,-118.59979185019131,-132.06594099730972,-133.62757543659205,-105.6613795771429,-127.86921091676354,-120.45795772111148,-135.0030646664742,-104.1914202440166,-115.33791644346115
1,-40.45553856367298,-28.978727082649506,-20.901617339274566,-29.516644474539646,-41.26651591125501,-33.359893435872735,-42.86220003839521,-24.925564483290852,-26.727206858397317,-37.97569820676381
2,-16.463795354275184,-18.20589417713514,-12.086043028953807,-30.916675875692874,-33.12212978275313,-24.69074535571727,-19.69712808623907,-14.985460354536755,-16.78494315355794,-20.82484447039694
3,-9.569790869565413,-12.901222459483677,-11.860198545817017,-14.195729610611718,-20.531800153740463,-11.582746745871702,-9.300890235271368,-5.961183043221084,-20.702050737181665,-11.231826987297286
4,-12.376551225270575,-9.364220571707637,-10.421622495230656,-10.470618213687182,-7.863537713208984,-10.32925132489684,-9.934876146528978,-9.204222413004647,-12.646281067895053,-9.316285131281862
5,-13.603442109021449,-10.612898343949567,-11.557437676862897,-11.488261481098391,-6.877387389818157,-13.114682943617073,-8.714299806151349,-11.068992403484877,-9.68164174305446,-10.095342566378445
6,-9.86482120669444,-11.770985772565266,-11.026033155014739,-12.132917395278113,-8.989510354131092,-11.752491861716733,-8.581903310403103,-8.322813650169035,-13.613409920656583,-8.397789259548073
7,-10.149088633628828,-8.325565977710088,-10.221002652970647,-6.868522049568733,-8.054526460814747,-9.551132229953833,-7.826205047127939,-7.206535532748218,-8.182308772253611,-6.668560152681055
8,-10.878267076568967,-9.15056372716178,-9.041429982244882,-8.296272802305076,-7.317234849302729,-8.510493303876862,-8.593762899053353,-6.571880559304628,-7.530894962792488,-7.421029126475268
9,-9.783319022791058,-7.1363049304979675,-9.150733302015897,-8.350474931054695,-6.4565444996265065,-11.17236124727822,-6.899933977259851,-7.524273315648214,-5.964089262113874,-7.484676868225047
10,-8.870899746294654,-8.425662863012533,-6.582588106674509,-8.757349915244072,-7.099782535226429,-7.5958955396860235,-8.767926340549405,-5.718209662526279,-5.997124480423688,-5.0929987670485675
11,-7.190565672870065,-6.576233443028671,-6.857751063399901,-9.04829402954115,-5.866041634222547,-10.60026390517388,-5.373076396776638,-4.688354450543168,-7.65020298698545,-4.635542664644049
12,-5.854832193343201,-6.3907961382113525,-6.742042040972459,-7.138515157683472,-4.971433156425444,-7.395034932443769,-5.94114772100761,-6.3129951390998755,-6.758830264930151,-5.981306172219032
13,-7.884057877184517,-5.4123289826481535,-5.927175521739159,-5.28699388340893,-5.811505686199862,-8.136860409027879,-6.4963707441772645,-5.531361563663215,-4.502019168214817,-6.239538889073622
14,-8.054145307083957,-5.921896240309083,-7.398043499119365,-6.282255363956878,-4.2353309052945125,-7.758590052037507,-10.22565625063853,-5.602087227227152,-7.483106039059341,-5.502707487251476
15,-7.292718988612037,-6.82476058148162,-6.517137620857156,-6.8503759560901205,-6.086426038520557,-10.907251389975022,-9.876104655942473,-7.372548521168516,-4.957471249767893,-6.444088486647775
16,-8.128800172238165,-7.006611472228954,-5.628945462171722,-6.498197310695412,-9.364859349428382,-7.276431880174931,-9.737138962125707,-7.016190130002181,-9.172569613482834,-6.215094610828018
17,-6.451175646118589,-6.889073461390851,-10.529743619669855,-6.78137522869342,-6.619179732291022,-5.263071086193605,-5.289112002307556,-5.485006655878337,-7.945654768136408,-8.477851691718243
18,-7.642694861617602,-5.698710678967755,-8.759357032597809,-7.0880935358695485,-6.3295524666960175,-6.805480113531402,-7.405808981479209,-4.145196223132689,-5.134089445967024,-8.737912262010248
19,-9.350715388584817,-6.873340924871243,-9.023992523671396,-5.9395147496465,-5.0526921774373985,-6.742063818592355,-9.832024877552268,-5.599113302794731,-5.688856821231505,-7.8421905798679
20,-7.7559179465086325,-6.400165812639013,-9.23143902254433,-5.473483031679833,-6.501335406352029,-7.509922605619333,-7.872371975989006,-4.080178527323084,-5.587832737764761,-6.412085984076126
21,-3.716516273530238,-4.014766250715683,-7.744829090157378,-8.185545394373053,-10.872408366894062,-7.086078286545552,-6.762426547811961,-8.280128457511323,-9.454912890640864,-7.239852321742378
22,-7.212009761189794,-9.800930675541396,-9.508271077947034,-7.885354992442052,-7.401973590528188,-13.855110178551135,-7.26010239482023,-7.830794463603247,-6.243273476815553,-11.879624447050693
23,-6.248752958811041,-8.918196140758713,-7.898969035387287,-6.060622220553887,-9.789877060147003,-10.943209352650653,-11.16615453371696,-5.534393594765709,-6.806854822517995,-6.642797866105604
24,-8.700696905554999,-5.443486418862585,-9.196192167200454,-7.925117340073532,-5.635681603753627,-8.545012256542204,-7.082654493838959,-6.4201091686707725,-5.962278683150199,-7.113249208970917
25,-11.314880737547668,-7.399201464201171,-8.676357927097053,-4.396285548337978,-5.026990981610284,-11.05525032704804,-7.077282376059794,-6.534894073036922,-25.10756602030252,-8.10028576860515
26,-14.570373648331394,-8.27826929421717,-9.045423704647487,-8.53643427400194,-7.940999791032194,-6.274390844550174,-9.310892795810265,-6.642330356486088,-9.329724193030536,-16.005372528509085
27,-7.257969579086285,-6.140819571715474,-15.998686068770906,-11.012393462309364,-4.857458175643885,-6.69843430463119,-6.657748885344628,-6.225256302886216,-6.348498122542747,-6.65015637834738
28,-8.592359576764006,-12.9580532545403,-8.176305513756015,-6.287583058417582,-11.833619494325644,-5.827960457393653,-9.272685741270585,-7.165884090828462,-7.454635022030342,-10.344649036800295
29,-7.226520899596338,-9.3076887062953,-9.362994084753684,-5.33818166106647,-10.82522987654473,-9.74802322350449,-5.810906117045235,-8.71010588909326,-8.256259868631668,-7.0668730636036825
30,-9.472929531696002,-6.885072233217862,-9.879895454476834,-9.679573940940058,-7.585911453855101,-6.725647358346963,-9.684869042331457,-7.842960048825992,-5.788724613245547,-9.090190426576052
31,-11.411366083782465,-8.94334797666274,-5.149861974257181,-7.254660006050134,-11.41164293277965,-7.513858060108563,-9.7454225659646,-7.183404458602208,-9.532304799176739,-5.9637113665458035
32,-12.894415399731727,-8.822946405390017,-9.363913967841842,-9.582377902255704,-7.684714796404972,-11.408070472267868,-7.166836946059903,-6.188771656217952,-8.312044249170636,-8.337915436332977
