iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-39.474807440433864,-39.13721988770196,-36.045694163546074,-34.56106009988565,-38.59818404641773,-35.96764368178242,-41.56518383228036,-42.410214668404976,-34.77299797770875,-36.46809005915157
1,-39.474807440433864,-38.831099789576584,-35.681501630744286,-33.83065524509762,-38.59818404641773,-35.80336422442204,-41.56518383228036,-42.12239092925758,-34.6450957393153,-36.46809005915157
2,-39.474807440433864,-37.9574611466152,-35.681501630744286,-33.83065524509762,-37.93875837938002,-35.80336422442204,-41.56518383228036,-42.12239092925758,-34.33268824747842,-35.77800053877789
3,-39.08612757128112,-37.9574611466152,-35.681501630744286,-33.83065524509762,-37.93875837938002,-35.80336422442204,-41.56518383228036,-42.09545913675504,-34.014997507589065,-35.77800053877789
4,-39.08612757128112,-37.9574611466152,-35.681501630744286,-33.83065524509762,-37.93875837938002,-35.80336422442204,-41.56518383228036,-41.267026795320646,-34.014997507589065,-35.676775579603586
5,-38.83738184894508,-36.12552930858783,-34.010802130882524,-33.83065524509762,-37.36268901650179,-35.80336422442204,-39.4522592555162,-41.267026795320646,-33.83203319064101,-35.00817557544171
6,-38.83738184894508,-36.12552930858783,-34.010802130882524,-33.83065524509762,-37.36268901650179,-35.80336422442204,-36.97588594178927,-40.429486309990686,-32.038233858412354,-34.59242838364753
7,-36.45949851696966,-36.12552930858783,-33.18557919966402,-33.83065524509762,-37.13996949973306,-35.544678527599274,-36.97588594178927,-38.65323160649103,-30.28022030871536,-34.59242838364753
8,-34.978250135085275,-35.400351122754444,-31.687140413613267,-33.71310827806732,-37.04244005854636,-35.544678527599274,-36.35126098198569,-38.59082403044414,-30.28022030871536,-34.173853052315394
9,-34.876212060094865,-34.55657368314597,-31.687140413613267,-33.71310827806732,-37.04244005854636,-35.18467272049671,-36.35126098198569,-38.57144761781797,-30.28022030871536,-34.173853052315394
10,-34.876212060094865,-33.84965304325978,-31.687140413613267,-32.99017733966734,-36.74709952013284,-35.18467272049671,-36.35126098198569,-38.57144761781797,-30.28022030871536,-33.609767737716695
11,-34.876212060094865,-33.84965304325978,-31.687140413613267,-32.99017733966734,-36.74709952013284,-35.18467272049671,-34.32412141194855,-36.048967926344645,-29.57224505103427,-32.39376019883798
12,-32.9780981972736,-33.84965304325978,-30.91121233524575,-31.244795594251826,-36.74709952013284,-34.93319154639508,-34.32412141194855,-35.9784189035489,-29.57224505103427,-32.39376019883798
13,-32.9780981972736,-33.84965304325978,-30.91121233524575,-28.37509026102129,-36.11993606365789,-34.93319154639508,-34.32412141194855,-33.92031587785084,-29.57224505103427,-31.50172771284786
14,-32.362055748810974,-33.1166869777782,-30.91121233524575,-28.37509026102129,-35.214878360534314,-34.93319154639508,-33.25544235897697,-33.69567020187132,-29.2349242901083,-31.50172771284786
15,-32.362055748810974,-32.48861325054603,-30.635133714611065,-26.465954855415514,-35.214878360534314,-34.93319154639508,-33.25544235897697,-33.20851368269895,-29.2349242901083,-31.50172771284786
16,-31.596755070361546,-32.48861325054603,-30.635133714611065,-26.465954855415514,-35.214878360534314,-34.93319154639508,-33.25544235897697,-32.09053206702654,-29.2349242901083,-31.50172771284786
17,-30.337900381754437,-32.48861325054603,-30.635133714611065,-26.465954855415514,-35.214878360534314,-34.93319154639508,-33.09104278432188,-32.09053206702654,-29.204438133299302,-31.34435311803324
18,-30.185779096383143,-30.474922038001495,-30.635133714611065,-25.41630570061039,-34.40356100999079,-33.78574130021263,-32.90870024066021,-32.09053206702654,-29.204438133299302,-31.28090580016518
19,-30.185779096383143,-30.474922038001495,-28.787020961230205,-25.189791970535712,-34.40356100999079,-33.78574130021263,-31.79581447638612,-32.09053206702654,-29.204438133299302,-31.28090580016518
20,-30.185779096383143,-30.380726343275327,-28.787020961230205,-25.189791970535712,-34.40356100999079,-33.5419407768915,-31.79581447638612,-30.948125511022763,-29.11993371598035,-31.161824885839415
21,-27.45986115272462,-30.380726343275327,-28.787020961230205,-24.649274290679564,-34.40356100999079,-33.5419407768915,-31.79581447638612,-30.948125511022763,-28.913762617810875,-31.161824885839415
22,-27.425054943693112,-30.380726343275327,-28.787020961230205,-24.649274290679564,-33.552948285811496,-33.072466495753716,-31.79581447638612,-30.948125511022763,-28.691608635543012,-31.161824885839415
23,-27.425054943693112,-29.381582951489175,-27.882161902548614,-24.649274290679564,-33.552948285811496,-32.77599688468604,-31.79581447638612,-28.36328018598325,-27.141185585939006,-31.161824885839415
24,-26.762737684205767,-29.1745581203664,-27.24627982550595,-24.649274290679564,-31.00337300795249,-32.67923896112399,-30.674298757070048,-28.36328018598325,-26.741946214245814,-29.32917437567932
25,-26.762737684205767,-29.1745581203664,-27.24627982550595,-24.649274290679564,-30.71500173473293,-31.81395047544254,-30.346285032090808,-25.919880340405303,-26.382251636785995,-29.32917437567932
26,-26.616295276469472,-28.68501624195519,-27.24627982550595,-24.649274290679564,-30.57792166491629,-30.549665133683092,-30.022865586296277,-25.919880340405303,-25.19990411780245,-29.32917437567932
27,-26.409408132531887,-26.267371879441328,-27.24627982550595,-24.649274290679564,-30.57792166491629,-29.61671647320254,-29.617201561974575,-25.919880340405303,-25.19990411780245,-29.32917437567932
28,-26.409408132531887,-25.993174474116234,-27.24627982550595,-24.611400634847165,-30.57792166491629,-29.61671647320254,-29.617201561974575,-24.66415812475409,-24.744483977211992,-29.32917437567932
29,-26.409408132531887,-24.65364293616114,-27.24627982550595,-24.44235631111634,-30.1829558163696,-27.46217724989354,-29.617201561974575,-24.66415812475409,-23.932443507500977,-29.315356451421028
30,-26.35933820607864,-22.95515226763527,-27.04701220814607,-24.44235631111634,-29.79615613045653,-26.359562130207806,-29.321565410158037,-24.66415812475409,-23.932443507500977,-28.900841335374643
31,-26.35933820607864,-22.95515226763527,-27.04701220814607,-24.44235631111634,-28.32267023757609,-24.112811728836718,-29.321565410158037,-22.679696984846718,-23.856022609523333,-28.540232697501793
32,-26.077013107174686,-22.95515226763527,-27.04701220814607,-24.44235631111634,-28.033931606561488,-24.112811728836718,-29.321565410158037,-22.57838311463408,-23.856022609523333,-28.540232697501793
