iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-126.00706028723027,-118.59979185019131,-132.06594099730972,-133.62757543659205,-105.6613795771429,-127.86921091676354,-120.45795772111148,-135.0030646664742,-104.1914202440166,-115.33791644346115
1,-107.14744856202725,-124.74244270864352,-105.61017374426547,-85.26799194558818,-130.0231999760102,-94.29550681341945,-110.57985928678269,-110.05697018612807,-109.22984353040174,-110.97222200139706
2,-109.50431031923748,-116.77899890585331,-105.14428030075173,-108.43069458280144,-125.67993696564035,-104.42597659772991,-126.01963807415585,-107.87008653505856,-87.61550869569506,-105.38529420870775
3,-98.49810102650316,-116.82102130750732,-104.41770977243694,-116.48789758885755,-114.61870975205375,-95.83650975160695,-114.7926676092656,-115.58727511328439,-91.09762269989307,-100.82417945231698
4,-122.35357233416195,-107.12231766317025,-116.43449396299755,-116.78727032850279,-100.61657530530606,-96.04029499317625,-109.97511021994993,-109.31701659769539,-107.16592006647952,-88.37862402302446
5,-123.94415976671888,-94.67158015502704,-107.31692166069523,-116.47054874855871,-100.22381243809625,-115.22389081659671,-120.71295665716573,-131.69945559148408,-118.83554722441744,-98.97609147409821
6,-110.01592449858617,-89.24606894450056,-121.87201259874966,-126.25341720510511,-95.0893789542154,-123.92681418024505,-115.8086540631544,-110.41744426876366,-92.80852385336821,-128.64242620997925
7,-114.186105569387,-105.21071368589708,-122.93359213886936,-116.58125561171136,-92.48246408269696,-99.93608776231352,-125.37760930230557,-109.41043751533603,-111.32826522801503,-108.59566128477131
8,-94.72909669403812,-98.17023710292094,-122.70680013153529,-94.86408871288819,-97.49149996663516,-114.74860018606721,-103.54372691650627,-108.75133045034876,-110.59690989431897,-111.01434172157602
9,-103.01692157236067,-85.4327783914251,-138.3465399114604,-121.95572633988037,-113.23988640168042,-118.8271098369662,-89.97294915834922,-109.02254055770051,-119.54271736316545,-96.46273607390135
10,-112.04797190820031,-121.42342528188954,-99.17616836577811,-114.72617596627737,-108.37275660961762,-115.37276414200379,-99.93839775140997,-115.81570630256203,-84.38593325070713,-115.95407526928676
11,-115.57874835970576,-97.47281207983744,-87.6366131752307,-95.10470457420118,-105.75915988554951,-111.01548999357419,-93.63318826957234,-86.63382250224078,-117.76116052722946,-99.27297819130109
12,-104.1977305276234,-98.51930598429612,-108.41560822399579,-83.61872300105682,-117.83382539339945,-97.9940542078794,-104.79189005068474,-107.94521982098442,-104.43917605728582,-81.22697096729846
13,-105.41151132627346,-132.22986954622957,-108.96756710268438,-82.56176140097827,-123.83040511789363,-96.53375766771444,-120.06873198052389,-98.8313065658198,-101.49389307590792,-92.47657632008003
14,-114.17719131002325,-102.74186825473909,-100.28260600309159,-116.16061671592911,-117.6445183287199,-117.05465968131664,-107.74682448535155,-97.86411080368033,-87.93946510984618,-116.2743428821667
15,-107.53566474008139,-103.27836413846904,-105.11238476871395,-72.99137265927675,-115.85680506706989,-99.11349745589014,-99.44826662385327,-103.80274585853465,-102.3000442311472,-109.40046633170587
16,-92.7208736461742,-112.02857932348661,-103.35577088006366,-113.7704958915609,-95.33331612953718,-113.98813335173581,-95.22734831133525,-80.53351357763128,-123.21817906870021,-112.59018055756454
17,-93.35730895396847,-90.75813025988002,-114.53234805456314,-102.23138844251477,-103.2863007464426,-96.42863309243779,-93.8493337501172,-99.5321782944781,-88.61287414601746,-103.2767126731485
18,-84.69071401728829,-135.3400630777703,-116.90266042139484,-114.35460316033141,-98.76341049585409,-88.60858748171947,-102.68122380738478,-98.88050945473347,-107.44149282105664,-106.2173226301527
19,-99.60653600807763,-107.95450218665492,-117.7888183944396,-91.74449399981054,-114.007463648402,-92.29756529676806,-89.24390332859232,-113.04927454194996,-87.09302091218521,-99.72634187008974
20,-89.20131221878435,-107.20262247840316,-85.79228351330693,-95.98950155550286,-102.36841993214708,-103.0685657864512,-104.22829661623663,-85.70387700351077,-88.37098945839452,-94.3873994905017
21,-85.13259728335328,-73.84447333226774,-106.51265485777374,-85.43714895764086,-80.81824832035718,-111.18845849098277,-94.16948858748177,-104.31164222178074,-98.63345205128734,-89.85506613469228
22,-89.54821185503214,-97.24795022057552,-98.57299271351738,-93.62876743134468,-74.47040685250792,-111.54780699573385,-87.14384290488408,-100.04105645394503,-90.693644191618,-91.4729770543602
23,-88.59056232510264,-85.39912853609928,-95.19890072963476,-90.37395761872986,-104.16958263584772,-86.70039269963064,-94.398854140688,-65.63571835158939,-97.50056200241374,-106.03191444808957
24,-95.3612502422306,-95.25125590991831,-78.8372514404587,-79.15426290413018,-83.15574431569698,-103.85351733249624,-87.5771599287421,-83.61183147060409,-59.50060317073754,-91.13014705750456
25,-80.66308294695799,-105.9585352874344,-99.52344951060786,-95.92228466201597,-83.84483546587566,-95.17401421323288,-85.20713129209658,-66.73879743165284,-86.3266205019873,-106.8174324961251
26,-99.01887015921676,-131.79919340392092,-92.49842234985977,-88.28399421288793,-83.23687322568324,-94.35345044093887,-70.48874635273755,-106.71343480322903,-103.72641124727326,-85.08536855324436
27,-104.19797169162462,-91.43780343001049,-86.11857811383894,-90.38495534499101,-91.8109387107933,-83.12879107642189,-85.75738426914822,-103.80644964296894,-98.0661024359369,-96.20989969969843
28,-86.7754068060765,-75.94275114480338,-103.5336276962241,-95.56379641105755,-108.55518020294497,-112.8858138212116,-94.43956297076127,-83.88239535996291,-75.7235959472336,-99.47089877583176
29,-87.00789395032804,-103.26734639733183,-94.46869829223138,-89.91968493764331,-80.71777125566227,-103.90031155878867,-102.96168530659469,-89.55094449506129,-82.49763700704194,-90.33208540103875
30,-87.94049502958295,-76.79901217531167,-87.40300190792979,-84.19033456408378,-88.64101834252453,-88.10306630758558,-92.82171756099862,-98.63589769206237,-81.57691998541591,-99.10313705391242
31,-88.69098051272921,-80.1850326587714,-95.43592698635851,-77.7168899105535,-89.71603075848773,-101.91212650351693,-98.26241741739196,-75.99329689110958,-78.02887603015282,-96.90842117516446
32,-85.0595597641861,-90.70419775140121,-76.76769383952043,-93.90419953732149,-75.06742186250148,-73.43157344987608,-103.2659947455832,-87.24859371362115,-87.56822363919443,-74.71023044299027
33,-90.28364429969926,-101.81932852507579,-67.52223663729288,-83.73042346655097,-71.02893024772499,-77.51711003183054,-78.8439000044346,-78.49709404812448,-94.30321127259676,-81.04495147468799
