iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-39.474807440433864,-39.13721988770196,-36.045694163546074,-34.56106009988565,-38.59818404641773,-35.96764368178242,-41.56518383228036,-42.410214668404976,-34.77299797770875,-36.46809005915157
1,-20.571886703407387,-21.752703095952587,-16.931558572272042,-18.473170411547617,-24.363914826453843,-21.10664197704197,-25.692564835043967,-17.087850025599646,-16.498785816619957,-20.010107731402904
2,-9.362729614787256,-11.925133788944597,-10.548857286337409,-10.02841111226114,-12.795858860775986,-11.700553963022884,-13.172880855265838,-11.341788391947901,-10.790566043680148,-10.81053410675438
3,-8.134588311322464,-8.438751802345283,-9.809792754821707,-8.915827927034167,-11.245277631202079,-11.700553963022884,-9.427756122226581,-8.704791619257392,-10.638950393897577,-8.419245914805671
4,-7.711653214439048,-7.445964361912167,-9.809792754821707,-8.9094557958546,-10.246365253297466,-10.74538941608079,-8.850941048137612,-7.81998960072761,-10.187917429552643,-8.145126619612885
5,-7.711653214439048,-7.445964361912167,-9.556547348368976,-8.800304235206415,-9.93493390390421,-10.310508127711586,-8.615093254656463,-7.413899018661418,-10.049170360847977,-7.330285565774204
6,-7.704856459228482,-7.209566251019229,-9.209325704285245,-8.800304235206415,-9.155442613909674,-10.24644447991875,-8.377137242617781,-7.244498842823837,-10.039740642578632,-7.223262263785356
7,-7.684593377464243,-7.073912584698826,-8.361492200802727,-8.653094627758808,-9.11226937440137,-10.19070194358853,-7.3774108828736615,-6.8231763553938425,-9.833375058694529,-7.223262263785356
8,-7.6192166016547915,-6.439660907434769,-8.101167554308422,-7.757274985502624,-8.991435189842784,-9.494746601969611,-7.273520799319361,-6.616562402052429,-9.644469881583557,-6.743515295956226
9,-7.398197780333949,-5.81062543654445,-7.078257959912987,-7.57445981926846,-8.42524588467596,-9.494746601969611,-6.4248592142099215,-6.171814437161168,-8.57051880313231,-6.356674897674974
10,-7.037760565752014,-5.81062543654445,-6.139354518637958,-6.763482746801376,-7.845270059984349,-9.266406276275017,-5.485532797560687,-5.890642909056764,-7.6403978750202475,-5.649837274547686
11,-6.716254820400819,-5.601469828816766,-5.620674197220232,-5.876294632284284,-6.529292380821207,-8.551534869847805,-5.34508607084571,-4.761850349427814,-7.2974518742792105,-5.224977945914482
12,-6.3464978949359825,-5.48636474891803,-5.434217585856005,-5.268509943995302,-6.382351063251395,-8.449684370242814,-5.095233867183316,-4.747445878421646,-6.687852972528775,-4.786110273036758
13,-5.834431780999509,-5.123292694889736,-4.825747823559972,-5.255555070717254,-6.126258844049174,-7.894646743343525,-5.0522696701102054,-4.523511736894031,-6.38556388475516,-4.766413491881879
14,-5.570836922200118,-5.041169921176889,-4.547396284151961,-5.062045569904685,-5.885534535033244,-7.133927340690696,-4.654028613687433,-4.1840564630409744,-6.301962994624864,-4.739187330267326
15,-5.405436785284806,-4.684662624818547,-4.472029949911921,-5.012056632296617,-5.8654876385787915,-6.619835455927047,-4.56593965770063,-4.014221660006545,-5.853148546860945,-4.667375818681775
16,-5.238950681849071,-4.684662624818547,-3.9857641098378758,-4.68776636538356,-5.076489857579121,-5.886126974026538,-4.182961008141066,-4.014221660006545,-5.655357537349437,-4.612842895739179
17,-5.105073753615686,-4.684662624818547,-3.9857641098378758,-4.544724222421001,-5.016397826788608,-5.617288514301553,-4.148031346800371,-3.928630045783806,-5.655357537349437,-3.7993730229787754
18,-5.105073753615686,-4.672492538194007,-3.962698584412056,-4.531279195819126,-4.839815322427858,-5.4303946832700465,-3.819147069658828,-3.9199090516553294,-5.494304936597693,-3.7993730229787754
19,-4.575386610762999,-4.672492538194007,-3.6591949247645696,-4.331105994598535,-4.549584010541812,-5.30782971482992,-3.74185114034581,-3.7461509128447568,-5.000886530277098,-3.7139500932233878
20,-4.575386610762999,-4.2271070402649915,-3.470355637055138,-4.265108565949035,-4.137807269224011,-4.650748451567662,-3.6074722737848943,-3.592194404970241,-4.592504045233362,-3.6839567787479233
21,-4.423622047277825,-3.9495936375131038,-3.2992186581936824,-3.7537419991266843,-3.8006289487820824,-4.583729000823592,-3.5617118454058865,-3.458324975129854,-4.533540586631279,-3.6414384395452633
22,-4.337445933488617,-3.9495936375131038,-3.2258343506222262,-3.2917996534874123,-3.8006289487820824,-4.555383748863083,-3.4214812409953383,-3.246413253216396,-4.527713239861182,-3.609973435173708
23,-4.261535055469178,-3.7573482260146367,-2.9844747413012254,-2.7351766518546636,-3.6726030473546256,-4.261526312642623,-3.4214812409953383,-3.046628676893363,-4.321093296833368,-3.5673479396949683
24,-3.93315207481995,-3.662634650386996,-2.951870862167083,-2.6915398159161494,-3.6250713493702373,-3.969667224999255,-3.2678758689669403,-2.8518879187829675,-4.278896989226474,-3.2613493909079447
25,-3.8695678580956883,-3.5883334806072678,-2.951870862167083,-2.6915398159161494,-3.2660491954516178,-3.2351244258618963,-3.0755844284383542,-2.8036852760314535,-3.9073802675998293,-3.120454818953718
26,-3.719675426325807,-3.4531873179953014,-2.859735818785852,-2.6722791459990547,-3.1438977908124137,-3.2351244258618963,-2.9067084657745967,-2.7172854887548983,-3.906864310020965,-2.9483766521135055
27,-3.7160783922157257,-3.012221285879689,-2.7156617325918275,-2.5652654206158783,-3.04135840846816,-3.0901701720197283,-2.808427774335531,-2.7114936027463745,-3.7888565679127852,-2.664044674289944
28,-3.4373400731438046,-2.7400888241591828,-2.6516091943076607,-2.4761940007597523,-2.7004713277231587,-2.995033762225591,-2.6090679753043484,-2.6606730791813007,-3.4997949694621937,-2.4310455687092567
29,-3.0365850446959683,-2.3837910169158754,-2.553929838167309,-2.262504989712033,-2.6148030310935555,-2.995033762225591,-2.448362083114909,-2.466511282462938,-3.4558638182901853,-2.3931077261357
30,-3.01474874121189,-2.3702329437264007,-2.349485794567797,-2.262504989712033,-2.6148030310935555,-2.8696476390453562,-2.448362083114909,-2.3786898371307412,-3.1002995980643697,-2.22853798376147
31,-2.94724165438382,-2.3702329437264007,-2.284164787133529,-2.1921996159186596,-2.6135456590489157,-2.7479984007365648,-2.435546969117839,-2.3534940639602393,-3.082020074582431,-2.22853798376147
32,-2.714210376117891,-2.3702329437264007,-2.2683901633630352,-2.145438470862138,-2.5874639179339676,-2.7390161880997774,-2.38106468863805,-2.254858116992597,-2.988961759074415,-2.192781073844839
33,-2.581086033900605,-2.3475805755919197,-2.12272052350752,-2.1332522613010747,-2.5874639179339676,-2.5896539686461555,-2.38106468863805,-2.203420615853899,-2.7185410638811036,-2.143077508584166
34,-2.399457034696956,-2.3475805755919197,-2.12272052350752,-2.1332522613010747,-2.3919554472869233,-2.5355018243772913,-2.2406438402022752,-2.0595226496796792,-2.5790782425874506,-2.1189908411007696
35,-2.383452624801103,-2.3475805755919197,-2.097334619270942,-2.131290486626418,-2.3269979543154813,-2.392342694413303,-2.2406438402022752,-2.0595226496796792,-2.5790782425874506,-2.078647353747458
36,-2.3736142630500336,-2.308173373614098,-2.097334619270942,-2.131290486626418,-2.280113043772452,-2.2969130033829783,-2.2304877442857123,-1.9053625242746768,-2.3636691499010127,-1.969578800825573
37,-2.3370353222815092,-2.308173373614098,-2.034172483188491,-1.8318983915364626,-2.280113043772452,-2.264650412634233,-2.2304877442857123,-1.9020018117185848,-2.3035545743915646,-1.969578800825573
38,-2.323414660956851,-2.3051304988239085,-1.9789593643543364,-1.8318983915364626,-2.2532425459717023,-2.100973385612292,-2.2296211458433035,-1.888406792144619,-2.221079380640041,-1.9234480114572787
39,-2.2842004384071726,-2.28365107135897,-1.9789593643543364,-1.69914332185308,-2.2202226789247286,-2.07315675146739,-2.145583661851851,-1.864526490507068,-2.1615566185945996,-1.91557124370868
40,-2.1567459183254654,-2.28365107135897,-1.9037132790572229,-1.694500137313852,-2.2202226789247286,-2.035449881177784,-2.137491727154935,-1.8374946187352665,-1.9537367898899176,-1.91557124370868
41,-2.1401379317694227,-2.28365107135897,-1.9037132790572229,-1.6877967998463634,-2.118188048334928,-2.0160898205592463,-2.1134000532962838,-1.8374946187352665,-1.9333095172671104,-1.8707998187827608
42,-2.0743240118222133,-2.2809142901727157,-1.8562788555512784,-1.6877967998463634,-2.118188048334928,-2.0160898205592463,-2.0977229564537625,-1.8337544327593442,-1.9188115708877853,-1.8193430239660962
43,-2.0667117358093554,-2.272979396618265,-1.8371376251577574,-1.6786418477158789,-2.040193279700407,-1.9826898633946937,-2.0615261695719376,-1.8307231320364767,-1.7880338880762074,-1.8061879011497217
44,-1.9363187798334784,-2.272979396618265,-1.8371376251577574,-1.6786418477158789,-1.9791820660969273,-1.9187983676662634,-2.0135137455812635,-1.7373903656619598,-1.7880338880762074,-1.7840306457542774
45,-1.9269824281876464,-2.19328323912058,-1.7885495932054822,-1.5336217692737661,-1.9791820660969273,-1.9187983676662634,-1.8406697855529672,-1.7373903656619598,-1.703061572539828,-1.7225886915849056
46,-1.9142923368358065,-2.0947521127296396,-1.7885495932054822,-1.5336217692737661,-1.904931986400085,-1.8991319251462222,-1.7744883155250588,-1.7161085559177063,-1.7021938299210078,-1.6622493987140121
47,-1.888788550350072,-2.0947521127296396,-1.7567475671391497,-1.4805788159214757,-1.8599728626524967,-1.7876227808965783,-1.739843659131373,-1.6955562963657442,-1.7021938299210078,-1.5544642335740053
48,-1.658231695935935,-2.0947521127296396,-1.7493123263035875,-1.4716504122361873,-1.8296803623689106,-1.6856630370348817,-1.6492229866476609,-1.6916481691797354,-1.6409156220425376,-1.4731914702657063
49,-1.6457547470827252,-2.0576580944730036,-1.737419860118596,-1.4607522600217338,-1.8131817501939755,-1.5308954464294762,-1.6492229866476609,-1.6916481691797354,-1.6017395860544434,-1.465420357830408
50,-1.5814919132981138,-1.9765505442185507,-1.7350667632222705,-1.4103295830752245,-1.7965205578557226,-1.5308954464294762,-1.6492229866476609,-1.6916481691797354,-1.582609644814458,-1.465420357830408
