iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-126.00706028723027,-118.59979185019131,-132.06594099730972,-133.62757543659205,-105.6613795771429,-127.86921091676354,-120.45795772111148,-135.0030646664742,-104.1914202440166,-115.33791644346115
1,-22.632781837814342,-21.752703095952587,-17.47010688768341,-20.32948990707044,-26.355837717706077,-22.77642616311265,-29.13915836596189,-17.7986073118946,-18.335506530168413,-21.611375775728284
2,-14.467068333161837,-16.018121024229053,-15.795792999888214,-18.633573098351707,-16.90583095574212,-16.064673396846715,-16.380765452198116,-14.590155172621266,-21.26792207537438,-16.95995419001595
3,-22.474933762420527,-17.90268641847871,-20.86180888042117,-22.03596136858671,-21.92084691163208,-27.819349636305336,-16.012538552143056,-14.586491533307118,-22.72495400120321,-19.943460646196726
4,-19.84942438424123,-19.676101267079865,-21.47195453230889,-25.58975736360787,-25.312380520172177,-22.15633016360451,-22.096130995651883,-18.029483350782655,-22.421757240113344,-24.98836047917079
5,-20.440889369066156,-24.494867787917322,-24.984280099516834,-21.299427219043544,-21.59455447906621,-22.14501645340814,-23.16899595456168,-19.260458574308828,-19.198626175389606,-17.655090581596106
6,-18.850609160178415,-24.206550072507866,-22.913857338927553,-22.31831853972425,-22.377558262008336,-24.53223675856232,-23.733400886836684,-18.526531317659767,-22.1267205985794,-19.944058952709128
7,-18.320658724723643,-20.85022014523087,-16.05838990720912,-21.644652236004852,-21.076109065081194,-22.36896695373934,-16.965118461854967,-15.520736750095756,-21.62540759112574,-22.063959879605246
8,-14.642562385140387,-16.38400968142076,-16.85365344365829,-16.802655395533883,-17.133990108648764,-19.292341812741334,-19.175975201481947,-14.71147779202381,-16.389751392413466,-15.831883362677551
9,-18.833762859040792,-17.383031398125574,-16.298206903194234,-16.007831974282063,-21.410684841535108,-19.809317891155672,-16.02097195315997,-11.517489930105032,-15.859636805960399,-14.434658136159339
10,-15.613935911443257,-14.034710682327711,-13.050821927378951,-12.356577948299908,-17.047100185273493,-19.47000730482099,-13.959928157738496,-13.208042070017953,-16.735367718348364,-12.308820868945261
11,-14.964061476841227,-13.324509575622942,-12.011155906144726,-14.917329921534883,-15.778035308431198,-18.18996939701022,-13.722212559255171,-9.80989089579974,-18.758477027451463,-15.99177952140949
12,-11.77396045974336,-11.578197349628311,-14.888287391614746,-15.245021961804575,-16.785101406665788,-18.119137443522682,-13.282969714884732,-14.520093161159416,-17.027262460483353,-12.022244099561117
13,-12.294882112901464,-12.29008432826503,-14.862265811794087,-14.30721494394417,-20.007207081073137,-16.962365511885007,-12.692640703683873,-10.416119204461378,-12.472047251737541,-11.665770436988897
14,-13.656252283171256,-14.577167723501994,-15.682256700191305,-13.852157219091001,-15.982629894356595,-15.927182419749794,-13.915530819655682,-12.771010591476125,-19.713393128263007,-15.927517842194575
15,-13.63402964010088,-12.308643866857754,-12.257607101030704,-11.14828042121113,-15.972279296163167,-16.717383547410897,-14.313747542482702,-13.109846514346785,-13.689045372366927,-14.038778877883802
16,-10.515684436710849,-11.587315034283183,-13.954784593733983,-13.139472599869604,-13.440352451737706,-12.03275048207891,-11.027579043385447,-15.043758233190193,-13.980168361548289,-16.090093372662427
17,-16.612469051854177,-14.59120072019704,-9.91990635446854,-12.459440666019315,-15.092029380573484,-14.98367430940756,-14.329389177534082,-9.783558849708006,-14.588805011706253,-9.422545287060064
18,-14.39267264125364,-10.012392198150405,-14.367071246442485,-14.482942101299674,-12.099974097311526,-16.93494555723181,-9.968464434017063,-8.598552619629606,-11.051588180740268,-14.332745342022886
19,-12.295004905581145,-14.938875187154093,-6.094305699754457,-11.056779040333357,-11.383323300460631,-14.088276986239638,-8.67453099919225,-9.18045655923569,-11.516662542124578,-13.990700197319633
20,-10.374208275608456,-8.494641704407849,-11.76908766235185,-11.981242773897257,-11.691041798156377,-9.72759122955191,-10.877861689823119,-6.175199388291129,-10.50498361816657,-9.922894695740723
21,-11.562822166089962,-10.557756534586519,-11.237158785536572,-12.49592378912362,-8.77329284137468,-10.19154817840118,-9.576713959589519,-8.856521631259561,-10.910501157691893,-10.54974443625444
22,-10.007894456440994,-10.409756969300997,-8.781932552001228,-6.493106939494887,-8.60012005773569,-15.201583034079835,-9.869153440747827,-8.950752631515147,-10.639294770998793,-10.617510660186754
23,-10.753391238295107,-7.095444337170075,-8.706714403128448,-9.27663018064812,-11.03183879483349,-9.198248416241189,-8.919108904038376,-6.643212437906436,-8.2447683976254,-8.48618496182119
24,-13.075738956360027,-11.171668410164031,-7.498845442890376,-7.651170041476801,-11.919717569883991,-8.387510267334605,-5.675586639884115,-8.511401049370306,-10.5836454769626,-9.883398461479828
25,-10.282741223932106,-8.14440206446254,-7.135542651066288,-9.388164573815459,-7.352973834809687,-7.772510962671545,-9.20915450188488,-7.7351707108292445,-11.6053358241955,-8.944752488009621
26,-13.120366537053684,-8.929266853013253,-18.027679752931753,-9.636546356324015,-9.698852120482062,-12.403401691771709,-6.873640926536515,-12.283272281157146,-12.715311804107552,-11.39599757215899
27,-10.35227123423902,-8.791310914942343,-9.897959080209485,-12.237485464665127,-12.46483363290296,-11.41747416415868,-7.008520695998946,-11.869178260888365,-7.1019913058214135,-8.597468519657545
28,-9.819030635937654,-7.382130174489453,-9.20775960940436,-9.095771564383426,-9.397042231102654,-7.420025662182276,-8.770705487804841,-7.093423529207863,-9.307318050427764,-9.999704062275256
29,-7.700760048400461,-7.639749320824366,-8.39510145820848,-5.8901411913690955,-8.428698033504569,-6.612714793287114,-7.906828127305888,-8.828375468151362,-11.043450253099351,-7.916840961661499
30,-9.881778310097673,-5.7694827551330565,-6.767071449445888,-8.401308856993445,-12.994370716129993,-8.722910376616595,-12.655794742759582,-8.102761217752642,-7.540689761076067,-6.953297558670785
31,-8.517988048818431,-6.8649703153097015,-8.534361716988787,-7.705974455116834,-11.693024581042739,-7.393705267673155,-5.826636724667518,-10.499747147337153,-8.969043787583669,-8.490111554778155
32,-6.897955830060813,-10.508564623828121,-10.62091694899018,-10.660882110932963,-14.719954483486775,-6.225210882224519,-6.008457929684415,-9.543460224111623,-8.659115019323202,-7.111007932827548
33,-7.5400447801851636,-8.932355190654615,-9.07909266982039,-10.70025839468615,-9.102946883456504,-4.11339007282789,-7.2540069029310645,-7.90275278684595,-7.378386195193553,-8.753346772535002
34,-7.948556452164228,-7.850212851843981,-8.651231390966014,-7.3758561849297655,-10.021502348781574,-9.557624534812224,-5.23951043242885,-5.863397707669596,-10.17032435276143,-8.062674699244502
35,-7.063142592050952,-6.747648248306675,-8.378138081238465,-7.961084419051749,-8.859122247245823,-7.385482936254423,-5.478253045330375,-8.60387638648221,-6.660427522937718,-7.087971896976917
36,-9.474520909513139,-4.86779075225828,-6.474394120201527,-7.51961460796734,-8.557489136386577,-6.8410264745885385,-5.299675408813501,-3.5272790397218126,-7.261326142508725,-8.399890751137983
37,-7.608201534228895,-8.786233319245543,-5.084627230681192,-6.245467390206889,-6.703482922937118,-8.189005449545965,-6.174228974298695,-4.077482268046213,-8.586046202497865,-7.325088608632983
38,-11.032951285447009,-8.013132661365134,-10.036065140798241,-7.165355179101141,-7.046113217310279,-5.1170675574113655,-7.512332326373741,-4.736060625337127,-7.050695212500228,-5.429519947349068
39,-6.8695626975705055,-9.450952918351064,-7.490196614272996,-4.824673949802075,-6.47226894738713,-5.579891676938282,-4.479358303073586,-3.6888725441274555,-5.375937699114338,-5.083889321214647
40,-6.466579982110603,-9.15346499257577,-5.8689075941361395,-3.6831289518751977,-8.977455955264386,-5.813768120713018,-9.569115780010103,-4.3935251841814615,-5.312084808987007,-8.625012866310854
41,-5.241429425154289,-7.384766012927901,-5.545806122060849,-5.393697307297154,-7.290590532256308,-6.703446747108205,-5.921788520107146,-4.421722227934197,-9.695787098128893,-5.601556668023847
42,-5.183587841545874,-5.366675278006065,-5.966853120562922,-5.765456312916139,-5.19583557278407,-5.359679131659962,-4.793285466241131,-4.940084652658074,-6.2836741803610145,-5.375393442075412
43,-6.007266986446276,-6.7459939479320585,-5.391354260068076,-4.463901307776863,-5.927704069213004,-7.760955136519511,-5.004749310395584,-3.4779271802705263,-3.4093151136392708,-7.234557774737144
44,-4.803366981926186,-5.50393479396228,-6.073390357857532,-13.136409047977967,-6.347226884202972,-5.958848273402977,-4.918584329869918,-4.543120522877125,-7.451795387283907,-6.230609876248396
45,-7.477500081647629,-3.8475799223216525,-4.262351408427226,-8.819042841674293,-8.127186367680173,-3.7235152342896947,-4.306958960977083,-4.856499913067372,-8.759479984259578,-7.670280945423682
46,-5.066648710388645,-3.407648059118247,-4.877175077244868,-6.431715965052968,-4.840768502623142,-5.986428372926396,-5.98586408991646,-4.087384011587921,-4.403173090984508,-4.17038600939038
47,-4.738496199121716,-5.323815268214064,-7.211788248215234,-3.6794888816548927,-4.866515690685813,-4.171289107445672,-4.280427878072149,-2.9312320384243753,-6.014338200222866,-3.1883910715636885
48,-4.609824908876721,-6.231188751655475,-5.681949203329285,-7.28300193485249,-5.576474118310559,-5.758560223039244,-3.709512910290236,-4.349906892457685,-6.209215836583465,-6.221498709592524
49,-6.085323090364282,-5.561065603199118,-5.758048783433266,-3.96685397084711,-5.182767594964762,-4.758197903145831,-5.477031342630616,-4.332268650921085,-4.459657310815089,-3.3855115514817777
50,-3.183241966399752,-7.348475835601199,-3.420039665525807,-3.488298190792377,-6.837742579268405,-4.807460589470294,-4.5690037458794786,-3.720192319434519,-4.709263856748233,-5.853541967306725
