iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-35.453729389200674,-37.27252412462628,-30.969228123859786,-35.21909764044287,-41.445727371740716,-40.65615281465439,-39.14495922561481,-38.2448744028645,-40.49009594105506,-38.61616298963758
1,-27.816113286391374,-25.77228081307691,-22.355444027839923,-26.363643871528527,-29.438492434612158,-26.255583728305325,-29.743715273227682,-25.88881470457951,-29.085823596677727,-28.73960968763741
2,-21.558864911075673,-19.663720626118703,-16.855883130709326,-24.11106268367994,-24.27013896502565,-21.762506909235114,-24.021205633194835,-20.02512427284361,-20.265754262521227,-20.924412785892162
3,-18.95352196766326,-17.69480710734625,-15.7759930426362,-22.688252450568434,-21.992490012998573,-19.102149975399186,-20.984239949174988,-18.545420170127233,-16.507270543868884,-17.923063816972828
4,-18.874864027576898,-14.196745014836536,-13.600613033494053,-22.14451153437977,-20.684762428823866,-17.499146044392884,-18.95317628933079,-17.462691823697874,-14.55616396867166,-16.991781747630192
5,-18.7011526317079,-12.619074981476412,-10.758160202886318,-19.815598255979403,-20.684762428823866,-16.811578080150653,-17.30311639272832,-16.245464052583884,-12.97729232275245,-14.56764452201266
6,-17.771204397120265,-11.33332499272054,-9.645028020212989,-19.397390022215937,-19.588122500978898,-16.317255241594353,-15.131714378939833,-14.77064089342493,-11.922187838826963,-14.52709445887034
7,-17.771204397120265,-11.127266856145052,-8.460844959786183,-19.05901086417699,-15.665079443726972,-14.589061854082399,-13.830790935792132,-13.305827449229188,-11.922187838826963,-13.835765855070276
8,-16.89764212705517,-10.543538625143697,-8.376306513066048,-18.248317328173773,-15.346225074314304,-13.43355555539081,-12.398095895771345,-13.125594337855656,-11.414817028742657,-13.013374971924051
9,-16.508407047284845,-9.847641828172417,-7.377048802888945,-16.357476428462867,-14.277231514042041,-13.359251209244169,-12.354202032482142,-10.974909965706246,-11.414817028742657,-11.387242466090651
10,-14.60526295997748,-9.56010060511032,-7.196952246943118,-15.074519933412441,-13.992730085810727,-13.17704197771277,-11.083534863670955,-10.120669607644224,-10.451952845598326,-11.276674256458644
11,-14.221644403858516,-9.08302520545022,-6.950326813995139,-13.49003759319946,-13.674416955890232,-12.425189712385414,-10.073980608789167,-10.040646175667737,-10.269966311187408,-10.85948590103647
12,-13.90897892247045,-8.207056358105252,-6.441238900316349,-12.166216035619449,-13.295761470897837,-11.69361154930915,-9.032775783588047,-9.897781863938905,-9.64432148534425,-10.462440823560671
13,-13.90897892247045,-8.207056358105252,-6.441238900316349,-12.103325381327325,-12.324875013062591,-10.515837437850758,-8.904536612652606,-9.770038305908093,-9.644290151362284,-9.244436415479967
14,-12.944742618831857,-7.367336577623117,-6.374031069981303,-11.88056880252015,-10.926144526615591,-10.277589625239447,-8.728817449397335,-9.184404486595893,-8.35325031403784,-8.70820720149715
15,-12.754477198064684,-6.942291745109379,-6.154443055495476,-11.494390437126071,-10.160466644851201,-9.994722609474447,-8.472195629589393,-8.59533943241603,-7.417302254854455,-8.6973721987032
16,-12.60241261300786,-6.9362085112117935,-5.291260160738284,-10.10146071036997,-8.459422564960567,-9.73764875403381,-7.910776674985004,-8.447855099999547,-7.285021266744174,-7.558755790275283
17,-12.08977398736626,-6.911270191822566,-5.054445244306834,-9.704268833320578,-8.02046785901845,-9.392133227085544,-7.743992210588696,-8.011638450140438,-6.862104838429506,-7.462744576867724
18,-11.84920745575902,-6.911270191822566,-5.025932242210065,-9.67310152524803,-7.322849359595501,-8.940710732503021,-7.327132705016587,-7.983992227304691,-6.651237248837928,-7.173248639408438
19,-11.31677720355017,-6.808159424772513,-4.859697541092534,-9.483585334982788,-7.058052953121278,-8.233740527923358,-6.838206934775205,-7.656761338584418,-6.523789872704651,-7.128897696777814
20,-9.650444415815329,-6.627694571349807,-4.6427363321423485,-9.31693041903084,-7.058052953121278,-8.139745901418548,-6.597723485385677,-7.4415212177318315,-6.40539131186222,-6.965934275929126
21,-9.307395122581614,-6.498877918327162,-4.587690520729481,-9.12066490898808,-7.00589580660993,-8.091518878618576,-6.1857404369910665,-7.390548734427155,-6.31495495068157,-6.6738064183011945
22,-9.307395122581614,-6.457004599132951,-4.521822003791776,-8.982201191028295,-7.00589580660993,-7.938526751663105,-5.79346847556209,-7.206656401163613,-5.547800647158031,-6.594148071518792
23,-9.026020642101019,-6.266170486050079,-4.446999589801473,-8.836324794591352,-6.928905604058621,-7.738382353258466,-5.59878217680358,-6.4688716396095955,-5.351295700348702,-6.3287584388292935
24,-8.759931431888452,-6.151032905693487,-4.295417261251835,-8.512389331659499,-6.894435091936892,-7.55559164583834,-5.270497987756491,-6.416885853633993,-5.107161938959487,-6.3287584388292935
25,-8.31884352521503,-6.118473792401992,-4.188871520388046,-8.25413572690133,-6.776929280315575,-7.288519499090093,-5.1976737774163215,-5.9407189414478,-5.001807371431898,-6.270784383019676
26,-7.924311323975881,-5.973317084961053,-4.188871520388046,-8.192157223648042,-6.662581904167338,-6.770103277407329,-5.100645285149506,-5.911661771827736,-4.950218252040261,-6.233717453250861
27,-7.8209686097541065,-5.640429468016489,-4.188871520388046,-7.739304493044517,-6.328830652778228,-6.745449701469127,-5.075032610583529,-5.156339849005454,-4.626501665141673,-6.08203492423506
28,-7.705127675561806,-5.616670294025718,-4.188871520388046,-7.73263207831623,-6.288338231613675,-6.562656310588815,-4.964544786640717,-4.809460568127828,-4.495313008290385,-5.817505467480469
29,-7.358024709476515,-5.566303430722216,-4.161739095574429,-7.601382686321235,-6.261094459297928,-6.346486905003111,-4.82139505452929,-4.695507857147776,-4.415681933980773,-5.779489997245449
30,-7.358024709476515,-5.3837720874815,-4.085982144831114,-7.498669505161902,-6.204326955724527,-6.112045802547161,-4.620501964832911,-4.376038097859162,-4.40212248445935,-5.6884137907786885
31,-7.217376147120509,-5.22830979021801,-4.082524357250401,-7.1241811882835755,-6.089685039552357,-6.003526760459632,-4.60780412229834,-3.9795216786095073,-3.962577459443179,-5.44979250825452
32,-6.635692703432513,-5.1582709970841005,-3.8342931076035853,-7.1241811882835755,-5.977187002288596,-5.8932884338664735,-4.56692139430206,-3.925943383713414,-3.900429865188209,-5.398592938834295
33,-6.417502205927131,-5.134024349351173,-3.782048214288026,-6.652247840044037,-5.8280609227124245,-5.6183365769357,-4.5544325673365265,-3.477129980748215,-3.8886853003228143,-5.184663946230749
34,-6.3331801741485005,-5.116686445202301,-3.6634717718311043,-6.475846171937832,-5.334665398555489,-5.582679384305115,-4.519299779519392,-3.3896883450098523,-3.7574141872806237,-5.184663946230749
35,-6.109082173598624,-5.036805418527331,-3.512363451611103,-6.328860013393654,-5.249215799814872,-5.574297347948786,-4.464508442993235,-3.3271644574345896,-3.6475725478698235,-5.163691049980541
36,-6.099743126360324,-5.036805418527331,-3.482415006851599,-6.323660706721265,-4.811248362377329,-5.440725968522644,-4.461164357369565,-3.3162363878880226,-3.6136680719823118,-5.144057214586139
