iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-124.06137527284494,-129.30319185902056,-140.20675871097228,-138.55725704718014,-102.38265825818064,-124.92809303671133,-132.0942628327082,-130.65056696642338,-108.7346628686449,-125.1155154309719
1,-38.18403850414832,-29.01079451931485,-25.306688372392298,-37.19756557373934,-37.73877789739977,-29.74578291696486,-38.63955163405408,-29.2310036025219,-32.52216310762843,-36.19299073151414
2,-39.11489286388856,-27.83863190247991,-26.306030925385443,-46.324527022931676,-36.622181863598726,-26.18408608284487,-38.455197893497896,-23.25720072350319,-22.09482636861025,-33.957654074872366
3,-24.26255211018934,-27.24271596439283,-23.19454462155,-32.25262680139263,-32.547151004646864,-30.516080376003764,-28.873674822318872,-27.60726261692514,-20.420222231020666,-26.152187131704387
4,-35.852345700950195,-22.089876711604433,-18.12778428688563,-35.021397586342715,-35.062253380475944,-28.7611990534139,-28.598516952539242,-23.75256494156163,-20.353640080879913,-26.09588658381508
5,-29.060944507649467,-20.30689920903724,-17.043511779153885,-30.18243964747306,-33.24107715327466,-25.99318078006113,-23.48400071670816,-26.057987557557922,-20.631158456674648,-21.225415325698144
6,-30.01818813460516,-16.8291102221223,-15.394745860844058,-32.29652544660475,-26.517829699843862,-27.618619095630326,-24.75237759985894,-25.8617915641261,-17.036856818094417,-30.92079687360264
7,-32.704488801128285,-20.836290007723218,-16.03502900882785,-27.195574938399453,-22.696891737944362,-21.508538060472574,-23.38354968438327,-17.731679507908957,-22.623104028825928,-25.659188364308523
8,-24.251655128397925,-19.335947111383422,-16.256791060743986,-29.04394493174133,-22.71894137360193,-20.962474657431265,-20.169738404914035,-23.64223480498455,-15.158389984985815,-21.018892811860272
9,-24.64001129012982,-18.470561880298654,-11.385084957281162,-24.643048159684785,-27.46393388315004,-25.191422233234057,-19.073356249729414,-18.343615181588838,-17.166467896539302,-20.65429799293593
10,-23.52008765559338,-19.34737518735612,-15.442615923754472,-26.401250320474148,-21.980531857504438,-20.159236878918463,-17.72544344899041,-19.373029837878406,-14.83105787927096,-18.8816023306704
11,-23.779654868893587,-17.054622214338686,-11.879863476904536,-24.081424430737137,-21.57609870836749,-22.58112165091749,-17.296153834709763,-15.897816981412348,-13.462313676178496,-16.014951657427776
12,-25.903209755467984,-12.389779367470435,-10.926001843590777,-23.83682261528501,-22.685090208611644,-18.025511929220315,-15.852024129315677,-13.611141619880737,-15.236949808454119,-14.993875537105046
13,-21.296143563240015,-14.215300014822091,-12.80427952689428,-17.87228055574993,-16.32966581631211,-14.822752473699232,-15.40587051142935,-19.8017485067251,-17.03278628590096,-12.240452127447849
14,-19.024880387034656,-12.119355066654162,-12.114334617445056,-20.472448629192193,-20.074195697051156,-21.74956545526945,-15.155453146933485,-15.690210642979213,-10.738836567702577,-15.052340047247835
15,-17.17656252967855,-18.98437035015101,-8.291309506042357,-17.2381460703512,-16.644415148902237,-16.0958153954341,-17.419126887550206,-17.47155930975078,-14.362980562798693,-18.077636633308572
16,-20.98415921075783,-14.638677538013479,-7.87783305808758,-16.122820848530075,-13.07778089329381,-16.3459309480735,-12.554622645963718,-12.720171050849284,-13.844084205957298,-12.092026888846346
17,-16.31040007954475,-11.914141272825248,-11.822342078301586,-14.294401950690864,-15.930694313572843,-14.26910860161702,-11.548468410180297,-13.707099649173772,-10.144275067555725,-12.704845027118992
18,-23.875811536070763,-16.016329958735717,-9.303917513997412,-17.942689600729793,-11.082775470182057,-10.912264970451213,-12.497021809264924,-17.02329044631744,-9.985866334184124,-9.756422661214755
19,-19.960924250032058,-12.896037972788113,-10.432822995202013,-15.917924021700813,-15.659040551027129,-13.071103489941066,-9.551549811539825,-15.243304345706726,-10.306106369035511,-20.67869581238582
20,-12.565621101522776,-12.331590815994854,-11.957685576503161,-16.592433439956032,-13.055909486153945,-13.637855860681452,-11.597828319419236,-13.383341502377638,-10.639729287693173,-11.723293751812337
21,-17.654986202607244,-10.749109679500492,-8.965348353750047,-18.763642155291645,-13.093328895559864,-16.03211110913501,-8.915939568905841,-13.815130836262405,-10.53203250992453,-11.957318531521212
22,-21.72451733891444,-9.070597067853154,-10.204272701418283,-19.748953739842175,-11.083021985998663,-11.408186324144552,-9.880019486945423,-13.300424873213363,-8.189221794495303,-10.290596657884612
23,-19.390179871491632,-10.397724160146918,-8.714053403274512,-12.173321750150329,-13.283223812742673,-10.24470175573418,-7.67978589060134,-9.968469880139669,-10.967427815464816,-12.151069716556673
24,-14.353601039022614,-9.522442238089129,-9.594315917904053,-17.26507663350972,-13.92977839837554,-9.841021268855092,-10.275529225538959,-15.653229311697329,-6.600858210210631,-11.384774016839549
25,-17.623015784961563,-12.436654344804836,-9.170138113647312,-12.035791270684367,-10.450473178302781,-12.363828038349732,-10.541329216474857,-10.196775770222981,-6.353751047880456,-13.9359943676294
26,-20.362418903406592,-9.408429388368027,-12.318662124235262,-14.821802969294392,-12.247071416906053,-10.582654627620443,-11.111834850561966,-9.884814949018931,-8.955837913909395,-12.211010933123376
27,-11.997515184004236,-10.426852403734054,-10.386324461616542,-9.918989730688141,-15.75212316062336,-10.56182613552358,-10.30237814097657,-8.988113278882008,-7.1204281521442825,-8.570478844833584
28,-13.218004616405441,-8.852399439956951,-7.898784808653612,-16.343787177642028,-9.237851676342597,-9.608072246579304,-8.996852486557039,-7.875978420131772,-6.164877662321751,-8.050870852916857
29,-10.561807805289934,-6.90818849365637,-9.716189216259274,-13.22994706690697,-13.45614116554454,-13.385430994764613,-7.2777131333123695,-11.148291417308654,-5.821860522246176,-9.003498296273914
30,-14.628881034160665,-6.708147930015972,-9.882812405503522,-13.116681742631203,-10.576539823472206,-8.397071557063795,-5.9527325960540365,-6.463692786728219,-6.85298351111304,-9.65155055741808
31,-14.491634431319337,-7.380409967246842,-8.955783108752366,-16.130838579315096,-8.756361525147735,-10.811809917105581,-8.515146794764398,-7.06514211691956,-4.771666925514479,-8.775790726988637
32,-11.45588967184598,-9.219625819061655,-10.921380228460142,-16.999604751422325,-12.668652890790511,-8.450280617157528,-7.48851264078232,-5.931422977115681,-6.046419968645912,-9.111329841415657
33,-9.66494304410045,-9.825854439805905,-8.503849454998749,-10.821344713491918,-8.15777869221612,-9.784560218608428,-6.508683637696393,-6.315734972667196,-5.726118756935084,-7.9622226039788515
34,-15.506155420625669,-9.74317142897534,-8.479242228490659,-12.114352437298862,-9.896425315911143,-11.212963959553369,-8.108367123334347,-6.746802126188836,-4.763862114712688,-11.044771035329543
35,-13.457011727734344,-10.770207408045788,-9.25515595361274,-9.529776090957268,-10.92695275841755,-9.906240711571638,-7.209684683316405,-4.517652356786503,-5.724192269392386,-9.825881358339988
36,-16.445684926687708,-13.160849066884158,-7.602438595388847,-12.332765891659914,-12.652014854133247,-13.322772054817172,-7.864739665780673,-6.129611282827871,-5.5245031457066975,-9.969639743871834
37,-18.49544887384929,-8.875335184330666,-10.006024201644482,-7.65645191256116,-7.5083527883224,-8.33465888836156,-9.612166565917258,-4.832396955175015,-6.270687527437667,-8.47984660770884
38,-9.584525336320308,-7.613142267736793,-10.839398026966911,-7.892777622192016,-9.550423746665892,-9.977543356143627,-9.79254975437319,-8.4334890981305,-4.977402334668316,-6.832284628784407
39,-8.191058959926174,-6.289360989205679,-9.002886405686182,-8.354834843887614,-7.378656750487277,-8.037284536812358,-7.030954706482404,-7.006822401209254,-4.966209104490964,-9.743848833202428
40,-10.20511801254934,-15.529551735126542,-6.3346629301683155,-8.455346356040629,-10.232007839096788,-9.990049166893087,-6.084471170778452,-5.572680349480421,-4.107771661395397,-6.148911131035674
41,-10.292844325224173,-6.270015864309844,-7.872331126936869,-7.669780705224756,-10.05303847113166,-10.641583895043887,-6.130706554582485,-5.576744843860363,-5.0637121704376025,-7.119999770119169
42,-14.213847328249297,-6.798154543932139,-9.256962823691545,-9.320274332697466,-8.48999879397044,-8.695212572750311,-5.672998823850902,-5.548351585928863,-5.832239561893961,-8.594061219075144
43,-7.319437800084705,-9.080111168866296,-6.088503367739924,-7.970012085235364,-8.520741624662989,-6.01848539200266,-6.993241795686774,-7.764285615912019,-4.675962968235151,-7.874917322324624
44,-10.593423684434487,-5.361238127467772,-7.291474910117594,-9.026490365068673,-10.06800854669745,-7.329631719158552,-6.371169272496445,-4.897575087027505,-7.021933922282354,-9.004309279568231
45,-14.375880185339454,-10.862339982834945,-8.1662022432075,-9.754884520246545,-5.523121870020981,-5.948212037652779,-5.40902783870035,-8.638453462500635,-7.30090819335496,-8.598221828658541
46,-8.327376965995656,-15.438475444745144,-6.937720121400524,-6.923032475563209,-6.643715306078381,-9.480686018464642,-7.021520241037411,-6.872218408800434,-4.614733337834982,-9.426192053871606
47,-9.35910215716287,-8.55319617171544,-4.837572973207372,-8.295662856080625,-6.898212536186618,-8.017353646413946,-7.349630167175993,-5.255267729690164,-6.275364286160872,-10.6662023452438
48,-11.07479479093806,-10.54301549553848,-5.36107031259096,-8.615489418955667,-9.289003823145592,-9.105555381927804,-13.252344400890514,-6.111289613750525,-4.659930615571677,-6.102460363309456
49,-10.482280756777364,-10.958416398260637,-4.437625006095587,-7.498894031910356,-7.132479025615144,-7.6049816639669485,-10.072701747018183,-6.566907228654319,-4.635305104043528,-6.060303503418018
50,-10.27762590364507,-6.284062970773109,-6.230814978391604,-7.194897190343159,-7.60059437788828,-11.920678712647687,-9.322349600723182,-6.3025946197788825,-4.992871180647608,-11.268500202571417
