iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-35.948015567496896,-40.80210653109998,-37.92919768763991,-41.39970746968004,-41.184800178642746,-37.78470430065532,-43.34692588550641,-43.64490838805709,-41.27334502966474,-43.16159427242962
1,-35.948015567496896,-40.14465863576882,-37.92919768763991,-40.58097132281182,-40.782317750139015,-37.78470430065532,-43.34692588550641,-42.90546261140598,-41.27334502966474,-42.75745080933358
2,-35.948015567496896,-40.14465863576882,-37.92919768763991,-40.58097132281182,-40.782317750139015,-37.78470430065532,-43.01214833800144,-42.90546261140598,-41.27334502966474,-42.75745080933358
3,-35.948015567496896,-40.14465863576882,-37.92919768763991,-40.53622539062837,-40.782317750139015,-37.78470430065532,-43.01214833800144,-42.90546261140598,-41.27334502966474,-42.635312358019625
4,-35.948015567496896,-39.61701376587631,-37.92919768763991,-39.71254442335737,-40.598615588158594,-37.78470430065532,-43.01214833800144,-42.73347681608466,-41.27334502966474,-41.28954216996618
5,-35.81914410860308,-39.61701376587631,-37.92919768763991,-39.71254442335737,-40.534923834262656,-37.78470430065532,-43.01214833800144,-42.73347681608466,-41.27334502966474,-40.3512675961008
6,-35.56563024945078,-38.87124525498584,-36.2922425125888,-39.71254442335737,-40.534923834262656,-37.78470430065532,-43.01214833800144,-42.73347681608466,-40.7110704673901,-37.7322206672803
7,-34.809274083260235,-38.027005703100585,-36.13712239998883,-39.71254442335737,-40.534923834262656,-37.78470430065532,-43.01214833800144,-42.73347681608466,-40.7110704673901,-37.7322206672803
8,-34.665570321603646,-38.027005703100585,-36.13712239998883,-37.91647915626237,-40.534923834262656,-37.65659859122037,-43.01214833800144,-42.73347681608466,-40.047487755904825,-37.25357184338432
9,-34.665570321603646,-38.027005703100585,-36.13712239998883,-35.98710689043418,-40.534923834262656,-37.65659859122037,-41.454523635292745,-42.73347681608466,-40.047487755904825,-37.10219253889604
10,-33.38225567187345,-38.027005703100585,-34.282137075510924,-32.981413954506884,-40.19707680952401,-37.65659859122037,-41.454523635292745,-42.025596501642966,-40.047487755904825,-37.10219253889604
11,-32.20965120006214,-38.003416174822135,-32.57321346746182,-32.096449772270006,-39.022473537901405,-37.65659859122037,-41.454523635292745,-38.168406947870764,-39.08941749701175,-37.10219253889604
12,-31.62770565853002,-36.945661449259475,-32.57321346746182,-32.096449772270006,-37.83131991886302,-37.65659859122037,-41.454523635292745,-37.498783714247736,-38.79272248052402,-37.10219253889604
13,-30.604662813504078,-36.93747975456226,-32.57321346746182,-32.096449772270006,-37.83131991886302,-36.24382018894458,-40.88966097339039,-37.17404795164051,-38.24189207222978,-37.10219253889604
14,-30.546011319422327,-36.93747975456226,-32.2338165605068,-32.096449772270006,-37.26051071952471,-35.955380855658476,-40.19147687706083,-37.17404795164051,-37.03148676557779,-37.09152759491434
15,-30.546011319422327,-35.740698564689495,-32.2338165605068,-31.821614314847487,-36.94615765412316,-35.955380855658476,-39.618831242187035,-37.17404795164051,-35.64980240580748,-36.679440942416306
16,-30.546011319422327,-34.23125859425579,-32.2338165605068,-31.148508652587466,-36.94615765412316,-35.622968812187125,-39.618831242187035,-36.10415057082338,-35.58174152100351,-36.21223882810348
17,-30.15200253797245,-34.23125859425579,-30.99430513933106,-31.148508652587466,-36.81066529357516,-35.622968812187125,-35.908909007057716,-36.10415057082338,-33.59461338125348,-35.69609208018002
18,-29.630087688912184,-33.83188931912568,-30.99430513933106,-31.148508652587466,-34.43626668606277,-35.518336969119666,-35.35111604316671,-35.95235729411372,-32.50475423702494,-35.69609208018002
19,-29.630087688912184,-32.88507847797873,-29.719824824795126,-30.66749570938423,-34.43626668606277,-35.19438756011287,-35.35111604316671,-35.027389360090204,-32.05666018663247,-35.05048778899023
20,-28.711238670246814,-31.16137955577173,-29.719824824795126,-30.640563469032585,-34.43626668606277,-35.19438756011287,-34.18691961403323,-34.97568544134859,-32.05666018663247,-34.42246363166673
21,-28.22335059337146,-31.16137955577173,-29.719824824795126,-30.640563469032585,-33.60682472464471,-35.19438756011287,-34.18691961403323,-34.97568544134859,-31.969430772570067,-31.45601436854326
22,-28.22335059337146,-31.16137955577173,-27.29669274443389,-30.153518061492456,-33.22477690553667,-35.19438756011287,-34.18691961403323,-34.97568544134859,-31.969430772570067,-30.636401037818715
23,-28.22335059337146,-29.345855900628226,-27.29669274443389,-29.211573057670584,-32.3899354294154,-32.30841440922551,-34.18691961403323,-34.97568544134859,-29.299962922064484,-29.0164373631773
24,-28.22335059337146,-29.345855900628226,-26.93787370162207,-28.403235104869793,-32.25618944270302,-30.099393915460666,-34.18691961403323,-33.723142385882554,-29.174484646450576,-28.915494081657336
25,-27.998599199989474,-28.763147803133656,-26.93787370162207,-28.403235104869793,-31.94724517738667,-28.66492761498177,-34.18691961403323,-32.28494041915581,-28.407292607387326,-28.263628842983643
