iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-118.92254152672606,-147.5695840838366,-112.5448781433411,-149.01770050936474,-119.82536119694655,-113.8110095664587,-116.45927609668907,-127.04664929666805,-105.00293310334938,-123.78702246356498
1,-126.70015775277128,-146.94956663867634,-167.13765846687983,-163.1488757838493,-201.7885653115934,-157.80233568467372,-165.55902962663987,-154.2390636784025,-135.81485394783516,-143.60142631961276
2,-156.0013527314108,-188.51642026801113,-245.47793969471743,-218.98672469015162,-189.53346048934208,-192.01608782025002,-151.01500572197745,-174.30859605802823,-208.6616981807689,-201.17415950258658
3,-173.94666412210103,-215.8483558523699,-201.45726508531715,-212.05331084448986,-197.15157989613766,-253.63283163900195,-169.90134460226184,-163.9999420578801,-170.14391349292828,-163.23853692117632
4,-138.0365060930929,-195.79141292234783,-170.70318171366804,-174.6787922166414,-154.62858196723192,-174.177696538409,-169.2711700090449,-203.6366298352785,-208.22959564911284,-171.42407427771695
5,-156.71181581626985,-147.5952220508307,-161.21482604770645,-177.48209587624112,-145.8757288251569,-188.7496114702896,-147.7267527609983,-153.4269099873615,-198.95791776799888,-172.6846396149548
6,-136.62007534284774,-192.70320339166102,-152.0172653272282,-174.26717103584667,-227.55121091254946,-172.3711807772918,-155.6966948690701,-184.50206015189553,-149.82165924626113,-147.58253712930622
7,-126.27753331380588,-171.9189576011997,-128.22120016795316,-167.25113490217885,-184.91545164973473,-222.56517457548745,-215.14180023095776,-136.46720097115474,-177.8046953275849,-162.42010524170308
8,-132.6374633102849,-153.5043594864499,-147.8668233363116,-161.83566016622763,-160.86982813167572,-211.8576129299784,-116.69806503993567,-143.83509140668747,-134.5563817598981,-125.61921679534967
9,-139.15691413161585,-163.21755969752627,-156.5009060664055,-120.3634057980658,-154.48913762982264,-129.766611654333,-135.03108210521413,-152.7343878028634,-158.01788823850032,-152.9505279635755
10,-185.09280613676492,-143.87566195905356,-133.7953018652952,-147.98235207399327,-175.1920533740324,-131.41750982278535,-156.62070944450693,-180.22866832967372,-175.52605943557234,-191.67668293346452
11,-173.06250506693277,-113.28018530583681,-145.23931218585062,-120.1235214462576,-157.2100736614662,-127.373120042584,-111.046572914552,-102.42884252594328,-130.29038825125426,-134.25541235885873
12,-138.79477718328886,-133.4788800588652,-114.24767125555468,-171.5746969486794,-155.6627240397747,-161.9125309519863,-163.87690546290727,-146.75309940472945,-138.47271680155555,-144.33162444082342
13,-155.7664382786702,-170.6898722742796,-167.0073873078287,-154.78409789617038,-149.22472243472023,-145.33444011297632,-112.8104251461892,-113.19101110870524,-108.18661519363266,-170.02345775135242
14,-99.76309697610135,-138.43823943315851,-161.5803571609975,-108.87565756473263,-173.8473200629312,-108.91028089774107,-144.46351289969377,-125.03049704364349,-142.78432020903335,-126.68828583838722
15,-141.32357114889734,-129.46201629747003,-126.82591112338326,-149.500905729431,-144.57647927960295,-125.08814692263671,-189.3794266271873,-101.37443749777921,-123.2530615613592,-154.03161035516666
16,-163.3030124753522,-122.16526686833166,-144.71566811644266,-125.00852625103316,-161.43528205333374,-111.73797523082479,-143.92853064322762,-113.22867845203194,-122.92793621899531,-136.98132380210671
17,-145.05619202961944,-126.8536360706473,-116.7522800480894,-124.43917130757318,-126.2823585640705,-113.01860977709345,-90.90875638176487,-128.06957311019806,-119.51606871482574,-133.12939622636262
18,-105.32725310565247,-140.89615494310198,-144.53439290168373,-142.58979308418716,-152.1157422673619,-134.60246345729772,-136.98430539723623,-137.8912598067568,-125.48738328715166,-131.11952807568622
19,-153.2281598841882,-138.2152980198422,-94.82883277733967,-152.160639986667,-179.55975208588458,-145.58045536487916,-110.49742254364713,-113.36841640400752,-121.1833364670886,-136.9653878781531
20,-99.034011503101,-127.69516789476725,-125.52320719171207,-125.95746635327951,-173.75379792516492,-126.52626667753776,-132.54538782003783,-90.57700457237898,-109.57874276016679,-87.0286512309467
21,-114.20391395292611,-119.53362513193437,-112.5550511873711,-120.36520287332084,-133.8712089154486,-131.27311267234506,-180.5055353831757,-129.33024306242442,-132.2192781875147,-120.95740526967688
22,-166.73192704806027,-118.63236648000054,-122.44928689524136,-73.24445837677149,-121.20561161844643,-110.29465590443246,-157.8509323714993,-147.20129882709773,-153.52439476233238,-88.96610376539456
23,-120.36227404148289,-113.70978747354971,-99.53513603309541,-106.3523909078124,-106.17513575805283,-140.81304335377703,-133.40366980057036,-105.8955443977429,-115.50973006480774,-96.77626724265295
24,-123.05446032492648,-121.18856462793126,-122.42190140346932,-112.32405787217996,-140.27003325782388,-101.10274927941822,-105.7056262105757,-115.45164806795506,-101.70055744317565,-121.36463665773734
25,-103.778350772376,-121.39012135714782,-91.66585076623295,-102.2632069015657,-121.35747682952397,-116.39683302166445,-137.74308918944973,-107.84701124176041,-112.43408614726216,-119.54540187525748
26,-99.40635480645935,-132.12924275596248,-139.49761049252695,-84.93020601457276,-74.51628364633824,-121.26888677039516,-104.11906812434984,-87.44435834592011,-100.1916030010747,-97.84908330586128
27,-146.343221020643,-92.66971303329098,-127.22577832961565,-82.91082833808736,-84.20325824949548,-110.07189757065005,-167.72322789345196,-109.82493787132138,-121.77587232080477,-96.93249587864386
28,-106.16936256039817,-118.66593207472826,-118.39713012526492,-132.04660871466908,-151.43430096320515,-107.84280099663859,-119.43578300087322,-96.04013414508056,-109.57232086950594,-79.39909383872583
29,-93.53029577058011,-78.54522345992736,-112.45543699100159,-101.87084433055772,-108.62856583802218,-127.80333106876508,-122.79354014050334,-154.6891901313656,-119.53774480845905,-101.06180828828278
30,-117.30298772729242,-117.41090051233778,-91.20034289148654,-105.09183393066795,-126.42910052945123,-72.09639039348289,-116.38068762365961,-104.154165411337,-98.09804259774964,-97.03296520616684
31,-94.18927317551643,-98.83507244728455,-95.18872106166629,-125.0821260303234,-102.44196899866743,-140.4520932982482,-129.03878531748234,-120.25353792894884,-122.9262799490091,-98.40291072529149
32,-114.08335663705665,-98.97393326525298,-76.53229604201903,-106.98157153887081,-100.56081293978974,-119.43505191258905,-116.54335956888943,-104.40130436147109,-84.02958902901496,-102.16093975851837
33,-106.88396977507966,-125.73400257821135,-103.90262867087176,-88.11618909422197,-130.85874048555934,-83.78209355295697,-78.08805032252684,-98.86230680656593,-64.99939322247101,-97.300490098034
34,-108.74463180590797,-149.87545103729096,-132.60168889448136,-95.66528043731773,-118.12299673460231,-82.90416329099344,-95.7565125178912,-100.7048920305285,-82.91270494719036,-91.6734577800379
35,-96.94348222091828,-125.10230133682674,-96.53458338876335,-87.1934580751092,-74.04184036830387,-109.66414633692132,-94.97973611279178,-92.45906518761907,-54.764783298636424,-103.54163370653534
36,-110.46748535512408,-93.91911679721858,-77.96678187289481,-70.71656277676126,-115.73803809101648,-58.79870422960907,-89.33430042757351,-104.17623980501722,-74.65569200098277,-87.60254513015198
37,-83.22315324711413,-86.72543108652941,-131.495896842332,-111.80635585766038,-83.02987571343851,-105.22795928120269,-107.74479215323859,-69.20912210369562,-61.27553004388265,-79.3985404164356
38,-85.002027719827,-126.99690191815885,-104.099354255756,-118.27533695794264,-78.0562476910568,-125.42478360855928,-108.79898159080142,-74.00580768080748,-64.40348289604395,-88.93845037600717
39,-74.67071638825901,-71.04142729149548,-96.32946240930403,-70.31277007654597,-117.8254906207411,-99.59791309470017,-57.540018122308155,-67.67325360596097,-63.95849289976158,-106.531099659973
40,-78.70004357008482,-83.78400081583118,-112.8288682909795,-83.8514004271492,-78.6422380963362,-96.53783140477549,-77.15853382918982,-74.93023137340657,-83.8330832680171,-85.90948752820734
41,-99.19274879875381,-83.16579093242649,-109.23922975300842,-67.73556728572323,-94.57569549075905,-89.92740475024385,-92.80921929610226,-107.32482331322801,-56.9584007128237,-88.8828248323191
42,-108.25523226693133,-65.70381762611589,-79.76351253896155,-77.77008405124097,-78.64517770104274,-78.2182328165361,-72.89674484546978,-95.85483438156008,-78.74721748681894,-104.1254799583062
43,-84.28004160457724,-88.46817774568292,-67.68447290101341,-78.18250670451206,-80.87110818155506,-95.95601388999361,-65.38509956218553,-78.52151623359012,-90.80250526733995,-84.69927582247394
44,-68.80060924208456,-84.46526224334283,-81.47904669210908,-125.00186162952377,-82.54101531636923,-78.36099679033991,-77.5494957687538,-83.58850506825635,-60.76495409193679,-91.28667170750583
