iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-35.453729389200674,-37.27252412462628,-30.969228123859786,-35.21909764044287,-41.445727371740716,-40.65615281465439,-39.14495922561481,-38.2448744028645,-40.49009594105506,-38.61616298963758
1,-34.55476392160597,-37.27252412462628,-30.969228123859786,-35.21909764044287,-41.445727371740716,-40.19379950968751,-39.14495922561481,-35.74507710970359,-40.013946440086954,-38.35128450581615
2,-34.55476392160597,-37.27252412462628,-30.92171438652676,-34.30394734789253,-40.93570333883599,-38.84852234344899,-38.21256998501564,-35.6201641077742,-38.4520487686626,-38.35128450581615
3,-34.55476392160597,-36.103480725670515,-30.92171438652676,-34.30394734789253,-39.97911751719143,-37.64613425005798,-38.21256998501564,-35.6201641077742,-38.4520487686626,-38.35128450581615
4,-34.55476392160597,-36.103480725670515,-30.92171438652676,-33.51251675711315,-39.97911751719143,-37.33473719932504,-38.21256998501564,-35.6201641077742,-36.89930423727821,-37.06738877164766
5,-34.061578351123416,-35.97813479763762,-30.47200229560182,-33.51251675711315,-38.28719940794383,-37.33473719932504,-37.70888006085289,-35.4465934681359,-36.88465812079675,-36.098823006093
6,-34.061578351123416,-35.97813479763762,-30.173811472508085,-33.51251675711315,-37.34609260669733,-37.33473719932504,-37.70888006085289,-33.94113534246722,-36.34374888845013,-36.098823006093
7,-34.061578351123416,-35.97813479763762,-30.173811472508085,-33.51251675711315,-36.86381785885585,-35.32118533984719,-37.70888006085289,-33.94113534246722,-36.03107354293187,-36.098823006093
8,-34.061578351123416,-35.78737707320085,-30.173811472508085,-32.77926359366354,-36.61967076328126,-33.92399581872638,-37.40605307950437,-33.19076511057801,-36.03107354293187,-35.94855976794391
9,-34.061578351123416,-35.78737707320085,-29.836308896369538,-32.04251003425223,-36.30488674763314,-33.92399581872638,-35.58604275933332,-33.19076511057801,-36.03107354293187,-35.27027359102503
10,-33.04399182546038,-35.56872259903933,-29.836308896369538,-32.04251003425223,-35.82293501249106,-33.92399581872638,-35.58604275933332,-33.19076511057801,-36.03107354293187,-35.27027359102503
11,-32.18158758968915,-35.125484034789906,-28.406994625659554,-32.04251003425223,-34.94151027121512,-32.666047536595464,-35.01241606402303,-33.19076511057801,-36.03107354293187,-33.583490557399145
12,-31.255874645104388,-34.381734916566515,-28.406994625659554,-32.04251003425223,-34.94151027121512,-32.666047536595464,-34.648624140362884,-33.19076511057801,-36.03107354293187,-33.583490557399145
13,-31.255874645104388,-34.381734916566515,-28.406994625659554,-31.947780375437475,-34.94151027121512,-32.666047536595464,-34.648624140362884,-33.19076511057801,-34.90580624940561,-33.583490557399145
14,-31.067409560071347,-33.45035171014523,-28.406994625659554,-30.26026699819156,-34.94151027121512,-32.666047536595464,-32.75402161006044,-33.155956531117496,-33.70593958915042,-33.40998021519077
15,-30.435526049069036,-33.45035171014523,-28.406994625659554,-30.26026699819156,-34.187470993144586,-32.42046880715496,-32.75402161006044,-33.155956531117496,-32.09981982639792,-31.729843715343357
16,-30.435526049069036,-32.691218301928856,-28.406994625659554,-28.70643748243043,-34.187470993144586,-31.70397497557976,-32.13082965646898,-33.155956531117496,-32.09981982639792,-31.729843715343357
17,-30.435526049069036,-32.12611200830881,-28.152460643321092,-28.70643748243043,-34.187470993144586,-31.70397497557976,-32.13082965646898,-33.155956531117496,-31.857490320977192,-31.16452414408841
18,-30.435526049069036,-31.96272429959549,-28.152460643321092,-28.70643748243043,-33.364695049121764,-31.70397497557976,-32.00632766635556,-31.828243621120635,-31.614848106265345,-31.123172478726985
19,-30.435526049069036,-31.96272429959549,-28.100764090953607,-28.317734970299867,-33.364695049121764,-31.142866749187974,-32.00632766635556,-31.557252113969053,-31.401662773145212,-30.823146523899965
20,-30.187115597308022,-31.396659991202817,-28.100764090953607,-27.77058045482955,-33.364695049121764,-31.142866749187974,-31.853960867494838,-31.557252113969053,-31.401662773145212,-30.406771357497043
21,-29.884024601334694,-30.96086041069899,-27.72468212209342,-26.641716100190436,-33.18250873939853,-31.142866749187974,-31.853960867494838,-31.146670843054103,-30.72876475756329,-29.996224655209318
22,-29.571190901472598,-30.056876472411346,-27.382230115395437,-26.599481068134047,-33.005157123212264,-29.357139946187864,-31.73260374115303,-30.555427439016608,-30.72876475756329,-29.996224655209318
23,-29.571190901472598,-28.7228027666499,-27.382230115395437,-25.748949453638886,-31.451362490980895,-29.357139946187864,-29.870025848530204,-30.555427439016608,-29.67404858574777,-29.996224655209318
24,-29.571190901472598,-28.7228027666499,-27.01961269507232,-25.748949453638886,-30.940446263030655,-28.580060009699267,-28.84749094968401,-30.555427439016608,-29.67404858574777,-29.996224655209318
25,-29.571190901472598,-28.7228027666499,-27.01961269507232,-25.748949453638886,-30.043568055459517,-27.769263846110285,-26.924832915081993,-30.555427439016608,-29.67404858574777,-29.996224655209318
26,-29.571190901472598,-28.107010592542018,-27.01961269507232,-25.190920175594496,-28.666599884612655,-27.769263846110285,-26.924832915081993,-30.11885079073134,-29.67404858574777,-29.996224655209318
27,-28.0691445175423,-28.107010592542018,-27.01961269507232,-24.989662972214493,-28.666599884612655,-27.769263846110285,-26.924832915081993,-29.3785607445107,-29.67404858574777,-28.77816211419967
28,-28.0691445175423,-27.934172637324775,-25.804564663949037,-24.989662972214493,-28.208323745206286,-26.276877592343084,-26.924832915081993,-29.01844981365121,-29.67404858574777,-28.77816211419967
29,-28.0691445175423,-27.72519550300645,-25.804564663949037,-24.73687774646617,-27.454161067070793,-26.276877592343084,-26.924832915081993,-28.088734717629542,-29.204788090086193,-28.77816211419967
30,-28.0691445175423,-27.72519550300645,-25.0751645138483,-24.177059688646757,-27.203104910617597,-26.276877592343084,-26.924832915081993,-28.088734717629542,-26.369124876548454,-28.386168381622554
31,-28.0691445175423,-27.72519550300645,-25.0751645138483,-23.85781434404997,-27.203104910617597,-26.276877592343084,-26.924832915081993,-27.6609441577943,-26.369124876548454,-28.339748426068656
32,-27.640328279431742,-27.72519550300645,-24.46975447975662,-23.85781434404997,-26.411795962267746,-26.276877592343084,-26.644355496715704,-27.6609441577943,-25.93272955908977,-27.47427818770562
33,-27.640328279431742,-27.56286439840059,-24.46975447975662,-23.85781434404997,-26.411795962267746,-26.276877592343084,-26.59650349336075,-27.11355364422281,-25.93272955908977,-27.07858944201084
34,-27.530440184330324,-27.56286439840059,-24.46975447975662,-23.85781434404997,-26.222306652863743,-26.164187808468267,-25.093544704086614,-27.11355364422281,-24.896927063348805,-25.764035060303414
35,-27.530440184330324,-27.56286439840059,-24.46975447975662,-23.85781434404997,-25.636341325065715,-25.395519660707322,-25.093544704086614,-26.828016193688917,-23.799736680552545,-25.49704058812593
36,-27.530440184330324,-26.407538368466533,-23.20085516824682,-23.151886227697467,-25.636341325065715,-24.27437248826095,-25.093544704086614,-26.828016193688917,-23.282873614459234,-25.256130047511554
37,-27.530440184330324,-25.862482675509817,-22.167868800016784,-23.151886227697467,-25.425828944836184,-23.11348173624617,-25.093544704086614,-26.09579696537564,-23.282873614459234,-24.51770079824758
38,-27.530440184330324,-25.862482675509817,-22.167868800016784,-23.151886227697467,-25.425828944836184,-23.11348173624617,-25.093544704086614,-26.09579696537564,-23.231066636667272,-24.51770079824758
39,-27.16869509532019,-25.14850606990416,-20.910549630291467,-22.6761890634779,-24.72999250733204,-23.11348173624617,-24.926634888118627,-25.82234613737956,-23.166875394859296,-24.51770079824758
40,-26.207319229317676,-24.952301228774278,-20.595819792109797,-22.6761890634779,-24.72999250733204,-22.671544198436216,-24.926634888118627,-25.82234613737956,-23.092977941715645,-24.10295288163813
41,-26.207319229317676,-24.23983388806233,-20.595819792109797,-22.458912601345663,-24.72999250733204,-22.671544198436216,-24.554915574568717,-25.420895080989496,-22.593029323462925,-23.73579413427518
42,-24.693139239779505,-24.23983388806233,-20.595819792109797,-21.866902175288654,-24.72999250733204,-22.58418182561379,-24.554915574568717,-24.338479038899088,-22.593029323462925,-23.13817010598551
