iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-124.06137527284494,-129.30319185902056,-140.20675871097228,-138.55725704718014,-102.38265825818064,-124.92809303671133,-132.0942628327082,-130.65056696642338,-108.7346628686449,-125.1155154309719
1,-110.8344270046581,-128.40275017177285,-119.29893426812814,-112.40576675457726,-119.0790098092614,-121.69370479574616,-125.02046859763523,-81.49622991795036,-106.1975078700484,-117.270960630838
2,-121.1756379212195,-145.30868269889385,-114.47125374226195,-102.07505128384352,-114.11075390092142,-102.94105232342176,-110.22750260126186,-102.10349955128576,-93.11435894213113,-111.63946997399071
3,-106.72463106316489,-98.58650881051801,-119.32400309434637,-116.37524748997355,-106.18160103255543,-91.29186265909854,-106.81685949802815,-133.8793000227294,-101.13074670597157,-105.9653650435774
4,-127.22626019420521,-106.95902589464853,-113.88598495417531,-116.43593212967949,-112.98328546637603,-86.56518596993602,-129.11086077277764,-108.3272773587054,-101.14941975276975,-122.77896360943495
5,-111.37973415072895,-94.67497354403599,-106.00122531053889,-125.34160347949832,-101.26266648950758,-113.07337809469828,-118.2483762371898,-112.66001204646527,-115.87531790723287,-113.78527660083405
6,-124.78613690025296,-125.03420122114612,-102.10839593916947,-121.0087059300524,-92.90087665046465,-110.48527463519548,-134.59287468620852,-84.52295022685186,-130.82586644155953,-128.6711355009304
7,-101.74094764941614,-95.42489618464086,-114.48914176461636,-104.72790979133444,-126.5474776869128,-100.87330105308065,-120.78515117203195,-120.71102483281952,-97.01951727581337,-129.8895955852563
8,-124.42983684759812,-106.78010558707435,-114.00370719838375,-99.51491305052869,-96.6438763820766,-85.83216398187199,-113.35837937614889,-91.88762614843944,-109.21385318048851,-119.77466840529388
9,-104.34815248524015,-113.53963377560251,-94.6876586826833,-119.71667963119447,-118.35153228951484,-110.47717398954485,-114.44665226339573,-105.15611989598656,-99.02030996210846,-99.16263993807904
10,-90.15592833486569,-89.9255120208151,-106.09631057157193,-120.36575855659814,-98.326867452741,-106.97639027668704,-114.35313049491842,-107.44557428374924,-124.98125775339658,-134.35303789774846
11,-97.17821449793757,-95.47580164628371,-100.2775727955075,-93.83919563789007,-82.41352971336067,-92.91680637558449,-101.957458680847,-112.49630009724413,-105.90722017620054,-111.53363707049559
12,-98.35653532989133,-103.09060608183499,-98.68978473509057,-95.68724127559847,-123.75482478436109,-82.27285484504496,-97.99273254225702,-109.54923487158682,-112.95824486298156,-139.46650791214907
13,-127.11321416191069,-100.22781948563141,-108.7483698875635,-103.95896120807467,-115.23023010669712,-97.39634632580166,-123.16624655950777,-83.49252533885995,-103.78416117976943,-99.85667019895918
14,-109.85139125380233,-106.80150871909564,-114.59471323230046,-114.85698446110405,-87.34518958198147,-130.53673920756276,-101.36023145515819,-103.74245561240775,-89.57727391348797,-92.20944377290775
15,-97.44256536163084,-100.62581024662589,-87.89045702406901,-111.9774143463923,-100.35213053863647,-85.7684910297148,-112.7835790080573,-104.39560895200644,-119.1767019752013,-83.27493333160155
16,-118.68712006206276,-83.26785514820347,-112.39095595038211,-110.22197473016611,-117.1065045988201,-112.07987644682157,-116.30079613747266,-122.30713267465072,-120.75224733626115,-114.08169711175178
17,-112.07594012038058,-97.9872663870378,-103.83313403414593,-113.90651960928227,-97.11617297178007,-100.3432777169954,-108.9766663719326,-121.22928434465902,-96.27390136621881,-95.29943830006916
18,-91.61591893610179,-110.42249546339588,-96.90206200072903,-101.1761169989319,-89.24496280237872,-106.4988789969055,-103.80735185978926,-94.4248440979057,-92.39906528577485,-101.02605236862918
