iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-35.453729389200674,-37.27252412462628,-30.969228123859786,-35.21909764044287,-41.445727371740716,-40.65615281465439,-39.14495922561481,-38.2448744028645,-40.49009594105506,-38.61616298963758
1,-3.2496471942063243,-5.8780777795526955,-5.737577631988973,-5.870791902398895,-10.405679199844023,-3.083661579635443,-2.750066111638004,-3.663640194116925,-2.583531002044532,-3.4856554793145293
2,-2.340021042833838,-4.235862811917658,-2.671012721264341,-3.9436158286354894,-2.022923294256101,-2.15310599539981,-2.3719283677816034,-3.2019435372611293,-2.5278858160227293,-2.609501334292146
3,-2.3056403029540045,-3.910598777334666,-2.3919113174958895,-2.4807806572353903,-1.8941273075698433,-2.0507386388111097,-1.9720583715337585,-2.5385676925204805,-1.5594824313230475,-1.9530711117459179
4,-1.725751821881892,-3.6799156911095077,-2.3897379623889914,-2.4232055674995583,-1.8941273075698433,-2.0492963695156075,-1.9720583715337585,-2.5272729857559053,-1.5594824313230475,-1.9387730122175626
5,-1.725751821881892,-3.4014265803343737,-2.1165306294175483,-1.9412606833909072,-1.7205006151248197,-2.010394729191372,-1.9720583715337585,-2.4502390388851416,-1.3893340808699572,-1.7910327019640246
6,-1.725751821881892,-3.388880618859535,-1.9294206725877536,-1.8347284808511577,-1.7182599228951052,-1.858437465796873,-1.9038437249516313,-2.3380766285576695,-1.3893340808699572,-1.7492272815275516
7,-1.620608377175537,-3.2338653697190063,-1.892580725375626,-1.8347284808511577,-1.7182599228951052,-1.7006626541920342,-1.7687043400249935,-2.3380766285576695,-1.3893340808699572,-1.7492272815275516
8,-1.5472638486790666,-3.1981478459057726,-1.8422144706036905,-1.7635669945822814,-1.5739659977644673,-1.6063532802044622,-1.6761853879588804,-2.0646992140604397,-1.3893340808699572,-1.6887430579862737
9,-1.5367834085800576,-2.9778447705392113,-1.6147465175891906,-1.7512332899893406,-1.563684634287577,-1.3714565886812053,-1.6761853879588804,-1.5222843595021163,-1.3133770241844884,-1.6160978235495644
10,-1.5367834085800576,-2.742451578491268,-1.493901446546147,-1.7415951475096143,-1.5117102932138737,-1.3222449550881237,-1.1988192783127851,-1.5012496253081307,-1.3082106583439645,-1.4482876494899517
11,-1.4258372124804635,-2.679519025569497,-1.4053695729726485,-1.3003949078697035,-1.4179873641979688,-1.2076369734184251,-1.150277870171281,-1.4390625668463888,-1.091890677999384,-1.317255642801633
12,-1.2318691196603264,-2.4238891275072287,-1.3772298302001,-1.2334510998095811,-1.303899012141664,-1.1428401696191175,-1.0869522270976024,-1.261645921962611,-1.0408687132128502,-1.3031270482260342
13,-1.1831598470735962,-2.368868228190658,-1.2738041809618756,-1.184326985621975,-1.303899012141664,-1.0491357310515805,-1.0362911825216137,-1.1660348086972212,-1.0408687132128502,-1.3031270482260342
14,-1.0648769827839344,-2.345352720836635,-1.2720782928828984,-1.1694863565124969,-1.2252347270465913,-0.9807847633869028,-0.9641778954297571,-1.1233412050183273,-1.0408687132128502,-1.0950740738634483
15,-1.0648769827839344,-2.345352720836635,-1.1279461532093693,-1.151389693808647,-1.1461945212280558,-0.9404774277692258,-0.9641778954297571,-1.1140360594988428,-1.0408687132128502,-1.0624567302051138
16,-1.0648769827839344,-2.345352720836635,-1.078816365530653,-1.1196713409252483,-1.1082978096746514,-0.8541009757572384,-0.9007062176676096,-1.0206499514194718,-1.0248708249304186,-1.0449699118627866
17,-0.9395715750090611,-2.1534816372010797,-1.0512060172669364,-1.0770031600405106,-1.03017008352988,-0.8162057482159382,-0.8953178577478418,-0.9518759349228556,-0.9224080513553918,-1.0333543289529108
18,-0.9181650220155725,-2.1287055456538404,-1.050461383424116,-1.0005692745795094,-1.0228087462790132,-0.8139473331497175,-0.8928203037911029,-0.9354826790115863,-0.9224080513553918,-1.0236280124676007
19,-0.9174083023237278,-2.1217324777316717,-1.0450702473060018,-1.0005692745795094,-0.9835673362642858,-0.8139473331497175,-0.8727279723277113,-0.9322245973279166,-0.887995879617779,-0.9977057987185087
20,-0.8815655260420221,-2.112198068229258,-0.9942795172405697,-0.9143301370085627,-0.9835673362642858,-0.7923020474298259,-0.8414763782915613,-0.9230206492443557,-0.887995879617779,-0.9961509536365043
21,-0.8418436199364441,-2.1055609425320068,-0.9106135434717381,-0.9112243365796816,-0.8543312612188771,-0.7923020474298259,-0.8414763782915613,-0.8793833480745887,-0.8680740078024229,-0.9860712721099643
22,-0.7907680371722987,-0.8972077421141371,-0.8077315880748798,-0.9112243365796816,-0.8417562293422587,-0.7923020474298259,-0.8414763782915613,-0.8609721886447832,-0.8669797200159566,-0.925714792502909
23,-0.7841376651661724,-0.8879522864780877,-0.8052507700105282,-0.8688032607442528,-0.83222498105932,-0.7196337831361299,-0.8209622765346852,-0.8216300526770084,-0.8669797200159566,-0.8827422400770464
24,-0.7841376651661724,-0.8345639329914718,-0.7851272919549712,-0.8545273972603791,-0.8161306904569641,-0.7196337831361299,-0.7908641363032632,-0.8216300526770084,-0.8669797200159566,-0.7422750707140362
25,-0.770789698815727,-0.8338458814411215,-0.7851272919549712,-0.841017395290124,-0.7873039229061544,-0.7125020155989,-0.7737830618029212,-0.8088641746192252,-0.8365681413662888,-0.7422750707140362
26,-0.770789698815727,-0.8295928919146655,-0.7648957061304863,-0.841017395290124,-0.7873039229061544,-0.7125020155989,-0.7737830618029212,-0.8009329162376758,-0.8365681413662888,-0.7345795937255579
27,-0.770789698815727,-0.7896281101239899,-0.7506411901524932,-0.8063286079385674,-0.7873039229061544,-0.6929663759870193,-0.7583750546774202,-0.7783247294636725,-0.8267570586106753,-0.6515462197015554
28,-0.749996382272723,-0.7896281101239899,-0.7454444710126021,-0.7814740834086423,-0.7873039229061544,-0.6929663759870193,-0.7417364395985431,-0.7674242426564044,-0.8267570586106753,-0.6515462197015554
29,-0.749996382272723,-0.7896281101239899,-0.7454444710126021,-0.7814740834086423,-0.747499258540716,-0.6929663759870193,-0.7377583368196838,-0.7339527534469583,-0.8267570586106753,-0.6515462197015554
30,-0.749996382272723,-0.7865921068679742,-0.7454444710126021,-0.7460499865636951,-0.7300035588521532,-0.662747218156562,-0.6860574408643199,-0.7339527534469583,-0.8246271351348786,-0.643927132524849
31,-0.7484715704713167,-0.7786656292165735,-0.7454444710126021,-0.7460499865636951,-0.7300035588521532,-0.6557165521186179,-0.6860574408643199,-0.7202618633526269,-0.8173189389896852,-0.643927132524849
32,-0.7401619945841875,-0.7766038971856464,-0.7356662531226379,-0.7460499865636951,-0.7300035588521532,-0.6557165521186179,-0.6860574408643199,-0.7202618633526269,-0.8051632141100591,-0.643927132524849
33,-0.7312764205778998,-0.7766038971856464,-0.7356662531226379,-0.7460499865636951,-0.7123479120409111,-0.6499760576462171,-0.6860574408643199,-0.7202618633526269,-0.8051632141100591,-0.643927132524849
34,-0.7312764205778998,-0.7630496186714759,-0.7356662531226379,-0.7460499865636951,-0.7123479120409111,-0.6474559797488091,-0.6860574408643199,-0.7202618633526269,-0.7746489154485199,-0.643927132524849
35,-0.7030071569685458,-0.762256143759662,-0.7192684864097555,-0.7358671187008832,-0.6977877403999868,-0.6474559797488091,-0.6860574408643199,-0.7202618633526269,-0.7746489154485199,-0.643927132524849
36,-0.6782984334043421,-0.762256143759662,-0.7192684864097555,-0.7358671187008832,-0.6977877403999868,-0.6297358441441352,-0.6768123236699357,-0.7202618633526269,-0.7746489154485199,-0.643927132524849
37,-0.6782984334043421,-0.762256143759662,-0.7192684864097555,-0.7308285377060734,-0.6977877403999868,-0.6297358441441352,-0.6768123236699357,-0.7040810893120238,-0.7746489154485199,-0.643927132524849
38,-0.6782984334043421,-0.762256143759662,-0.7192684864097555,-0.7229211674697742,-0.6977877403999868,-0.6276899549632622,-0.6768123236699357,-0.7040810893120238,-0.7543064668254973,-0.643927132524849
39,-0.6782984334043421,-0.7544480686519289,-0.7192684864097555,-0.707103411310885,-0.6977877403999868,-0.6276899549632622,-0.6768123236699357,-0.7040810893120238,-0.7543064668254973,-0.6437283110233039
40,-0.6782984334043421,-0.7544480686519289,-0.7143725437295778,-0.7043489102847549,-0.6977877403999868,-0.6161707343331047,-0.6729145668309735,-0.7040810893120238,-0.7510637345229179,-0.6437283110233039
41,-0.6782984334043421,-0.7348504038704478,-0.7143725437295778,-0.7043489102847549,-0.6944965844021365,-0.6161707343331047,-0.6729145668309735,-0.69992377472947,-0.7460311665894913,-0.6437283110233039
42,-0.6782984334043421,-0.7242794437693547,-0.6954455830645448,-0.7043489102847549,-0.6944965844021365,-0.6161707343331047,-0.6729145668309735,-0.6791555012380237,-0.7460311665894913,-0.6302913775544121
43,-0.6768027017185477,-0.7242794437693547,-0.6954455830645448,-0.7043489102847549,-0.6900580687230761,-0.6161707343331047,-0.6729145668309735,-0.6791555012380237,-0.7460311665894913,-0.6109586437095186
44,-0.6768027017185477,-0.7242794437693547,-0.6954204142088178,-0.6781545396226061,-0.6296270509849571,-0.6161707343331047,-0.6729145668309735,-0.6791555012380237,-0.7404489469854152,-0.6109586437095186
45,-0.667468784424574,-0.7242794437693547,-0.6954204142088178,-0.676226007806061,-0.6296270509849571,-0.6161707343331047,-0.6729145668309735,-0.6791555012380237,-0.7404489469854152,-0.6109586437095186
46,-0.667468784424574,-0.7075392702503269,-0.6954204142088178,-0.676226007806061,-0.6296270509849571,-0.6161707343331047,-0.6729145668309735,-0.6772739569353706,-0.7404489469854152,-0.6109586437095186
47,-0.667468784424574,-0.7075392702503269,-0.6950278350086945,-0.676226007806061,-0.6296270509849571,-0.6161707343331047,-0.6724200145324521,-0.6772739569353706,-0.7355274900749131,-0.6109586437095186
48,-0.667468784424574,-0.6994427501808684,-0.6950278350086945,-0.676226007806061,-0.6296270509849571,-0.6161707343331047,-0.6724200145324521,-0.6772739569353706,-0.731745882800686,-0.6109586437095186
49,-0.6672712907122336,-0.6972738162622416,-0.6875004575430641,-0.6624020549431764,-0.6296270509849571,-0.6161707343331047,-0.6724200145324521,-0.6772739569353706,-0.7280392944576293,-0.6109586437095186
50,-0.6631367536831002,-0.6929374295599162,-0.6875004575430641,-0.6624020549431764,-0.6296270509849571,-0.6161707343331047,-0.6621515445304191,-0.6677417953387623,-0.7280392944576293,-0.6109586437095186
