iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-124.06137527284494,-129.30319185902056,-140.20675871097228,-138.55725704718014,-102.38265825818064,-124.92809303671133,-132.0942628327082,-130.65056696642338,-108.7346628686449,-125.1155154309719
1,-3.2496471942063243,-8.273023256713952,-5.737577631988973,-5.870791902398895,-10.405679199844023,-3.083661579635443,-2.750066111638004,-3.663640194116925,-2.583531002044532,-3.4856554793145293
2,-5.517160555298151,-14.866642037746985,-3.1542878590421273,-5.464558453752718,-2.3616304660145113,-4.082495050512902,-6.911887094931552,-7.418792098446736,-6.7913318007231975,-5.684362643883988
3,-7.421380063306851,-8.793772717429711,-5.039659798028871,-6.34314116084769,-6.186413852561287,-6.57477073246246,-7.160620406000545,-6.179116835205446,-4.230089628939549,-4.505808362861973
4,-5.7546464848531125,-7.620790090591086,-7.016228570955919,-6.860202441995843,-6.176187330873093,-7.008058351531526,-7.823677426384236,-7.21266175897474,-5.920767283303633,-6.151350485790884
5,-6.986480698979001,-8.97532291651154,-5.021576281876186,-2.83653128369508,-5.0433361398685825,-5.389918577143372,-6.353786825316136,-6.598919076039905,-3.5254203402011504,-6.727749973062984
6,-3.8900968119125006,-9.691202300285081,-4.327930463081133,-5.547651761084566,-5.060072213996753,-5.348967223815027,-5.162937949506211,-5.861312301197081,-6.074909850675754,-3.6544956752038216
7,-4.1283212230792,-8.491729775618904,-4.8786750368597165,-6.854732629445298,-8.032486208892909,-3.9978778949821896,-5.518839127598366,-6.732137488174268,-5.306208685754167,-8.478349554660962
8,-4.544028378609362,-7.303966778453505,-4.947088710596033,-5.605487652436781,-3.4287557185883637,-2.2781042569679086,-4.1319394793082695,-4.828630916639739,-8.452114443253251,-4.714319699569604
9,-4.832203828396063,-8.37099350962955,-3.351998994393952,-5.229192356353099,-5.0880562906311235,-4.569621024212733,-6.080130460816674,-3.1003101171646392,-3.789398471435362,-4.046892047759535
10,-5.406039945705926,-6.847166747152773,-3.4316576735218387,-3.795706482484772,-3.5945466672791575,-2.985616766432776,-2.707911894124406,-3.2406072176911085,-3.4186820939539153,-3.9764606840169847
11,-4.0020743032842,-6.6060725247232295,-2.616361849728807,-1.9583805882345333,-3.2817022839941714,-2.315535881554307,-3.398609562682147,-3.0958207050984465,-2.5959186401299714,-3.508140450103455
12,-2.107562379547743,-7.294876164865653,-3.431621114548432,-2.8889503971264787,-2.5540572113789297,-2.90522400245277,-2.413714105395122,-3.0114003162588334,-2.297848967647645,-2.6182634998696064
13,-2.2949345012537465,-4.457415605338294,-2.460351049212478,-1.7280455278150946,-3.5092850237799533,-1.6427960850893517,-1.9267990948595057,-3.035802828792962,-2.984349691301305,-3.135981649560563
14,-3.211507491989364,-6.2338715305934675,-3.1470911136421673,-2.6597128762982845,-2.1956301495923363,-1.6070691035319458,-1.7991169154994076,-2.833576777434446,-2.565661100812242,-1.920885925423113
15,-3.147660483678222,-4.425224310479488,-1.7977279560538941,-1.9966659443522943,-1.9318761862672413,-2.429214097893839,-2.4119792549003516,-2.4400766078613567,-1.9315861623234274,-1.596064588399484
16,-3.3280079368239175,-4.047154590226994,-2.3119835977022927,-2.8037682938494193,-2.5829690259438998,-1.190897015002069,-1.3616674328058536,-1.808749918760572,-2.9780236993232636,-2.838788598806054
17,-1.6018965102779035,-4.853569626938826,-1.7318486365386903,-1.8776168663163753,-1.5495010798846347,-1.5432389944278189,-2.485966887679521,-1.8789626977523963,-1.3129688472251226,-2.7904389066039594
18,-2.65400665189812,-4.518283719401211,-2.8984137404119337,-1.5331203088495995,-1.6331457787016113,-1.5372474273903425,-2.5215056980802224,-2.4597841037896497,-2.290785361736327,-1.770909594178887
19,-2.0102999763710114,-8.656987174788478,-2.2737823495043625,-1.8900929916545048,-1.861647819747811,-2.50140446528753,-2.6649707726802747,-2.453590234770397,-1.5816849771489656,-2.162085634483601
20,-2.063134295155109,-4.9886098633018685,-2.318771436501795,-1.3097783597897132,-2.8825272479019852,-1.453940120742966,-1.935735652645523,-2.2956480393739778,-2.0324109440501896,-1.8870121379968685
21,-1.7062674335065533,-6.578508728292801,-1.2166860348319621,-1.616514821989238,-1.433914751616861,-1.965311129174381,-1.7637263899312796,-1.6131656328974984,-1.5064357646600495,-2.0556274302040753
22,-1.2401615263620585,-1.8089833149304788,-1.561425269337752,-2.3302877229846914,-1.5833666773827835,-1.7725433216533069,-2.603749107263113,-2.1822628942521853,-1.9158697621680103,-1.656083532683346
23,-1.765658014979226,-1.5051101999923389,-1.9065713436371405,-1.7074502944916494,-1.3186335054939593,-1.1113737270625437,-1.2824283224837343,-1.414160304836735,-2.018902331676326,-1.7293001475845977
24,-2.5892317526786304,-2.067348955718565,-1.586792177237335,-1.6000736968510374,-2.1689686632547183,-1.6136265293652494,-1.210772767277402,-3.1769190841642594,-1.8797500112496113,-1.0332430851446932
25,-1.263699014166158,-1.873821674189114,-1.7059861210778915,-2.4104375603478174,-1.516395612890037,-1.0711706529774805,-1.7998255178648754,-1.3629264601200386,-1.6902052822257236,-2.239538574064249
26,-1.998325309836369,-1.602155593823174,-1.7322296816305334,-2.925937452120277,-2.0288231316479513,-1.4879352301035733,-2.6484585959650846,-1.7496939126249136,-2.9716136385567253,-1.9822509477568613
27,-1.8014603454069906,-1.2755433322000205,-1.8524176154358998,-1.7833674814122378,-2.0890148682978418,-1.4986136742123155,-1.7243614631558142,-2.093566645207674,-1.664481819472197,-1.003297437905218
28,-1.4750930490238159,-2.002827245712295,-2.063383328299831,-2.327255474999464,-1.738925761695432,-1.8082133686119315,-1.588914793190733,-1.386749624306899,-1.7075103327128072,-1.7989854056441978
29,-1.8049913306643588,-2.8998862098640785,-1.7055153446912918,-1.4892737591457597,-1.422924171955683,-1.421722474126183,-1.4558619732185563,-1.2120976317248577,-2.086708739258975,-2.7084301536027526
30,-2.0978592103748435,-1.6919907325307466,-2.3864213326577515,-1.1466357018853472,-2.1280218651686162,-1.500492319298326,-0.9592914753899967,-2.1060241448146915,-1.8400427347559543,-1.9595257685882732
