iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-35.453729389200674,-37.27252412462628,-30.969228123859786,-35.21909764044287,-41.445727371740716,-40.65615281465439,-39.14495922561481,-38.2448744028645,-40.49009594105506,-38.61616298963758
1,-27.443208425637287,-25.525431276673647,-22.317527281554085,-26.455915062388016,-29.38903140610593,-26.207275964353954,-28.886347034377877,-25.97761232798223,-28.807259679461215,-28.671394661537878
2,-21.621180055934524,-19.6809081193913,-16.060109500808487,-23.98568869144053,-23.987468633923733,-22.317485557233518,-23.45143166077051,-20.670572061540735,-20.206639339201892,-20.548523112659332
3,-17.91776387228341,-17.967528949530156,-15.909490755842217,-23.11011843372313,-22.000212525053108,-18.7446933433678,-20.055396381719994,-18.57082601773736,-16.652339710366864,-15.723292691897111
4,-17.512195713569717,-14.26726961486369,-12.468857948614193,-22.231102961005497,-18.916904513546665,-17.938611774430832,-17.529352856273498,-17.144660960187153,-13.789562156569975,-14.560272940621847
5,-16.82720150614536,-12.043576225347486,-9.275940542161479,-20.369934966732792,-17.63986203911727,-17.485930313694396,-16.230101571050795,-15.178807760913346,-12.151981316400079,-13.06533590775189
6,-16.78661170793621,-10.567724011482936,-8.819958707499392,-19.793081491636745,-16.436552518570828,-17.00004478995902,-14.85616097448944,-14.900180144116213,-11.33849420951774,-12.971747260919543
7,-16.78661170793621,-10.354145472120491,-8.802223463918182,-19.704043821207122,-15.359639631181718,-15.263999126992733,-14.306588506133327,-13.818256115018787,-10.938443191415843,-12.971747260919543
8,-16.495103044436036,-10.291833046845044,-8.691411824415168,-17.3273417576617,-14.766576085861828,-12.63075137082501,-13.652776700266546,-13.045318433597199,-10.526937368021132,-11.041360482191234
9,-16.452375608081624,-9.687948656907004,-8.00508129760271,-16.377253788626785,-14.674434694674233,-11.587974139582796,-12.859982276579746,-11.630334345891136,-10.493901617989328,-10.975631654000198
10,-15.068274173765271,-9.50097436522152,-7.800011884050813,-15.180525605536817,-13.948642489505048,-11.347979600636302,-11.561915392954388,-11.476551075214159,-9.44347720216235,-10.730222033603177
11,-14.669216109270078,-8.356981523224068,-7.369437190556079,-13.91424362352821,-12.384782521983444,-11.078466220478266,-10.788407713433138,-11.300651841400493,-8.723522501347183,-9.640383384020176
12,-13.908872629041312,-7.967790361605578,-6.799184785675612,-13.60840017606051,-12.321180528213146,-10.37497203131854,-10.788407713433138,-10.335598076655202,-8.580846116140407,-9.079854969368796
13,-13.733201708277656,-7.617396257415782,-6.531481783071942,-13.31416197337934,-11.290662584168238,-9.450619325846674,-9.978378650211283,-10.155999750150283,-8.106481085566944,-8.195594035206057
14,-13.221747004588742,-6.99570846900205,-6.51606564365841,-12.959941250360663,-9.051676180580307,-9.258152977866299,-9.909782588486447,-10.145761189302364,-7.734850250788283,-7.901022936066071
15,-13.054373493450946,-6.848695477516525,-6.385512985218012,-12.959941250360663,-8.848735591769648,-9.149324788799385,-8.86848453413091,-9.000229280909855,-7.663588527579086,-7.89318970587351
16,-12.64901474816561,-6.786813351705993,-5.586018111141325,-12.60752236650941,-8.403924940834688,-8.967034943745679,-8.44575349385907,-9.000229280909855,-7.6124510621225845,-7.382342157558142
17,-12.578684449180336,-6.351165261800471,-5.437400669574309,-12.529946913695968,-8.195502711774232,-8.768408839025502,-7.618512883634526,-8.424005434267704,-6.983816418240215,-7.382342157558142
