iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-124.06137527284494,-129.30319185902056,-140.20675871097228,-138.55725704718014,-102.38265825818064,-124.92809303671133,-132.0942628327082,-130.65056696642338,-108.7346628686449,-125.1155154309719
1,-38.540092743720024,-28.492054283827486,-25.10551856493938,-37.65131153099796,-37.27769079170277,-29.760202011005934,-34.44446349126771,-29.331361204748877,-32.13383110013647,-35.928191785188545
2,-44.87259130065332,-28.12632087441804,-24.429200920069917,-43.26545380900296,-39.382235309972906,-29.128797841142852,-29.013225329933782,-24.709341483832983,-22.372972905332496,-33.622694059201095
3,-25.399985674154166,-27.243034207840253,-24.702780189463898,-33.74993450841217,-32.11490003286545,-28.935426075511362,-26.57640789560204,-26.647106315623493,-23.09106836460805,-21.777551624593034
4,-29.75268615552254,-25.343531525887137,-16.81968009087961,-32.44103942516428,-28.22373921063742,-30.788979838669405,-24.01040513272151,-27.165695537481156,-20.054957993431323,-24.358098950688557
5,-26.779264712529184,-22.387708611380923,-17.102180541510847,-30.446351285680965,-28.040432968154036,-26.373980503212792,-26.534005430605255,-23.70518529816958,-19.773283552344523,-25.369482359546232
6,-29.34673118209227,-27.057185563815445,-16.750324153183858,-32.78189687857805,-28.86929644406395,-23.763619376185375,-23.89467413924254,-26.36389437541471,-19.07628955494311,-26.278974055405882
7,-31.18545673859427,-17.02979761360829,-17.808888198695357,-28.700958807884415,-23.07300150083328,-24.52719008731298,-22.98984718457394,-19.758836874669463,-20.917116286032574,-29.63507883485881
8,-26.092883650037603,-16.025024059293763,-18.0374095562544,-26.04651574566457,-26.998055193852046,-19.634571294746586,-21.457290092185637,-22.113188404353217,-17.517349262619227,-17.670615715055497
9,-33.040466370073055,-17.924839240091416,-11.423171092646259,-27.669981276004897,-28.99458646978318,-17.26493796066583,-22.204925084713572,-19.648630643410424,-18.10533216898053,-20.360314931618447
10,-27.29784890889076,-17.82535221186385,-10.751875836019341,-23.825999710437294,-23.58251090505523,-20.708930232911666,-17.23590385325405,-19.159397946826946,-15.556695289896862,-17.031981276304744
11,-29.67509791605753,-11.992084137775954,-11.7329267270045,-20.862378636352254,-17.157566837498592,-20.76480208124812,-13.547874683379955,-18.13230747507996,-12.552376130492908,-12.530460263192328
12,-24.577033166739955,-14.74750883100973,-13.889963085001053,-24.917741375329573,-25.266559242644252,-18.22133400350965,-18.139015861886612,-17.30632740200044,-12.741582412052267,-16.069783508696254
13,-23.192710808717347,-12.689112191170942,-9.709996910609847,-24.18134329047472,-16.11160463197868,-15.835193342646498,-18.77188677804343,-19.131754587142098,-14.924830887685301,-19.238551324342797
14,-23.425470499103472,-10.98465494241463,-13.678486002178655,-23.24927925027231,-14.538120274163843,-16.241663615674,-15.73351065454792,-19.42299629804311,-13.166470263246751,-12.533112809141507
15,-21.262401559328353,-15.43961305599408,-14.913993392350445,-24.511073683681417,-16.999264805610736,-17.421908012697585,-14.522906737141003,-12.344345450128934,-11.866791874027353,-15.227486733545174
16,-24.92680806006819,-15.136052742277064,-8.623903298865212,-20.541278701001477,-16.992178387693222,-15.523655705903181,-17.53595007261751,-17.792909763068742,-14.291020989921275,-14.06476036137183
17,-21.246065834391604,-10.026560525725088,-12.435036206697688,-24.267368272404855,-11.441335330480676,-15.25554640672306,-12.6856656382183,-12.35319680976231,-10.225943849446534,-14.689584353668982
18,-17.668852421074543,-14.176939526189388,-9.695185083779224,-20.59114522939468,-12.674229295941947,-16.451371248525774,-14.115996850951976,-15.229048597988369,-11.614088588655363,-15.72622011593478
19,-17.025621209947165,-12.62762806261054,-12.858450686321774,-17.264286771809008,-13.93075683547842,-20.37217376904475,-14.552818786895365,-16.356626223963595,-10.289463662892338,-11.88347522450825
20,-20.651215417381625,-11.637353728064317,-11.688770338072317,-18.358239388063648,-14.798800163297003,-15.261400789114708,-12.607611012347652,-13.248642185981817,-11.222402340092478,-13.98794687425833
21,-32.054075745904925,-12.77379526263422,-9.911050142262997,-19.423136559061525,-13.482229483756273,-14.096423009627209,-11.879292445985996,-11.330138284461928,-12.825991654779212,-8.602374875987206
