iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-35.453729389200674,-37.27252412462628,-30.969228123859786,-35.21909764044287,-41.445727371740716,-40.65615281465439,-39.14495922561481,-38.2448744028645,-40.49009594105506,-38.61616298963758
1,-35.453729389200674,-37.27252412462628,-30.969228123859786,-35.21909764044287,-41.445727371740716,-40.65615281465439,-39.14495922561481,-35.72272128028029,-40.49009594105506,-38.61616298963758
2,-35.453729389200674,-36.9889127795155,-30.969228123859786,-31.98910493068809,-41.12161354898042,-40.18235790335102,-39.14495922561481,-34.62657411386003,-40.49009594105506,-38.43974468441655
3,-35.453729389200674,-36.6491854153373,-30.969228123859786,-31.945052081673243,-41.12161354898042,-40.18235790335102,-38.65587246682997,-34.62657411386003,-39.514332097351044,-37.31258267169986
4,-35.453729389200674,-36.49078161112606,-29.810907737000043,-30.177406431985897,-41.12161354898042,-39.03969674218208,-38.61225948697596,-33.62599169873006,-38.379020957546516,-37.31258267169986
5,-33.891019199656604,-35.46412327909779,-29.28845869829499,-29.779566988265753,-41.12161354898042,-39.03969674218208,-38.61225948697596,-33.62599169873006,-38.3458801565649,-37.31258267169986
6,-33.891019199656604,-35.46412327909779,-29.28845869829499,-29.779566988265753,-41.05106092683054,-38.630792667920744,-37.89390985863699,-32.62607336187666,-38.3458801565649,-36.9096781076363
7,-33.891019199656604,-35.46412327909779,-29.28845869829499,-29.617384839416935,-41.05106092683054,-38.31719133663828,-37.79393448413432,-32.62607336187666,-37.880808360799485,-36.521994234534034
8,-33.891019199656604,-35.46412327909779,-29.28845869829499,-29.617384839416935,-41.05106092683054,-38.31719133663828,-37.22525799875197,-32.03954768482622,-37.880808360799485,-36.521994234534034
9,-33.891019199656604,-34.681961646787045,-29.28845869829499,-29.617384839416935,-40.30052436674842,-38.10187155434862,-36.07134501975655,-32.03954768482622,-37.14920891973638,-36.521994234534034
10,-33.891019199656604,-34.06732051599495,-28.458272262144725,-29.617384839416935,-39.95869516947385,-37.40909141595338,-36.07134501975655,-32.03954768482622,-37.14920891973638,-36.19226237396853
11,-33.760191092138385,-33.99674807250219,-28.458272262144725,-29.617384839416935,-39.95869516947385,-36.917282978897056,-35.86188538414102,-31.94519649542763,-37.14920891973638,-35.10784180625117
12,-33.760191092138385,-33.86951336993593,-28.458272262144725,-29.617384839416935,-39.95869516947385,-36.917282978897056,-34.694110551072185,-31.94519649542763,-36.222674791339706,-34.9541888202719
13,-32.78127871890365,-33.27603483206856,-28.458272262144725,-28.704714696811543,-39.916927381996175,-36.917282978897056,-34.694110551072185,-31.94519649542763,-31.320032912742725,-34.26288332437775
14,-32.60665355904436,-32.256467306091814,-26.10736038337091,-28.704714696811543,-39.916927381996175,-36.20187003099544,-33.716566137490474,-31.94519649542763,-30.854898152898365,-33.60493677314847
15,-32.60665355904436,-31.870009178386574,-25.944534537573787,-28.704714696811543,-39.916927381996175,-35.14802638598616,-33.716566137490474,-31.94519649542763,-30.58937240576612,-33.60493677314847
16,-32.60665355904436,-31.39650642259307,-25.780178057706728,-28.704714696811543,-39.371021693562575,-35.09833107745058,-33.376571236029605,-31.655902820297115,-28.72588408370175,-33.60493677314847
17,-32.21328088388415,-30.88390276355371,-25.5297502415403,-28.480538902862847,-38.95149600851537,-35.09833107745058,-33.376571236029605,-31.389524296080488,-28.72588408370175,-33.60493677314847
18,-30.725756814737004,-30.88390276355371,-25.5297502415403,-28.299417142103557,-37.95220844150329,-34.16359480125169,-32.628731024096,-31.389524296080488,-28.72588408370175,-33.60493677314847
19,-29.032445421172675,-30.88390276355371,-25.5297502415403,-28.299417142103557,-36.848973135371395,-34.16359480125169,-31.72834443347031,-31.389524296080488,-28.43730579101721,-33.60493677314847
